,Date,State,City,Address,Killed,Injured,Year,Code,Country,Latitude,Longitude,test
1242,09-Oct-17,Texas,Houston,3352 Old Spanish Trail,0,5,2017,TX,us,29.763055600000005,-95.3630556,False
1243,07-Oct-17,Arizona,Phoenix,87th Ave and Thomas Rd,0,4,2017,AZ,us,33.4483333,-112.07333329999999,False
1244,06-Oct-17,Illinois,Chicago,8000 block of S Marshfield,0,5,2017,IL,us,41.85,-87.65,False
1245,05-Oct-17,Arizona,Casa Grande,400 block of W 13th Street,4,0,2017,AZ,us,32.8794444,-111.75666670000001,False
1246,03-Oct-17,Florida,Miami,2051 NW 65th St,0,4,2017,FL,us,25.7738889,-80.1938889,False
1247,01-Oct-17,Nevada,Las Vegas,3950 Las Vegas Blvd S,59,241,2017,NV,us,36.175,-115.1363889,False
1248,01-Oct-17,Kansas,Lawrence,1000 block of Massachusetts St,3,2,2017,KS,us,38.9716667,-95.235,False
1249,30-Sep-17,Tennessee,Memphis,800 block of Kerr Avenue,1,3,2017,TN,us,35.14944439999999,-90.04888890000001,False
1250,28-Sep-17,Louisiana,New Orleans,2001 N Rocheblave St,1,3,2017,LA,us,29.954444399999996,-90.075,False
1251,26-Sep-17,Tennessee,Memphis,2531 Chelsea Ave,0,4,2017,TN,us,35.14944439999999,-90.04888890000001,False
1252,26-Sep-17,Maryland,Baltimore,3200 block of Lyndale Ave,2,2,2017,MD,us,39.2902778,-76.6125,False
1253,26-Sep-17,Pennsylvania,Philadelphia,100 block of Pastorius St,1,3,2017,PA,us,39.9522222,-75.1641667,False
1254,24-Sep-17,Maryland,Baltimore,500 block of E. Patapsco Avenue,0,4,2017,MD,us,39.2902778,-76.6125,False
1255,24-Sep-17,New Jersey,Mays Landing,6000 block of Hoover Dr,1,3,2017,NJ,us,39.4522222,-74.7280556,False
1256,24-Sep-17,Tennessee,Antioch,3890 Pin Hook Rd,1,8,2017,TN,us,36.06,-86.67222220000001,False
1257,24-Sep-17,New York,Syracuse,1226 E Fayette St,0,4,2017,NY,us,43.048055600000005,-76.1477778,False
1258,23-Sep-17,Illinois,Danville,Seminary St and Jackson St,0,5,2017,IL,us,40.124444399999994,-87.63,False
1259,23-Sep-17,California,Bakersfield,818 Real Rd,1,4,2017,CA,us,35.3733333,-119.01777779999999,False
1260,20-Sep-17,Indiana,Gary,4300 block of 23rd Ct,0,5,2017,IN,us,41.5933333,-87.34638890000001,False
1261,17-Sep-17,Michigan,Detroit,5000 block of Stanton Street,1,3,2017,MI,us,42.33138889999999,-83.0458333,False
1262,17-Sep-17,Virginia,Petersburg,300 Mistletoe St,1,4,2017,VA,us,37.2277778,-77.40222220000001,False
1263,16-Sep-17,South Carolina,Columbia,920 Lady Street,0,8,2017,SC,us,34.000555600000006,-81.035,False
1264,13-Sep-17,Washington,Rockford,14626 S Jackson Rd,1,3,2017,WA,us,47.4522222,-117.1297222,False
1265,13-Sep-17,Pennsylvania,York,400 block of S Duke St,0,4,2017,PA,us,39.9625,-76.7280556,False
1266,13-Sep-17,Pennsylvania,Philadelphia,3100 block of N 2nd St,0,4,2017,PA,us,39.9522222,-75.1641667,False
1267,13-Sep-17,Tennessee,Memphis,1000 block of Morehead St,1,5,2017,TN,us,35.14944439999999,-90.04888890000001,False
1268,10-Sep-17,Louisiana,New Orleans,Elysian Fields Ave and N Claiborne Ave,0,4,2017,LA,us,29.954444399999996,-90.075,False
1269,10-Sep-17,Texas,Plano,1712 West Spring Creek Parkway,9,1,2017,TX,us,33.019722200000004,-96.6986111,False
1270,09-Sep-17,Alabama,Selma,Kings Bend Road,0,4,2017,AL,us,32.4072222,-87.02111109999998,False
1271,06-Sep-17,Illinois,Chicago,2700 block of Madison,0,4,2017,IL,us,41.85,-87.65,False
1272,04-Sep-17,Illinois,Bellwood,1000 block of Bellwood Ave,0,4,2017,IL,us,41.8813889,-87.88305559999999,False
1273,03-Sep-17,California,Inglewood,10100 block of S Firmona Ave,2,3,2017,CA,us,33.9616667,-118.3522222,False
1274,02-Sep-17,Kentucky,Louisville,8008 Watterson Trail,0,4,2017,KY,us,38.2541667,-85.7594444,False
1275,02-Sep-17,Illinois,Chicago,8300 block of S Hermitage,1,3,2017,IL,us,41.85,-87.65,False
1276,28-Aug-17,New Mexico,Clovis,701 N Main St,2,4,2017,NM,us,34.4047222,-103.2047222,False
1277,27-Aug-17,California,Sacramento,7760 24th St,1,4,2017,CA,us,38.5816667,-121.49333329999999,False
1278,27-Aug-17,Indiana,Evansville,1127 Chestnut St,1,3,2017,IN,us,37.9747222,-87.5558333,False
1279,25-Aug-17,Florida,Gainesville,1600 NE 8th Ave,0,4,2017,FL,us,29.651388899999997,-82.325,False
1280,24-Aug-17,Missouri,Saint Louis,10400 block of Balmoral Dr,4,0,2017,MO,us,38.6272222,-90.1977778,False
1281,22-Aug-17,Illinois,Chicago,300 block of N Central Ave,0,4,2017,IL,us,41.85,-87.65,False
1282,21-Aug-17,New Jersey,Newark,Fabyan Place,0,4,2017,NJ,us,40.735555600000005,-74.17277779999999,False
1283,21-Aug-17,New Jersey,Newark,700 block of S 19th St,1,3,2017,NJ,us,40.735555600000005,-74.17277779999999,False
1284,21-Aug-17,Maryland,Baltimore,Cottage Avenue and Park Heights Avenue,1,3,2017,MD,us,39.2902778,-76.6125,False
1285,21-Aug-17,North Carolina,Whitakers,980 Fishing Creek Rd,4,0,2017,NC,us,36.105277799999996,-77.7130556,False
1286,21-Aug-17,Tennessee,Memphis,262 Decatur St,0,4,2017,TN,us,35.14944439999999,-90.04888890000001,False
1287,20-Aug-17,Illinois,Chicago,11901 S Loomis St,2,5,2017,IL,us,41.85,-87.65,False
1288,20-Aug-17,New York,Brooklyn,100th St and Ave M,0,4,2017,NY,us,40.65,-73.95,False
1289,19-Aug-17,Ohio,Cleveland,11143 Superior Ave,1,4,2017,OH,us,41.499444399999994,-81.69555559999999,False
1290,16-Aug-17,New York,Wyandanch,Merritt Ave and 15th St,0,4,2017,NY,us,40.7538889,-73.3608333,False
1291,14-Aug-17,California,North Hollywood,Morrison St and Klump Ave,2,2,2017,CA,us,34.1722222,-118.37805559999998,False
1292,13-Aug-17,California,Sacramento,4000 Block of Martin Luther King Jr Blvd,0,4,2017,CA,us,38.5816667,-121.49333329999999,False
1293,13-Aug-17,Virginia,Suffolk,8700 block of Quay Rd,0,4,2017,VA,us,36.728055600000005,-76.5838889,False
1294,13-Aug-17,Pennsylvania,Philadelphia,39th St and Melon St,0,5,2017,PA,us,39.9522222,-75.1641667,False
1295,12-Aug-17,Missouri,Saint Louis,12310 Bellefontaine Rd,1,3,2017,MO,us,38.6272222,-90.1977778,False
1296,08-Aug-17,Illinois,Chicago,1 block of East 37th Street,1,6,2017,IL,us,41.85,-87.65,False
