,0
4,"['Genre: Romantic Comedy' 'The Perez Family' 'Release Date: May 12, 1995'
 'Writer:']"
6,"['Genre: Musical' 'The Greatest Showman' 'Release Date: December 20, 2017'
 '\xa0$28,245,723']"
7,"['Genre: Period Drama' 'Richard III' 'Release Date: December 29, 1995'
 'Actors:']"
10,"['Genre: Comedy / Drama' 'Moonlight and Valentino'
 'Release Date: September 29, 1995' 'Producers:']"
11,"['Genre: Historical Drama' 'Jefferson in Paris'
 'Release Date: March 31, 1995' 'Writer:']"
12,"['Genre: Drama' 'The Basketball Diaries' 'Release Date: April 21, 1995'
 'Composer:']"
15,"['Genre: Western' 'Wild Bill' 'Release Date: December 1, 1995' 'Actors:']"
16,"['Genre: Comedy' 'Mallrats' 'Release Date: October 20, 1995' 'Writer:']"
19,"['Genre: Foreign' 'Strawberry and Chocolate'
 'Release Date: January 20, 1995' '\xa0$2,084,187']"
20,"['Genre: Crime Thriller' 'Shallow Grave' 'Release Date: February 10, 1995'
 'Actor:']"
23,"['Genre: Foreign' 'City of Lost Children' 'Release Date: December 15, 1995'
 '\xa0$1,738,611']"
27,"['Genre: Comedy' 'Blue in the Face' 'Release Date: October 13, 1995'
 '* Denotes minor role']"
31,"['Genre: Comedy' 'Living in Oblivion' 'Release Date: July 14, 1995'
 'Writer:']"
32,"['Genre: Drama' 'Georgia Rule' 'Release Date: May 11, 2007'
 '\xa0$24,991,167']"
34,"['Genre: Action' 'The Substitute' 'Release Date: April 19, 1996' 'Actors:']"
35,"['Genre: Comedy' 'Flirting with Disaster' 'Release Date: March 22, 1996'
 'Writer:']"
36,"['Genre: Drama' 'Diary of a Chambermaid' 'Release Date: June 10, 2016'
 '\xa0$54,235']"
37,"['Genre: Action' 'Maximum Risk' 'Release Date: September 13, 1996'
 'Actors:']"
38,"['Genre: Romance' 'In Love and War' 'Release Date: December 18, 1996'
 '\xa0$25,372,294']"
40,"['Genre: Comedy' 'Bio-Dome' 'Release Date: January 12, 1996' 'Actors:']"
41,"['Genre: Drama' 'Secrets & Lies' 'Release Date: September 28, 1996'
 'Writer:']"
42,"['Genre: Period Drama' 'Ghosts of Mississippi'
 'Release Date: December 20, 1996' 'Writer:']"
43,"['Genre: Comedy' 'The Associate' 'Release Date: October 25, 1996' 'Actor:']"
44,"['Genre: Romantic Comedy' 'Mr. Wrong' 'Release Date: February 16, 1996'
 'Actors:']"
45,"['Genre: Drama' ""Marvin's Room"" 'Release Date: December 20, 1996' 'Actors:']"
46,"['Genre: Drama' 'Starting Out in the Evening'
 'Release Date: November 23, 2007' 'Producer:']"
48,"['Genre: Drama / Thriller' 'Lone Star' 'Release Date: June 21, 1996'
 'Producer:']"
49,"['Genre: Comedy / Drama' 'Big Night' 'Release Date: September 20, 1996'
 'Actors:']"
50,"['Genre: Sports Comedy' 'Mystery, Alaska' 'Release Date: October 1, 1999'
 'Actor:']"
51,"['Genre: Crime Thriller' 'Mulholland Falls' 'Release Date: April 26, 1996'
 'Actors:']"
52,"['Genre: Crime' '2 Days in the Valley' 'Release Date: September 27, 1996'
 'Actor:']"
53,"['Genre: Period Drama' 'Michael Collins' 'Release Date: October 11, 1996'
 'Actors:']"
54,"['Genre: Romantic Comedy' 'Two If by Sea' 'Release Date: January 12, 1996'
 'Producers:']"
55,"['Genre: Comedy / Drama' 'Beautiful Girls' 'Release Date: February 9, 1996'
 'Producer:']"
56,"['Genre: Action Drama' 'White Squall' 'Release Date: February 2, 1996'
 'Actors:']"
57,"['Genre: Sports Drama' 'Sunset Park' 'Release Date: April 26, 1996'
 'Actor:']"
58,"['Genre: Comedy / Drama' 'A Family Thing' 'Release Date: March 29, 1996'
 'Writer:']"
