,0
24,"['Production Budget: N/A' '42' 'Genre: Action' 'Tekken' '\xa0$967,369']"
11,"['Production Budget: $20 million' 'Domestic Total Gross: $5,178,569'
 'Genre: Horror' 'Alone in the Dark' '\xa0$10,442,808']"
4,"['Production Budget: N/A' 'Domestic Total Gross: $35,927,406'
 'Genre: Action' 'Mortal Kombat:Annihilation' '\xa0$51,376,861']"
9,"['Production Budget: $12 million' 'Domestic Total Gross: $10,249,719'
 'Genre: Horror' 'House of the Dead' '\xa0$13,818,181']"
19,"['Production Budget: N/A' 'Domestic Total Gross: $4,775,656'
 'Genre: Fantasy' 'In the Name of the King:A Dungeon Siege Tale'
 '\xa0$13,097,915']"
13,"['Production Budget: $25 million' 'Domestic Total Gross: $2,405,420'
 'Genre: Action Horror' 'BloodRayne' '\xa0$3,650,275']"
22,"['Production Budget: N/A' 'Domestic Total Gross: $8,742,261'
 'Genre: Action' 'Street Fighter:The Legend of Chun-Li' '\xa0$12,764,201']"
27,"['Production Budget: $20 million' 'Domestic Total Gross: $17,529,157'
 'Genre: Horror' 'Silent Hill:Revelation 3D' '\xa0$52,302,796']"
16,"['Production Budget: $15 million' 'Rank' 'Genre: Action Comedy' 'Postal'
 '\xa0$146,741']"
29,"['Production Budget: $35 million' 'Domestic Total Gross: $22,467,450'
 'Genre: Action / Adventure' 'Hitman:Agent 47' '\xa0$82,347,656']"
1,"['Production Budget: N/A' 'Domestic Total Gross: $2,341,309'
 'Genre: Action' 'Double Dragon' 'Producer:']"
5,"['Production Budget: $30 million' 'Domestic Total Gross: $11,578,059'
 'Genre: Sci-Fi Action' 'Wing Commander' '* Denotes minor role']"
33,"['Production Budget: $30 million' 'Domestic Total Gross: $85,744,662'
 'Genre: Animation' 'Pokemon:The First Movie' '\xa0$163,644,662']"
36,"['Production Budget: N/A' 'Domestic Total Gross: $1,727,447'
 'Genre: Animation' 'Pokemon 4Ever' '\xa0$28,023,563']"
34,"['Production Budget: $30 million' 'Domestic Total Gross: $43,758,684'
 'Genre: Animation' 'Pokemon:The Movie 2000' '\xa0$133,949,270']"
18,"['Production Budget: $30 million' 'Domestic Total Gross: $75,468,583'
 'Genre: Action Comedy' ""The Hitman's Bodyguard"" '\xa0$176,586,701']"
0,"['Production Budget: $48 million' 'Domestic Total Gross: $20,915,465'
 'Genre: Family Adventure' 'Super Mario Bros.' 'Writer:']"
2,"['Production Budget: N/A' 'Domestic Total Gross: $8,742,261'
 'Genre: Action' 'Street Fighter:The Legend of Chun-Li' '\xa0$12,764,201']"
21,"['Production Budget: $35 million' 'Domestic Total Gross: $40,689,393'
 'Genre: Action / Crime' 'Max Payne' '\xa0$85,416,905']"
38,"['Production Budget: N/A' 'Domestic Total Gross: $746,381'
 'Genre: Animation' 'Pokemon Heroes' '\xa0$20,867,919']"
39,"['Production Budget: N/A' 'Domestic Total Gross: $8,821,329'
 'Genre: Animation' 'Ratchet & Clank' '\xa0$8,821,329']"
31,"['Production Budget: $125 million' 'Domestic Total Gross: $54,647,948'
 'Genre: Action' ""Assassin's Creed"" '\xa0$240,697,856']"
12,"['Production Budget: N/A' 'Domestic Total Gross: $11,008,770'
 'Genre: Sci-Fi Horror' 'Doomsday' '\xa0$22,211,426']"
6,"['Production Budget: $95 million' 'Domestic Total Gross: $65,660,196'
 'Genre: Action / Adventure' 'Lara Croft Tomb Raider:The Cradle of Life'
 '\xa0$156,505,388']"
10,"['Production Budget: $45 million' 'Domestic Total Gross: $51,201,453'
 'Genre: Action Horror' 'Resident Evil:Apocalypse' '\xa0$129,342,769']"
