,Production_Budget,Domestic_Total_Gross,Genre,Name,Worldwide_Gross
0,N/A,42,Action,Tekken,967369
1,20000000,5178569,Horror,Alone in the Dark,10442808
2,N/A,35927406,Action,Mortal Kombat:Annihilation,51376861
3,12000000,10249719,Horror,House of the Dead,13818181
4,N/A,4775656,Fantasy,In the Name of the King:A Dungeon Siege Tale,13097915
5,25000000,2405420,Action Horror,BloodRayne,3650275
6,N/A,8742261,Action,Street Fighter:The Legend of Chun-Li,12764201
7,20000000,17529157,Horror,Silent Hill:Revelation 3D,52302796
8,15000000,Rank,Action Comedy,Postal,146741
9,35000000,22467450,Action / Adventure,Hitman:Agent 47,82347656
10,N/A,2341309,Action,Double Dragon,
11,30000000,11578059,Sci-Fi Action,Wing Commander,
12,30000000,85744662,Animation,Pokemon:The First Movie,163644662
13,N/A,1727447,Animation,Pokemon 4Ever,28023563
14,30000000,43758684,Animation,Pokemon:The Movie 2000,133949270
15,30000000,75468583,Action Comedy,The Hitman's Bodyguard ,176586701
16,48000000,20915465,Family Adventure,Super Mario Bros.,
17,N/A,8742261,Action,Street Fighter:The Legend of Chun-Li,12764201
18,35000000,40689393,Action / Crime,Max Payne,85416905
19,N/A,746381,Animation,Pokemon Heroes,20867919
20,N/A,8821329,Animation,Ratchet & Clank,8821329
21,125000000,54647948,Action,Assassin's Creed ,240697856
22,N/A,11008770,Sci-Fi Horror,Doomsday,22211426
23,95000000,65660196,Action / Adventure,Lara Croft Tomb Raider:The Cradle of Life,156505388
24,45000000,51201453,Action Horror,Resident Evil:Apocalypse,129342769
25,N/A,2401722,Animation,Pokemon the Movie:I Choose You!,2401722
26,66000000,43577636,Action,Need for Speed,203277636
27,N/A,50648679,Action Horror,Resident Evil:Extinction,148412065
28,60000000,60128566,Action Horror,Resident Evil:Afterlife,300228084
29,95000000,65660196,Action / Adventure,Lara Croft Tomb Raider:The Cradle of Life,156505388
30,160000000,47365290,Fantasy,Warcraft,433677183
31,65000000,42345531,Action Horror,Resident Evil:Retribution,240004424
32,20000000,17529157,Horror,Silent Hill:Revelation 3D,52302796
33,N/A,480813,Action,DOA:Dead or Alive,7516532
34,N/A,n/a,Animation,Resident Evil:Damnation,2325035
35,N/A,35927406,Action,Mortal Kombat:Annihilation,51376861
36,40000000,26830068,Sci-Fi Action,Resident Evil:The Final Chapter,312242626
37,200000000,90759676,Adventure,Prince of Persia:The Sands of Time,336365676
38,137000000,32131830,Animation,Final Fantasy:The Spirits Within,85131830
