,Genre,Movies,Release_Date,WGross
0,Genre: Sci-Fi Horror,Jurassic Park III,"Release Date: July 18, 2001"," $368,780,809"
1,Genre: Family Comedy,Mrs. Doubtfire,"Release Date: November 24, 1993"," $441,286,195"
3,Genre: Thriller,The Firm,"Release Date: July 2, 1993"," $270,248,367"
4,Genre: Romantic Comedy,Sleepless in Seattle,"Release Date: June 25, 1993"," $227,799,884"
5,Genre: Romance,Indecent Proposal,"Release Date: April 9, 1993"," $266,614,059"
7,Genre: Thriller,The Pelican Brief,"Release Date: December 17, 1993"," $195,268,056"
8,Genre: War Drama,Schindler's List,"Release Date: December 15, 1993"," $321,306,305"
9,Genre: Action Thriller,Cliffhanger,"Release Date: May 28, 1993"," $255,000,211"
10,Genre: Family Adventure,Free Willy 3:The Rescue,"Release Date: August 8, 1997",Cinematographer:
11,Genre: Drama,Philadelphia,"Release Date: December 24, 1993"," $206,678,440"
12,Genre: Fantasy Comedy,Groundhog Day,"Release Date: February 12, 1993",Writer:
13,Genre: Comedy,Grumpy Old Men,"Release Date: December 25, 1993",Producer:
14,Genre: Sports Comedy,Cool Runnings,"Release Date: October 1, 1993"," $154,856,263"
17,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
18,Genre: Comedy,Sister Act 2:Back in the Habit,"Release Date: December 10, 1993",Actors:
19,Genre: Drama,A Walk Among the Tombstones,"Release Date: September 19, 2014"," $53,181,600"
20,Genre: Period Action,The Three Musketeers (2011),"Release Date: October 21, 2011"," $132,274,484"
21,Genre: Family Comedy,Rookie of the Year,"Release Date: July 9, 1993"," $56,500,758"
22,Genre: Family Comedy,Beethoven's 2nd,"Release Date: December 17, 1993"," $118,243,066"
23,Genre: Family Comedy,Dennis the Menace,"Release Date: June 25, 1993"," $117,270,765"
24,Genre: Romance,Sommersby,"Release Date: February 5, 1993"," $140,081,992"
25,Genre: Action Comedy,Last Action Hero,"Release Date: June 18, 1993"," $137,298,489"
26,Genre: Animation,Tim Burton's The Nightmare Before Christmas,"Release Date: October 15, 1993"," $75,082,668"
27,Genre: Horror Comedy,Addams Family Values,"Release Date: November 19, 1993",Writer:
28,Genre: Comedy,Wayne's World 2,"Release Date: December 10, 1993",Producer:
29,Genre: Thriller,Malice,"Release Date: October 1, 1993",Actors:
31,Genre: Thriller,The Good Son,"Release Date: September 24, 1993"," $60,613,008"
32,Genre: Comedy,The Beverly Hillbillies,"Release Date: October 15, 1993"," $57,405,220"
34,Genre: Family Adventure,Homeward Bound:The Incredible Journey,"Release Date: February 5, 1993",Actors:
36,Genre: Drama / Thriller,Falling Down,"Release Date: February 26, 1993",Actors:
37,Genre: Thriller,Grand Piano,"Release Date: March 7, 2014",Actors:
38,Genre: Family Comedy,Hocus Pocus,"Release Date: July 16, 1993",Actors:
39,Genre: Music Drama,What's Love Got to Do with It,"Release Date: June 11, 1993",Producer:
40,Genre: Comedy,Hot Shots! Part Deux,"Release Date: May 21, 1993"," $133,752,825"
41,Genre: Crime Drama,Carlito's Way,"Release Date: November 12, 1993"," $63,848,322"
43,Genre: Comedy,Son-in-Law,"Release Date: July 2, 1993",Cinematographer:
44,Genre: Romantic Thriller,Sliver,"Release Date: May 21, 1993"," $116,300,000"
45,Genre: Adventure Comedy,Robin Hood:Men in Tights,"Release Date: July 30, 1993",Actors:
46,Genre: Action Drama,Dragon:The Bruce Lee Story,"Release Date: May 7, 1993"," $63,513,743"
47,Genre: Drama,The Joy Luck Club,"Release Date: September 10, 1993",Composer:
48,Genre: Action,Hard Target,"Release Date: August 20, 1993"," $74,189,677"
49,Genre: Family Comedy,The Sandlot,"Release Date: April 9, 1993"," $33,832,313"
50,Genre: Period Drama,The Age of Innocence,"Release Date: September 17, 1993",Writers:
51,Genre: Comedy,Cop and a Half,"Release Date: April 2, 1993"," $40,689,691"
52,Genre: Family,The Secret Garden,"Release Date: August 13, 1993",Actor:
53,Genre: Action Drama,A Perfect World,"Release Date: November 24, 1993"," $135,130,999"
54,Genre: Action,Point of No Return,"Release Date: March 19, 1993",Actors:
55,Genre: Action Comedy,Loaded Weapon 1,"Release Date: February 5, 1993",Producers:
56,Genre: Crime Drama,Menace II Society,"Release Date: May 28, 1993",Writers:
58,Genre: Drama,Poetic Justice,"Release Date: July 23, 1993",Actors:
59,Genre: Romance,Shadowlands,"Release Date: December 31, 1993",Actors:
60,Genre: Drama / Thriller,In the Name of the Father,"Release Date: December 31, 1993"," $65,796,862"
61,Genre: Drama,The Man Without a Face,"Release Date: August 27, 1993"," $24,760,338"
62,Genre: Action,Striking Distance,"Release Date: September 17, 1993",Actors:
63,Genre: Family Adventure,The Adventures of Huck Finn,"Release Date: April 2, 1993",Writer:
64,Genre: Romantic Comedy,Benny and Joon,"Release Date: April 16, 1993",Actors:
65,Genre: Period Drama,The Remains of the Day,"Release Date: November 5, 1993",Writer:
67,Genre: Thriller,Guilty as Sin,"Release Date: June 4, 1993",Actors:
68,Genre: Sports Drama,Rudy,"Release Date: October 15, 1993",Actors:
69,Genre: Comedy / Drama,Much Ado About Nothing (2013),"Release Date: June 7, 2013"," $4,328,849"
70,Genre: Action,Nowhere to Run,"Release Date: January 15, 1993",Writers:
71,Genre: Foreign,Like Water for Chocolate,"Release Date: February 19, 1993"," $21,665,468"
72,Genre: Sci-Fi Comedy,Coneheads,"Release Date: July 23, 1993",Actors:
73,Genre: Family Adventure,Super Mario Bros.,"Release Date: May 28, 1993",Writer:
74,Genre: Action Comedy,Another Stakeout,"Release Date: July 23, 1993",Actors:
75,Genre: Sci-Fi,Fire in the Sky,"Release Date: March 12, 1993",Actor:
76,Genre: Drama,American Sniper,"Release Date: December 25, 2014"," $547,426,372"
77,Genre: Romance,Untamed Heart,"Release Date: February 12, 1993",Actors:
78,Genre: Western,Geronimo:An American Legend,"Release Date: December 10, 1993",Actors:
79,Genre: Drama / Thriller,Possession (2009),Release Date: TBD," $682,173"
