Name,Opening,Rank,Studio,Total Gross,Years
"Steal Big, Steal Little","$1,761,890",167,Sav.,"$3,150,170",2017
Crumb,"$19,859",168,SPC,"$3,041,083",2017
Unzipped,"$71,275",169,Mira.,"$2,875,086",2017
Othello,"$29,097",170,Sony,"$2,844,379",2017
The Perez Family,"$1,127,645",171,Gold.,"$2,832,826",2017
Dr. Jekyll and Ms. Hyde,"$900,782",172,Sav.,"$2,763,020",2017
The Show,"$1,482,892",173,Sav.,"$2,702,578",2017
Richard III,"$91,915",174,UA,"$2,684,904",2017
Magic in the Water,"$1,455,946",175,Sony,"$2,680,717",2017
The Cure,"$1,206,415",176,Uni.,"$2,568,425",2017
Moonlight and Valentino,"$1,250,912",177,Gram.,"$2,484,226",2017
Jefferson in Paris,"$61,349",178,BV,"$2,473,668",2017
The Basketball Diaries,"$765,335",179,NL,"$2,381,087",2017
Burnt by the Sun,"$60,074",180,SPC,"$2,302,338",2017
Two Girls in Love,N/A,181,FL,"$2,210,408",2017
Wild Bill,"$987,515",182,MGM,"$2,193,982",2017
Mallrats,"$1,153,838",183,Gram.,"$2,122,561",2017
A Month by the Lake,"$101,042",184,Mira.,"$2,101,087",2017
Shanghai Triad,"$209,098",185,SPC,"$2,086,101",2017
Strawberry and Chocolate,N/A,186,Mira.,"$2,080,805",2017
Shallow Grave,"$105,614",187,Gram.,"$2,079,569",2017
Endless Winter,N/A,188,WM,"$1,966,454",2017
The Mangler,"$933,809",189,NL,"$1,781,383",2017
City of Lost Children,"$34,348",190,SPC,"$1,738,611",2017
Once Were Warriors,N/A,191,FL,"$1,608,570",2017
Farinelli,N/A,192,SPC,"$1,573,411",2017
The Horseman on the Roof,N/A,193,Mira.,"$1,320,043",2017
Blue in the Face,"$104,365",194,Mira.,"$1,268,636",2017
Picture Bride,"$44,380",195,Mira.,"$1,238,905",2017
Destiny Turns on the Radio,"$676,659",196,Sav.,"$1,176,982",2017
Mute Witness,"$560,048",197,SPC,"$1,125,910",2017
Living in Oblivion,"$47,965",198,SPC,"$1,111,790",2017
Georgia,"$55,461",199,Mira.,"$1,110,104",2017
Little Odessa,N/A,200,FL,"$1,095,885",2017
The Substitute,"$6,096,833",101,Orion,"$14,818,176",2017
Flirting with Disaster,"$164,458",102,Mira.,"$14,702,438",2017
The Chamber,"$5,612,095",103,Uni.,"$14,551,359",2017
Maximum Risk,"$5,612,707",104,Sony,"$14,502,483",2017
In Love and War,"$2,515",105,NL,"$14,481,231",2017
The Arrival,"$4,806,763",106,Orion,"$14,063,331",2017
Bio-Dome,"$4,999,979",107,MGM,"$13,427,615",2017
Secrets & Lies,"$60,813",108,Oct.,"$13,417,292",2017
Ghosts of Mississippi,"$168,012",109,Sony,"$13,323,144",2017
The Associate,"$4,261,304",110,BV,"$12,844,057",2017
Mr. Wrong,"$5,106,797",111,BV,"$12,825,141",2017
Marvin's Room,"$57,739",112,Mira.,"$12,803,305",2017
The Evening Star,"$3,306,445",113,Par.,"$12,767,815",2017
The Spitfire Grill,"$150,049",114,Sony,"$12,658,486",2017
Lone Star,"$232,184",115,SPC,"$12,408,986",2017
Big Night,"$185,749",116,Gold.,"$12,008,376",2017
Alaska,"$2,914,992",117,Sony,"$11,829,959",2017
Mulholland Falls,"$4,306,221",118,MGM,"$11,526,099",2017
2 Days in the Valley,"$3,352,440",119,MGM,"$11,132,210",2017
Michael Collins,"$182,221",120,WB,"$11,092,559",2017
Two If by Sea,"$4,656,986",121,WB,"$10,658,278",2017
Beautiful Girls,"$2,761,790",122,Mira.,"$10,597,759",2017
White Squall,"$3,908,514",123,BV,"$10,292,300",2017
Sunset Park,"$4,705,440",124,Sony,"$10,163,782",2017
A Family Thing,"$3,020,662",125,MGM,"$10,125,417",2017
Mrs. Winterbourne,"$3,872,900",126,Sony,"$10,082,005",2017
