,Domestic_Total_Gross,Name,Production_Budget,Rotten Tomatoes (%),Metacritic (%),Genre,Release date,profit_loss,x_1,x_2,Year
1,5178569.0,Alone in the Dark,20000000.0,1,9.0,Horror,"January 28, 2005",-14821431.0,1,2, 2005
3,10249719.0,House of the Dead,12000000.0,3,15.0,Horror,"October 10, 2003",-1750281.0,1,2, 2003
5,2405420.0,BloodRayne,25000000.0,4,18.0,Action Horror,"January 6, 2006",-22594580.0,1,2, 2006
6,33423521.0,Street Fighter,35000000.0,15,0.0,Action,"December 23, 1994",-1576479.0,1,2, 1994
7,17529157.0,Silent Hill: Revelation,20000000.0,7,16.0,Horror,"October 26, 2012",-2470843.0,1,2, 2012
8,0.0,Postal,15000000.0,7,22.0,Action Comedy,"July 21, 2007",-15000000.0,1,2, 2007
9,22467450.0,Hitman: Agent 47,35000000.0,8,28.0,Action / Adventure,"August 21, 2015",-12532550.0,1,2, 2015
11,11578059.0,Wing Commander,30000000.0,10,21.0,Sci-Fi Action,"March 12, 1999",-18421941.0,1,2, 1999
12,85744662.0,Pokémon: The First Movie,30000000.0,14,35.0,Animation,"July 18, 1998
November 10, 1999 (North America)",55744662.0,1,2,1999
14,43758684.0,Pokémon: The Movie 2000,30000000.0,15,28.0,Animation,"July 17, 1999
July 21, 2000 (North America)",13758684.0,1,2,2000
15,107509366.0,The Angry Birds Movie,73000000.0,43,43.0,Animation,"May 20, 2016",34509366.0,1,2, 2016
16,20915465.0,Super Mario Bros.,48000000.0,15,0.0,Family Adventure,"May 28, 1993",-27084535.0,1,2, 1993
18,40689393.0,Max Payne,35000000.0,16,31.0,Action / Crime,"October 17, 2008",5689393.0,1,2, 2008
21,54647948.0,Assassin's Creed,125000000.0,18,36.0,Action,"December 21, 2016",-70352052.0,1,2, 2016
22,28212337.0,Doom,60000000.0,19,34.0,Sci-Fi Horror,"October 21, 2005",-31787663.0,1,2, 2005
23,131168070.0,Lara Croft: Tomb Raider,115000000.0,20,33.0,Action / Adventure,"June 15, 2001",16168070.0,1,2, 2001
24,51201453.0,Resident Evil: Apocalypse,45000000.0,21,35.0,Action Horror,"September 10, 2004",6201453.0,1,2, 2004
25,17052128.0,Pokémon 3: The Movie,16000000.0,22,22.0,Animation,"July 8, 2000
April 6, 2001 (North America)",1052128.0,1,2,2001
26,43577636.0,Need for Speed,66000000.0,22,39.0,Action,"March 14, 2014",-22422364.0,1,2, 2014
28,60128566.0,Resident Evil: Afterlife,60000000.0,23,37.0,Action Horror,"September 10, 2010",128566.0,1,2, 2010
29,65660196.0,Lara Croft Tomb Raider: The Cradle of Life,95000000.0,24,43.0,Action / Adventure,"July 25, 2003",-29339804.0,1,2, 2003
30,47365290.0,Warcraft,160000000.0,28,32.0,Fantasy,"June 10, 2016",-112634710.0,1,2, 2016
31,42345531.0,Resident Evil: Retribution,65000000.0,30,39.0,Action Horror,"September 14, 2012",-22654469.0,1,2, 2012
32,46982632.0,Silent Hill,50000000.0,30,31.0,Horror,"April 21, 2006",-3017368.0,1,2, 2006
35,26830068.0,Resident Evil: The Final Chapter,40000000.0,35,49.0,Sci-Fi Action,"January 27, 2017",-13169932.0,1,2, 2017
36,90759676.0,Prince of Persia: The Sands of Time,200000000.0,36,50.0,Adventure,"May 28, 2010",-109240324.0,1,2, 2010
37,32131830.0,Final Fantasy: The Spirits Within,137000000.0,44,49.0,Animation,"July 11, 2001",-104868170.0,1,2, 2001
38,40119709.0,Resident Evil,33000000.0,34,33.0,Action Horror,"March 15, 2002",7119709.0,1,2, 2002
