,Title,Release date,Box office revenue,Rotten Tomatoes (%),Metacritic (%),Original game publisher,Type,Network,Fresh,Certified Fresh,total,rott_diff
20,Far Cry,"October 2, 2008",743634,0,0.0,Ubisoft,Normal,Movie,60,75,100,100
24,Tekken,"July 29, 2010",967369,0,0.0,Bandai Namco Games,Normal,Movie,60,75,100,100
11,Alone in the Dark,"January 28, 2005",10442808,1,9.0,Infogrames,Normal,Movie,60,75,100,99
4,Mortal Kombat: Annihilation,"November 21, 1997",51376861,3,11.0,Midway Games,Normal,Movie,60,75,100,97
9,House of the Dead,"October 10, 2003",13818181,3,15.0,Sega,Normal,Movie,60,75,100,97
19,In the Name of the King: A Dungeon Siege Tale,"January 11, 2008",13097915,4,15.0,Microsoft Studios,Normal,Movie,60,75,100,96
13,BloodRayne,"January 6, 2006",3650275,4,18.0,Majesco Entertainment,Normal,Movie,60,75,100,96
22,Street Fighter: The Legend of Chun-Li,"February 27, 2009",12764201,6,17.0,Capcom,Normal,Movie,60,75,100,94
27,Silent Hill: Revelation,"October 26, 2012",52302796,7,16.0,Konami,Normal,Movie,60,75,100,93
16,Postal,"July 21, 2007",146741,7,22.0,Ripcord Games,Normal,Movie,60,75,100,93
29,Hitman: Agent 47,"August 21, 2015",82347656,8,28.0,Square Enix,Normal,Movie,60,75,100,92
1,Double Dragon,"November 4, 1994",2341309,8,0.0,Technōs Japan,Normal,Movie,60,75,100,92
5,Wing Commander,"March 12, 1999",11578059,10,21.0,Origin Systems,Normal,Movie,60,75,100,90
33,Pokémon: The First Movie,"July 18, 1998
November 10, 1999 (North America)",163644662,14,35.0,Nintendo,Animation,Movie,60,75,100,86
36,Pokémon 4Ever,"July 7, 2001
October 11, 2002 (North America)",28023563,14,25.0,Nintendo,Animation,Movie,60,75,100,86
34,Pokémon: The Movie 2000,"July 17, 1999
July 21, 2000 (North America)",133949270,15,28.0,Nintendo,Animation,Movie,60,75,100,85
18,Hitman,"November 21, 2007",99965792,15,35.0,Eidos,Normal,Movie,60,75,100,85
0,Super Mario Bros.,"May 28, 1993",20915465,15,0.0,Nintendo,Normal,Movie,60,75,100,85
2,Street Fighter,"December 23, 1994",99423521,15,0.0,Capcom,Normal,Movie,60,75,100,85
21,Max Payne,"October 17, 2008",85416905,16,31.0,Rockstar Games,Normal,Movie,60,75,100,84
38,Pokémon Heroes,"July 13, 2002
May 16, 2003 (North America)",20867919,16,27.0,Nintendo,Animation,Movie,60,75,100,84
39,Ratchet & Clank,"April 29, 2016",11821329,17,29.0,Sony Interactive Entertainment,Animation,Movie,60,75,100,83
31,Assassin's Creed,"December 21, 2016",240558621,18,36.0,Ubisoft,Normal,Movie,60,75,100,82
12,Doom,"October 21, 2005",55987321,19,34.0,id Software,Normal,Movie,60,75,100,81
6,Lara Croft: Tomb Raider,"June 15, 2001",274703340,20,33.0,Eidos,Normal,Movie,60,75,100,80
10,Resident Evil: Apocalypse,"September 10, 2004",129342769,21,35.0,Capcom,Normal,Movie,60,75,100,79
35,Pokémon 3: The Movie,"July 8, 2000
April 6, 2001 (North America)",68411275,22,22.0,Nintendo,Animation,Movie,60,75,100,78
28,Need for Speed,"March 14, 2014",203277636,22,39.0,Electronic Arts,Normal,Movie,60,75,100,78
17,Resident Evil: Extinction,"September 21, 2007",148412065,22,41.0,Capcom,Normal,Movie,60,75,100,78
25,Resident Evil: Afterlife,"September 10, 2010",300228084,23,37.0,Capcom,Normal,Movie,60,75,100,77
8,Lara Croft Tomb Raider: The Cradle of Life,"July 25, 2003",156505388,24,43.0,Eidos,Normal,Movie,60,75,100,76
30,Warcraft,"June 10, 2016",433537548,28,32.0,Blizzard Entertainment,Normal,Movie,60,75,100,72
26,Resident Evil: Retribution,"September 14, 2012",240004424,30,39.0,Capcom,Normal,Movie,60,75,100,70
14,Silent Hill,"April 21, 2006",97607453,30,31.0,Konami,Normal,Movie,60,75,100,70
15,DOA: Dead or Alive,"September 7, 2006",7516532,33,38.0,Tecmo,Normal,Movie,60,75,100,67
7,Resident Evil,"March 15, 2002",102984862,34,33.0,Capcom,Normal,Movie,60,75,100,66
3,Mortal Kombat,"August 18, 1995",122195920,34,58.0,Midway Games,Normal,Movie,60,75,100,66
32,Resident Evil: The Final Chapter,"January 27, 2017",312257250,35,49.0,Capcom,Normal,Movie,60,75,100,65
23,Prince of Persia: The Sands of Time,"May 28, 2010",336365676,36,50.0,Ubisoft,Normal,Movie,60,75,100,64
40,The Angry Birds Movie,"May 20, 2016",349779543,43,43.0,Rovio Entertainment,Animation,Movie,60,75,100,57
37,Final Fantasy: The Spirits Within,"July 11, 2001",85131830,44,49.0,Square,Animation,Movie,60,75,100,56
