community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg
Moncton,NB,71889,Census subdivision,46.0878,-64.7782,21,2014,1088.4
Moncton,NB,71889,Census subdivision,46.0878,-64.7782,21,2015,1113.9
Stanley,NB,832,Census subdivision,46.2833,-66.739,33,2015,1113.9
Kativik Region,QC,,,58.602778,-70.96547,49,2013,1200.9
Oak Bay,BC,18094,Census subdivision,48.4261,-123.3165,71,2011,1346.6
Oak Bay,BC,18094,Census subdivision,48.4261,-123.3165,91,2013,1200.9
Kativik Region,QC,,,58.602778,-70.96547,115,2014,1088.4
Peterborough County (Douro/Dummer),ON,6709,Census subdivision,44.4909,-78.1114,131,2014,1088.4
Oak Bay,BC,18094,Census subdivision,48.4261,-123.3165,149,2014,1088.4
Ile-d'Orleans Region,QC,93674,Federal electoral district,46.916667,-70.9,152,2011,1346.6
Ile-d'Orleans Region,QC,93674,Federal electoral district,46.916667,-70.9,156,2013,1200.9
Oak Bay,BC,18094,Census subdivision,48.4261,-123.3165,158,2015,1113.9
Killarney,MB,3429,Census subdivision,49.1817,-99.665,161,2012,1310.8
Dufferin (Mono),ON,61735,Census division,44.0034,-80.0535,164,2008,1357.159959
Northumberland (Alnwick/Haldimand),ON,6869,Census subdivision,43.9523,-77.9739,166,2015,1113.9
Stanley,NB,832,Census subdivision,46.2833,-66.739,166,2014,1088.4
Oak Bay,BC,18094,Census subdivision,48.4261,-123.3165,172,2012,1310.8
East St. Paul,MB,9372,Census subdivision,49.9808,-97.0295,177,2010,1493.7
Qualicum Beach,BC,8943,Census subdivision,49.3482,-124.4428,180,2014,1088.4
Kativik Region,QC,,,58.602778,-70.96547,183,2012,1310.8
Ile-d'Orleans Region,QC,93674,Federal electoral district,46.916667,-70.9,189,2015,1113.9
Grey County (Georgian Bluffs),ON,10479,Census subdivision,44.684,-81.0198,195,2015,1113.9
North Saanich,BC,11249,Census subdivision,48.6197,-123.4169,195,2012,1310.8
Northumberland (Alnwick/Haldimand),ON,6869,Census subdivision,43.9523,-77.9739,195,2012,1310.8
Qualicum Beach,BC,8943,Census subdivision,49.3482,-124.4428,195,2015,1113.9
Amherstburg,ON,21936,Census subdivision,42.1014,-83.1087,196,2013,1200.9
Spallumcheen,BC,5106,Census subdivision,50.4279,-119.2469,197,2014,1088.4
Kativik Region,QC,,,58.602778,-70.96547,198,2008,1357.159959
Dufferin (Mono),ON,61735,Census division,44.0034,-80.0535,207,2013,1200.9
Ile-d'Orleans Region,QC,93674,Federal electoral district,46.916667,-70.9,208,2009,1450
Peterborough County (Douro/Dummer),ON,6709,Census subdivision,44.4909,-78.1114,211,2015,1113.9
Cornwall PEI,PEI,5348,Census subdivision,46.2295,-63.217,212,2014,1088.4
Saint-Georges,QC,32513,Census subdivision,46.1229,-70.6704,216,2011,1346.6
New-Wes-Valley,NL,2172,Census subdivision,49.1211,-53.5989,217,2015,1113.9
Perth County (West Perth),ON,8865,Census subdivision,43.4908,-81.2078,219,2010,1493.7
Dufferin (Mono),ON,61735,Census division,44.0034,-80.0535,222,2015,1113.9
Northumberland (Hamilton),ON,10942,Census subdivision,44.0563,-78.2476,222,2010,1493.7
Oak Bay,BC,18094,Census subdivision,48.4261,-123.3165,223,2009,1450
Port Moody,BC,33551,Census subdivision,49.2849,-122.8678,226,2015,1113.9
Lanark County (Beckwith),ON,7644,Census subdivision,45.0869,-76.0686,227,2014,1088.4
Oak Bay,BC,18094,Census subdivision,48.4261,-123.3165,233,2010,1493.7
Peterborough County (Douro/Dummer),ON,6709,Census subdivision,44.4909,-78.1114,236,2013,1200.9
Northumberland (Hamilton),ON,10942,Census subdivision,44.0563,-78.2476,238,2009,1450
North Saanich,BC,11249,Census subdivision,48.6197,-123.4169,239,2015,1113.9
Peterborough County (Selwyn),ON,17060,Census subdivision,44.4228,-78.3541,239,2014,1088.4
Amherstburg,ON,21936,Census subdivision,42.1014,-83.1087,240,2014,1088.4
Northumberland (Hamilton),ON,10942,Census subdivision,44.0563,-78.2476,240,2014,1088.4
Essex County (Tecumseh),ON,23229,Census subdivision,42.3118,-82.8858,243,2010,1493.7
Westman,MB,,,49.875,-100.33333,243,2008,1357.159959
Oak Bay,BC,18094,Census subdivision,48.4261,-123.3165,245,2008,1357.159959
Qualicum Beach,BC,8943,Census subdivision,49.3482,-124.4428,245,2013,1200.9
Wellington County,ON,222726,Census division,43.7803,-80.5438,245,2014,1088.4
Mississippi Mills,ON,13163,,45.2314,-76.1938,249,2013,1200.9
North Vancouver District,BC,85935,Census subdivision,49.348,-123.025,251,2014,1088.4
Grey County (Georgian Bluffs),ON,10479,Census subdivision,44.684,-81.0198,253,2013,1200.9
Lanark County (Beckwith),ON,7644,Census subdivision,45.0869,-76.0686,256,2013,1200.9
Carman Area,MB,3164,Census subdivision,49.5086,-98.0017,257,2009,1450
Frontenac,ON,150475,Census division,44.5797,-76.5654,257,2014,1088.4
Carman Area,MB,3164,Census subdivision,49.5086,-98.0017,259,2013,1200.9
Northumberland (Hamilton),ON,10942,Census subdivision,44.0563,-78.2476,259,2013,1200.9
North Vancouver District,BC,85935,Census subdivision,49.348,-123.025,261,2015,1113.9
Perth County (West Perth),ON,8865,Census subdivision,43.4908,-81.2078,261,2015,1113.9
Peterborough County (Douro/Dummer),ON,6709,Census subdivision,44.4909,-78.1114,261,2008,1357.159959
Kativik Region,QC,,,58.602778,-70.96547,262,2009,1450
Coldstream,BC,10648,Census subdivision,50.2241,-119.1683,264,2015,1113.9
Saltspring Island,BC,10557,Census subdivision,48.8167,-123.5089,266,2015,1113.9
Ste. Marie,QC,,,46.439,-71.0213,268,2010,1493.7
Kativik Region,QC,,,58.602778,-70.96547,272,2010,1493.7
Stirling,ON,4882,Census subdivision,44.3603,-77.5921,272,2009,1450
Essex County (Tecumseh),ON,23229,Census subdivision,42.3118,-82.8858,273,2015,1113.9
Caledon,ON,66502,Census subdivision,43.8363,-79.8745,274,2009,1450
Headingley,MB,3579,Census subdivision,49.887,-97.3772,276,2014,1088.4
Dufferin (Mono),ON,61735,Census division,44.0034,-80.0535,278,2014,1088.4
Peterborough County (Selwyn),ON,17060,Census subdivision,44.4228,-78.3541,278,2015,1113.9
Port Moody,BC,33551,Census subdivision,49.2849,-122.8678,281,2012,1310.8
Jacques-Cartier Region,QC,43485,Census division,47.033333,-71.58333,282,2009,1450
Charlevoix Region,QC,12997,Census division,47.6304,-70.6482,284,2011,1346.6
Lanark County (Beckwith),ON,7644,Census subdivision,45.0869,-76.0686,284,2015,1113.9
Port Moody,BC,33551,Census subdivision,49.2849,-122.8678,285,2014,1088.4
Lanark County (Beckwith),ON,7644,Census subdivision,45.0869,-76.0686,286,2010,1493.7
Dufferin (Mono),ON,61735,Census division,44.0034,-80.0535,289,2012,1310.8
Peterborough County (Douro/Dummer),ON,6709,Census subdivision,44.4909,-78.1114,289,2012,1310.8
Jacques-Cartier Region,QC,43485,Census division,47.033333,-71.58333,290,2008,1357.159959
Grey County (Georgian Bluffs),ON,10479,Census subdivision,44.684,-81.0198,292,2011,1346.6
