,community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg
0,100 Mile House,BC,1980.0,Census subdivision,51.644,-121.295,1093.0,2008,1357.159959
1,100 Mile House,BC,1980.0,Census subdivision,51.644,-121.295,1220.0,2009,1450.0
2,100 Mile House,BC,1980.0,Census subdivision,51.644,-121.295,953.0,2010,1493.7
3,100 Mile House,BC,1980.0,Census subdivision,51.644,-121.295,1162.0,2011,1346.6
4,100 Mile House,BC,1980.0,Census subdivision,51.644,-121.295,972.0,2012,1310.8
5,100 Mile House,BC,1980.0,Census subdivision,51.644,-121.295,908.0,2013,1200.9
6,100 Mile House,BC,1980.0,Census subdivision,51.644,-121.295,1018.0,2014,1088.4
7,100 Mile House,BC,1980.0,Census subdivision,51.644,-121.295,794.0,2015,1113.9
8,Abbotsford,BC,141397.0,Census subdivision,49.0504,-122.3045,1188.0,2008,1357.159959
9,Abbotsford,BC,141397.0,Census subdivision,49.0504,-122.3045,1295.0,2009,1450.0
10,Abbotsford,BC,141397.0,Census subdivision,49.0504,-122.3045,1209.0,2010,1493.7
11,Abbotsford,BC,141397.0,Census subdivision,49.0504,-122.3045,961.0,2011,1346.6
12,Abbotsford,BC,141397.0,Census subdivision,49.0504,-122.3045,749.0,2012,1310.8
13,Abbotsford,BC,141397.0,Census subdivision,49.0504,-122.3045,661.0,2013,1200.9
14,Abbotsford,BC,141397.0,Census subdivision,49.0504,-122.3045,801.0,2014,1088.4
15,Abbotsford,BC,141397.0,Census subdivision,49.0504,-122.3045,805.0,2015,1113.9
16,Abitibi Region,QC,24639.0,Census division,48.6955,-77.8985,976.0,2008,1357.159959
17,Abitibi Region,QC,24639.0,Census division,48.6955,-77.8985,1197.0,2009,1450.0
18,Abitibi Region,QC,24639.0,Census division,48.6955,-77.8985,1333.0,2010,1493.7
19,Abitibi Region,QC,24639.0,Census division,48.6955,-77.8985,1350.0,2011,1346.6
20,Abitibi Region,QC,24639.0,Census division,48.6955,-77.8985,1540.0,2012,1310.8
21,Abitibi Region,QC,24639.0,Census division,48.6955,-77.8985,1329.0,2013,1200.9
22,Abitibi Region,QC,24639.0,Census division,48.6955,-77.8985,1338.0,2014,1088.4
23,Abitibi Region,QC,24639.0,Census division,48.6955,-77.8985,1394.0,2015,1113.9
24,Abitibi-Ouest Region,QC,20538.0,Census division,48.7686,-79.1244,1029.0,2008,1357.159959
25,Abitibi-Ouest Region,QC,20538.0,Census division,48.7686,-79.1244,1371.0,2009,1450.0
26,Abitibi-Ouest Region,QC,20538.0,Census division,48.7686,-79.1244,1189.0,2010,1493.7
27,Abitibi-Ouest Region,QC,20538.0,Census division,48.7686,-79.1244,1218.0,2011,1346.6
28,Abitibi-Ouest Region,QC,20538.0,Census division,48.7686,-79.1244,1291.0,2012,1310.8
29,Abitibi-Ouest Region,QC,20538.0,Census division,48.7686,-79.1244,1352.0,2013,1200.9
30,Abitibi-Ouest Region,QC,20538.0,Census division,48.7686,-79.1244,1278.0,2014,1088.4
31,Abitibi-Ouest Region,QC,20538.0,Census division,48.7686,-79.1244,1450.0,2015,1113.9
32,Acadian Peninsula District,NB,,,47.5237,-65.2143,1241.0,2008,1357.159959
33,Acadian Peninsula District,NB,,,47.5237,-65.2143,1540.0,2009,1450.0
34,Acadian Peninsula District,NB,,,47.5237,-65.2143,1868.0,2010,1493.7
35,Acadian Peninsula District,NB,,,47.5237,-65.2143,1576.0,2011,1346.6
36,Acadian Peninsula District,NB,,,47.5237,-65.2143,1353.0,2012,1310.8
37,Acadian Peninsula District,NB,,,47.5237,-65.2143,1353.0,2013,1200.9
38,Acadian Peninsula District,NB,,,47.5237,-65.2143,0.0,2014,1088.4
39,Acadian Peninsula District,NB,,,47.5237,-65.2143,0.0,2015,1113.9
40,Acton Region,QC,15594.0,Census division,45.5893,-72.5239,1317.0,2008,1357.159959
41,Acton Region,QC,15594.0,Census division,45.5893,-72.5239,1246.0,2009,1450.0
42,Acton Region,QC,15594.0,Census division,45.5893,-72.5239,1036.0,2010,1493.7
43,Acton Region,QC,15594.0,Census division,45.5893,-72.5239,1274.0,2011,1346.6
44,Acton Region,QC,15594.0,Census division,45.5893,-72.5239,1606.0,2012,1310.8
45,Acton Region,QC,15594.0,Census division,45.5893,-72.5239,1180.0,2013,1200.9
46,Acton Region,QC,15594.0,Census division,45.5893,-72.5239,1013.0,2014,1088.4
47,Acton Region,QC,15594.0,Census division,45.5893,-72.5239,1174.0,2015,1113.9
48,Airdrie,AB,61581.0,Census subdivision,51.2917,-114.0144,1073.0,2008,1357.159959
49,Airdrie,AB,61581.0,Census subdivision,51.2917,-114.0144,1275.0,2009,1450.0
50,Airdrie,AB,61581.0,Census subdivision,51.2917,-114.0144,1467.0,2010,1493.7
