,community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg,community_prov
4525,Stanley,NB,832.0,Census subdivision,46.2833,-66.73899999999999,0.0,2008,1357.159959,"Stanley, NB"
4531,T'Kumlups,BC,,,50.680275,-120.29456,0.0,2008,1357.159959,"T'Kumlups, BC"
4533,Terrace,BC,11643.0,Census subdivision,54.5182,-128.6032,0.0,2008,1357.159959,"Terrace, BC"
4536,Arnprior,ON,8795.0,Census subdivision,45.4347,-76.3518,0.0,2008,1357.159959,"Arnprior, ON"
4546,Baie Verte,NL,1313.0,Census subdivision,49.9393,-56.1907,0.0,2008,1357.159959,"Baie Verte, NL"
4554,Blairmore,AB,,,49.63399999999999,-114.5183,0.0,2008,1357.159959,"Blairmore, AB"
4588,Joliette,QC,20484.0,Census subdivision,46.013999999999996,-73.4178,0.0,2008,1357.159959,"Joliette, QC"
4598,Kipling,SK,1074.0,Census subdivision,50.1023,-102.6323,0.0,2008,1357.159959,"Kipling, SK"
4606,Lloydminster,SK,11765.0,Census subdivision,53.278,-110.005,0.0,2008,1357.159959,"Lloydminster, SK"
4648,West Kelowna,BC,32655.0,Census subdivision,49.8636,-119.5645,0.0,2008,1357.159959,"West Kelowna, BC"
4650,Whitbourne,NL,890.0,Census subdivision,47.4184,-53.5327,0.0,2008,1357.159959,"Whitbourne, NL"
4656,Blackfalds,AB,9328.0,Census subdivision,52.3808,-113.7946,0.0,2008,1357.159959,"Blackfalds, AB"
4661,Bonavista,NL,3448.0,Census subdivision,48.6533,-53.1118,0.0,2008,1357.159959,"Bonavista, NL"
4667,Bouctouche,NB,2361.0,Census subdivision,46.4723,-64.7243,0.0,2008,1357.159959,"Bouctouche, NB"
4673,Caraquet,NB,4248.0,Town,47.7897,-64.9628,0.0,2008,1357.159959,"Caraquet, NB"
4679,Channel-Port aux Basques,NL,4067.0,Census subdivision,47.5721,-59.1364,0.0,2008,1357.159959,"Channel-Port aux Basques, NL"
4685,Clair,NB,781.0,,47.2534,-68.6053,0.0,2008,1357.159959,"Clair, NB"
4691,Clarenville,NL,6291.0,Census subdivision,48.1682,-53.9646,0.0,2008,1357.159959,"Clarenville, NL"
4697,Cornwall PEI,PEI,5348.0,Census subdivision,46.2295,-63.217,0.0,2008,1357.159959,"Cornwall PEI, PEI"
4703,Creston,BC,5351.0,Census subdivision,49.0955,-116.5135,0.0,2008,1357.159959,"Creston, BC"
4708,Deer Lake,NL,5249.0,Census subdivision,49.1732,-57.4339,0.0,2008,1357.159959,"Deer Lake, NL"
4715,East St. Paul,MB,9372.0,Census subdivision,49.9808,-97.0295,0.0,2008,1357.159959,"East St. Paul, MB"
4716,Ferryland,NL,414.0,Census subdivision,47.0339,-52.8827,0.0,2008,1357.159959,"Ferryland, NL"
4722,Grand Bay Westfield,NB,4964.0,Census subdivision,45.3615,-66.2417,0.0,2008,1357.159959,"Grand Bay Westfield, NB"
4728,Grand Falls,NL,1109.0,Census subdivision,48.9277,-55.6575,0.0,2008,1357.159959,"Grand Falls, NL"
4734,Hampton,NB,4289.0,Census subdivision,45.533,-65.8322,0.0,2008,1357.159959,"Hampton, NB"
4740,Holyrood,NL,2463.0,Census subdivision,47.385,-53.1247,0.0,2008,1357.159959,"Holyrood, NL"
4746,Huron (Central Huron),ON,7576.0,Census subdivision,43.6636,-81.4718,0.0,2008,1357.159959,"Huron (Central Huron), ON"
4750,James Bay,ON,83257.0,Federal electoral district,53.083332999999996,-80.58333,0.0,2008,1357.159959,"James Bay, ON"
4752,Joliette Region,QC,66550.0,Census division,46.016667,-73.45,0.0,2008,1357.159959,"Joliette Region, QC"
4753,Kamloops,BC,90280.0,Census subdivision,50.6745,-120.3273,0.0,2008,1357.159959,"Kamloops, BC"
4754,Kelowna,BC,127380.0,Census subdivision,49.888000000000005,-119.49600000000001,0.0,2008,1357.159959,"Kelowna, BC"
4755,Kent,BC,6067.0,Census subdivision,49.2516,-121.8553,0.0,2008,1357.159959,"Kent, BC"
4757,Keswick,NB,1652.0,Designated place,45.9948,-66.8274,0.0,2008,1357.159959,"Keswick, NB"
4765,Lameque,NB,1285.0,Census subdivision,47.7934,-64.6479,0.0,2008,1357.159959,"Lameque, NB"
4771,Lewisporte,NL,3409.0,Census subdivision,49.245,-55.0592,0.0,2008,1357.159959,"Lewisporte, NL"
4777,Middlesex,ON,455526.0,Census division,42.931000000000004,-81.4279,0.0,2008,1357.159959,"Middlesex, ON"
4778,Minto,NB,2305.0,Census subdivision,46.0762,-66.0749,0.0,2008,1357.159959,"Minto, NB"
4784,Moncton,NB,71889.0,Census subdivision,46.0878,-64.7782,0.0,2008,1357.159959,"Moncton, NB"
4790,Nackawic,NB,941.0,Census subdivision,45.9891,-67.2412,0.0,2008,1357.159959,"Nackawic, NB"
4796,Neguac,NB,1684.0,Census subdivision,47.2553,-65.0709,0.0,2008,1357.159959,"Neguac, NB"
4802,New Hazelton,BC,580.0,Census subdivision,55.2476,-127.5916,0.0,2008,1357.159959,"New Hazelton, BC"
4803,New-Wes-Valley,NL,2172.0,Census subdivision,49.1211,-53.5989,0.0,2008,1357.159959,"New-Wes-Valley, NL"
4809,Northern Rockies Regional Municipality,BC,4831.0,Census subdivision,58.8232,-123.4128,0.0,2008,1357.159959,"Northern Rockies Regional Municipality, BC"
4814,Peachland,BC,5428.0,Census subdivision,49.7703,-119.7408,0.0,2008,1357.159959,"Peachland, BC"
4819,Perth Andover,NB,1590.0,Census subdivision,46.7458,-67.6978,0.0,2008,1357.159959,"Perth Andover, NB"
4825,Placentia,NL,3496.0,,47.2421,-53.9633,0.0,2008,1357.159959,"Placentia, NL"
4831,Prairie Mountain,MB,1420.0,Census subdivision,49.8478,-99.949,0.0,2008,1357.159959,"Prairie Mountain, MB"
4834,Prince Rupert,BC,12220.0,Census subdivision,54.315,-130.3208,0.0,2008,1357.159959,"Prince Rupert, BC"
4835,Redcliff,AB,5600.0,Census subdivision,50.071999999999996,-110.7819,0.0,2008,1357.159959,"Redcliff, AB"
4837,Richibucto,NB,1266.0,Census subdivision,46.6818,-64.866,0.0,2008,1357.159959,"Richibucto, NB"
4843,Riverview,NB,19667.0,Census subdivision,46.0613,-64.8052,0.0,2008,1357.159959,"Riverview, NB"
4849,Rogersville,NB,1166.0,Census subdivision,46.7329,-65.4272,0.0,2008,1357.159959,"Rogersville, NB"
4855,Russell,ON,16520.0,Census subdivision,45.2593,-75.3576,0.0,2008,1357.159959,"Russell, ON"
4856,Russell County/Hawkesbury (The Nation),ON,,,45.4056,-74.9805,0.0,2008,1357.159959,"Russell County/Hawkesbury (The Nation), ON"
4858,Shediac,NB,4789.0,Census subdivision,46.2202,-64.5347,0.0,2008,1357.159959,"Shediac, NB"
4864,Smithers,BC,5401.0,Census subdivision,54.7824,-127.1686,0.0,2008,1357.159959,"Smithers, BC"
4865,Spallumcheen,BC,5106.0,Census subdivision,50.4279,-119.2469,0.0,2008,1357.159959,"Spallumcheen, BC"
4870,Springdale,NL,2971.0,Census subdivision,49.4975,-56.073,0.0,2008,1357.159959,"Springdale, NL"
4876,St George,NB,1517.0,Census subdivision,45.1307,-66.8262,0.0,2008,1357.159959,"St George, NB"
4882,St Stephen,NB,4415.0,Census subdivision,45.1942,-67.2756,0.0,2008,1357.159959,"St Stephen, NB"
4888,Stephenville,NL,1719.0,Census subdivision,48.548,-58.5815,0.0,2008,1357.159959,"Stephenville, NL"
4894,Sussex,NB,2517.0,Census subdivision,45.7236,-65.5109,0.0,2008,1357.159959,"Sussex, NB"
4900,Tracadie Sheila,NB,,,47.5121,-64.9121,0.0,2008,1357.159959,"Tracadie Sheila, NB"
4906,Twillingate,NL,2196.0,Census subdivision,49.6487,-54.7623,0.0,2008,1357.159959,"Twillingate, NL"
91,Outlook,SK,2279.0,,51.4874,-107.0578,3.0,2008,1357.159959,"Outlook, SK"
899,York Region (Markham/Vaughan),ON,328966.0,Census subdivision,43.9885,-79.4704,6.0,2008,1357.159959,"York Region (Markham/Vaughan), ON"
1964,Waterloo Region (Kitchener),ON,233222.0,Census subdivision,43.4758,-80.5438,9.0,2008,1357.159959,"Waterloo Region (Kitchener), ON"
2336,Collingwood,ON,21793.0,Census subdivision,44.5008,-80.2169,11.0,2008,1357.159959,"Collingwood, ON"
2308,Terrebonne,QC,111575.0,Census subdivision,45.693000000000005,-73.6331,12.0,2008,1357.159959,"Terrebonne, QC"
2867,Chilliwack,BC,83788.0,Census subdivision,49.1579,-121.9515,12.0,2008,1357.159959,"Chilliwack, BC"
