Country,2010,2011,2012,2013,2014,2015
Norway,36.6,38.7,37.2,39.7,41.2,46.7
France,16.1,21.6,25.1,29.6,31.4,34.0
Sweden,28.9,27.8,27.3,30.3,28.2,33.6
Italy,5.5,4.6,9.2,17.5,21.7,30.8
Finland,26.4,24.5,27.0,29.5,28.0,29.2
Denmark,16.9,18.2,20.6,25.0,23.5,28.5
Belgium,15.2,15.8,18.9,23.2,24.5,27.9
Netherlands,17.2,19.2,22.3,24.5,26.4,26.2
UK,10.1,11.9,15.5,17.9,21.0,22.8
Germany,11.8,14.0,18.5,23.0,21.1,21.1
Canada,12.5,13.5,14.9,15.9,18.7,20.5
Australia,10.8,13.7,15.5,17.5,19.9,20.1
South Africa,18.1,17.8,18.8,20.0,19.2,19.9
Austria,11.4,14.0,14.4,17.6,17.0,19.5
Israel,18.5,11.5,15.4,18.2,15.6,17.6
Ireland,8.6,7.4,7.3,12.3,11.9,17.0
US,12.7,12.8,13.3,13.7,15.5,16.6
Spain,10.5,11.1,12.9,13.7,14.1,16.1
Switzerland,8.6,8.9,9.3,11.3,12.9,14.6
Malaysia,8.0,8.6,10.0,10.9,14.3,13.9
Thailand,11.2,11.6,11.7,10.0,10.7,12.7
Hong Kong SAR,8.9,9.3,9.7,10.8,10.6,11.4
India,5.5,5.8,6.2,6.7,10.2,11.2
Philippines,10.5,9.8,10.1,11.9,10.8,10.9
Singapore,7.9,8.0,8.6,7.9,8.4,9.9
China,8.8,9.0,9.6,10.7,9.1,9.2
Turkey,8.2,9.2,8.5,6.6,5.9,8.6
Chile,2.3,3.0,3.7,4.7,5.3,8.5
Brazil,5.6,6.1,5.7,6.5,5.9,7.1
Russia,6.8,7.1,7.7,8.1,6.6,6.5
Indonesia,5.9,5.6,6.1,5.0,7.1,6.2
Mexico,7.6,7.7,6.5,5.3,5.0,5.7
Taiwan,2.8,2.8,2.8,2.8,7.5,4.5
South Korea,0.7,0.9,0.7,2.4,1.6,4.1
Japan,0.9,1.1,1.2,1.6,3.5,3.5
Global average,9.6,10.3,11.3,12.7,13.7,14.7
