Age,Athlete,Country,Medal,NOC,Rank,Time,Year
21,Christl Cranz,Germany,Gold,GER,1,97.06,1936
18,KÃ¤the Grasegger,Germany,Silver,GER,2,95.26,1936
16,Laila Schou Nilsen,Norway,Bronze,NOR,3,93.48,1936
18,Erna Steuri,Switzerland,,SUI,4,92.36,1936
29,Hadi Pfeifer,Germany,,GER,5,91.85,1936
27,Lisa Resch,Germany,,GER,6,88.74,1936
17,Johanne Dybwad,Norway,,NOR,7,85.9,1936
27,Jeanette Kessler,Great Britain,,GBR,8,83.97,1936
20,Evie Pinching,Great Britain,,GBR,9,82.19,1936
22,Marcelle BÃ¼hler,Switzerland,,SUI,10,78.87,1936
27,Nora StrÃ¸mstad,Norway,,NOR,11,77.2,1936
27,Frida Clara,Italy,,ITA,12,77.17,1936
24,Grete Nissl,Austria,,AUT,13,76.86,1936
23,"Gratia, Baroness Schimmelpenninck van der Oye",Netherlands,,NED,14,76.09,1936
38,Lois Butler,Canada,,CAN,15,72.31,1936
28,Paula Wiesinger,Italy,,ITA,16,72.19,1936
22,Hertha Rosmini,Austria,,AUT,17,70.69,1936
21,Gretl Weikert,Austria,,AUT,18,70.47,1936
27,Betty Woolsey,United States,,USA,19,69.24,1936
29,KÃ¤the Lettner,Austria,,AUT,20,68.88,1936
30,Helen Boughton-Leigh,United States,,USA,21,67.46,1936
23,RÅ¯Å¾ena BeinhauerovÃ¡,Czechoslovakia,,TCH,22,66.47,1936
30,Birnie Duthie,Great Britain,,GBR,23,66.13,1936
26,Nives Dei Rossi,Italy,,ITA,24,66.06,1936
22,Helen Blane,Great Britain,,GBR,25,64.84,1936
30,Karin Peckert-Forsmann,Estonia,,EST,26,62.31,1936
19,Clarita Heath,United States,,USA,27,59.89,1936
23,Marion Miller,Canada,,CAN,28,58.01,1936
27,Diana Gordon-Lennox,Canada,,CAN,29,57.68,1936
20,Hilde WalterovÃ¡,Czechoslovakia,,TCH,,,1936
45,Edwina Chamier,Canada,,CAN,,,1936
32,Iseline Crivelli,Italy,,ITA,,,1936
25,Mary Bird,United States,,USA,,,1936
20,Trude MÃ¶hwaldovÃ¡,Czechoslovakia,,TCH,,,1936
22,Margot Moles,Spain,,ESP,,,1936
19,Mirdza Martinsone,Latvia,,LAT,,,1936
27,Ernestina Maenza,Spain,,ESP,,,1936
20,Trude Jochum-Beiser,Austria,Gold,AUT,1,6.58,1948
28,Gretchen Fraser,United States,Silver,USA,2,6.95,1948
23,Erika Mahringer,Austria,Bronze,AUT,3,7.04,1948
27,Celina Seghi,Italy,,ITA,4,7.46,1948
24,FranÃ§oise Gignoux,France,,FRA,5,8.14,1948
21,Rosmarie Bleuer,Switzerland,,SUI,6,8.8,1948
25,Anneliese Schuh-Proxauf,Austria,,AUT,7,9.76,1948
24,Hedy Schlunegger,Switzerland,,SUI,8,10.2,1948
28,Alexandra NekvapilovÃ¡,Czechoslovakia,,TCH,9,10.98,1948
21,Lucienne Schmidt-Couttet,France,,FRA,10,11.5,1948
23,Suzanne ThiolliÃ¨re,France,,FRA,10,11.5,1948
22,Resi Hammerer,Austria,,AUT,12,11.87,1948
28,Laila Schou Nilsen,Norway,,NOR,13,12.14,1948
28,Lina Mittner,Switzerland,,SUI,14,12.54,1948
26,May Nilsson,Sweden,,SWE,15,13.03,1948
20,Ruth-Marie Stewart,United States,,USA,16,17.73,1948
23,Becky Cremer,United States,,USA,17,22.01,1948
21,BoÅ¾ena MoserovÃ¡,Czechoslovakia,,TCH,18,23.01,1948
23,Borghild Niskin,Norway,,NOR,19,24.37,1948
27,Georgette Miller-ThiolliÃ¨re,France,,FRA,20,25.79,1948
15,Andrea Mead-Lawrence,United States,,USA,21,30.84,1948
24,Renata Carraretto,Italy,,ITA,22,33.58,1948
31,Isobel Roe,Great Britain,,GBR,23,34.91,1948
19,Sheena Mackintosh,Great Britain,,GBR,24,36,1948
22,Rosemary Sparrow,Great Britain,,GBR,25,37.16,1948
24,Olivia Ausoni,Switzerland,,SUI,26,38.02,1948
21,Xanthe Ryder,Great Britain,,GBR,27,47.1,1948
39,AnikÃ³ IglÃ³i,Hungary,,HUN,,,1948
21,Anita Wachter,Austria,Gold,AUT,1,29.25,1988
