,Age,Athlete,Country,Medal,NOC,Rank,Time
0,21,Christl Cranz,Germany,Gold,GER,1,97.06
1,18,KÃ¤the Grasegger,Germany,Silver,GER,2,95.26
2,16,Laila Schou Nilsen,Norway,Bronze,NOR,3,93.48
3,18,Erna Steuri,Switzerland,,SUI,4,92.36
4,29,Hadi Pfeifer,Germany,,GER,5,91.85
5,27,Lisa Resch,Germany,,GER,6,88.74
6,17,Johanne Dybwad,Norway,,NOR,7,85.90
7,27,Jeanette Kessler,Great Britain,,GBR,8,83.97
8,20,Evie Pinching,Great Britain,,GBR,9,82.19
9,22,Marcelle BÃ¼hler,Switzerland,,SUI,10,78.87
10,27,Nora StrÃ¸mstad,Norway,,NOR,11,77.20
11,27,Frida Clara,Italy,,ITA,12,77.17
12,24,Grete Nissl,Austria,,AUT,13,76.86
13,23,"Gratia, Baroness Schimmelpenninck van der Oye",Netherlands,,NED,14,76.09
14,38,Lois Butler,Canada,,CAN,15,72.31
15,28,Paula Wiesinger,Italy,,ITA,16,72.19
16,22,Hertha Rosmini,Austria,,AUT,17,70.69
17,21,Gretl Weikert,Austria,,AUT,18,70.47
18,27,Betty Woolsey,United States,,USA,19,69.24
19,29,KÃ¤the Lettner,Austria,,AUT,20,68.88
20,30,Helen Boughton-Leigh,United States,,USA,21,67.46
21,23,RÅ¯Å¾ena BeinhauerovÃ¡,Czechoslovakia,,TCH,22,66.47
22,30,Birnie Duthie,Great Britain,,GBR,23,66.13
23,26,Nives Dei Rossi,Italy,,ITA,24,66.06
24,22,Helen Blane,Great Britain,,GBR,25,64.84
25,30,Karin Peckert-Forsmann,Estonia,,EST,26,62.31
26,19,Clarita Heath,United States,,USA,27,59.89
27,23,Marion Miller,Canada,,CAN,28,58.01
28,27,Diana Gordon-Lennox,Canada,,CAN,29,57.68
29,20,Hilde WalterovÃ¡,Czechoslovakia,,TCH,,
30,45,Edwina Chamier,Canada,,CAN,,
31,32,Iseline Crivelli,Italy,,ITA,,
32,25,Mary Bird,United States,,USA,,
33,20,Trude MÃ¶hwaldovÃ¡,Czechoslovakia,,TCH,,
34,22,Margot Moles,Spain,,ESP,,
35,19,Mirdza Martinsone,Latvia,,LAT,,
36,27,Ernestina Maenza,Spain,,ESP,,
37,20,Trude Jochum-Beiser,Austria,Gold,AUT,1,6.58
38,28,Gretchen Fraser,United States,Silver,USA,2,6.95
39,23,Erika Mahringer,Austria,Bronze,AUT,3,7.04
40,27,Celina Seghi,Italy,,ITA,4,7.46
41,24,FranÃ§oise Gignoux,France,,FRA,5,8.14
42,21,Rosmarie Bleuer,Switzerland,,SUI,6,8.80
43,25,Anneliese Schuh-Proxauf,Austria,,AUT,7,9.76
44,24,Hedy Schlunegger,Switzerland,,SUI,8,10.20
45,28,Alexandra NekvapilovÃ¡,Czechoslovakia,,TCH,9,10.98
