Age,Athlete,Country,Medal,NOC,Rank,Time,Year
27,Franz PfnÃ¼r,Germany,Gold,GER,1,99.25,1936
25,Gustav Lantschner,Germany,Silver,GER,2,96.26,1936
23,Ãmile Allais,France,Bronze,FRA,3,94.69,1936
24,Birger Ruud,Norway,,NOR,4,93.38,1936
22,Roman WÃ¶rndle,Germany,,GER,5,91.16,1936
17,Rudi Cranz,Germany,,GER,6,91.03,1936
22,Cinto Sertorelli,Italy,,ITA,7,90.39,1936
34,Alf Konningen,Norway,,NOR,8,90.06,1936
25,Per Fossum,Norway,,NOR,9,88.12,1936
21,"Dick Durrance, Jr.",United States,,USA,10,87.74,1936
20,Maurice Lafforgue,France,,FRA,11,85.83,1936
21,Peter Lunn,Great Britain,,GBR,12,83.82,1936
25,George Page,United States,,USA,13,82.85,1936
20,James Palmer-Tomkinson,Great Britain,,GBR,14,82.52,1936
22,Ciril PraÄek,Yugoslavia,,YUG,15,81.54,1936
20,Walter Hollmann,Czechoslovakia,,TCH,16,81.01,1936
21,Adriano Guarnieri,Italy,,ITA,17,80.94,1936
18,Vittorio Chierroni,Italy,,ITA,18,80.8,1936
21,LÃ¡szlÃ³ Szalay,Hungary,,HUN,19,79.68,1936
27,BronisÅaw Czech,Poland,,POL,20,79.41,1936
21,Johann Knahl,Czechoslovakia,,TCH,21,78.41,1936
24,Roland Allard,France,,FRA,22,77.86,1936
26,"Robert Livermore, Jr.",United States,,USA,23,77.18,1936
23,Horst Scheeser,Romania,,ROU,24,76.55,1936
21,Franci Äop,Yugoslavia,,YUG,25,75.88,1936
19,Walter Pick,Czechoslovakia,,TCH,26,75.3,1936
23,KÃ¡roly KÅvÃ¡ri,Hungary,,HUN,27,75.05,1936
22,Karol ZajÄc,Poland,,POL,28,74.87,1936
35,Christopher Hudson,Great Britain,,GBR,29,73.92,1936
23,Imre CsÃ­k,Hungary,,HUN,30,72.24,1936
21,Bertil Persson,Sweden,,SWE,31,70.95,1936
20,Fedor Weinschenk,Poland,,POL,32,65.67,1936
21,Emil Å½nidar,Yugoslavia,,YUG,33,61.84,1936
26,Eduard HromÃ¡dka,Czechoslovakia,,TCH,,,1936
25,Karl Johan Baadsvik,Canada,,CAN,,,1936
27,Borislav Yordanov,Bulgaria,,BUL,,,1936
21,Willi Zacharias,Romania,,ROU,,,1936
24,Link Washburn,United States,,USA,,,1936
27,William Ball,Canada,,CAN,,,1936
25,Isamu Sekiguchi,Japan,,JPN,,,1936
18,Raymond de Braconnier,Belgium,,BEL,,,1936
20,Dimitrios Negrepontis,Greece,,GRE,,,1936
34,Werner De Spoelberch,Belgium,,BEL,,,1936
18,Rudolf Kloeckner,Romania,,ROU,,,1936
20,Tsutomu Sekido,Japan,,JPN,,,1936
25,Bud Clark,Canada,,CAN,,,1936
23,Iosif Covaci,Romania,,ROU,,,1936
22,Hiroshi Tadano,Japan,,JPN,,,1936
17,Hubert Negele,Liechtenstein,,LIE,,,1936
23,Jacques Peten,Belgium,,BEL,,,1936
24,Asen Tsankov,Bulgaria,,BUL,,,1936
18,Franz SchÃ¤dler,Liechtenstein,,LIE,,,1936
32,Herberts BÄrtulsons,Latvia,,LAT,,,1936
23,Askolds Hermanovskis,Latvia,,LAT,,,1936
25,NazÄ±m Aslangil,Turkey,,TUR,,,1936
22,Ãlker Pamir,Turkey,,TUR,,,1936
28,Sigmund Ruud,Norway,,NOR,,,1936
26,Levente Balatoni,Hungary,,HUN,,,1936
23,Mehmut Åevket Karman,Turkey,,TUR,,,1936
17,ReÅat ErceÅ,Turkey,,TUR,,,1936
19,Boyan Dimitrov,Bulgaria,,BUL,,,1936
37,Raoul Weckbecker,Luxembourg,,LUX,,,1936
21,Rolando Zanni,Italy,,ITA,,,1936
21,Charles Bracht,Belgium,,BEL,,,1936
21,Hubert Hajm,Yugoslavia,,YUG,,,1936
26,James Riddell,Great Britain,,GBR,,,1936
22,Henri Oreiller,France,Gold,FRA,1,3.27,1948
27,Karl Molitor,Switzerland,Silver,SUI,2,6.44,1948
26,James Couttet,France,Bronze,FRA,3,6.95,1948
23,Edi Mall,Austria,,AUT,4,8.54,1948
26,Silvio AlverÃ,Italy,,ITA,5,8.71,1948
28,Hans Hansson,Sweden,,SWE,6,9.31,1948
30,Vittorio Chierroni,Italy,,ITA,7,9.69,1948
28,Hans Nogler,Austria,,AUT,8,9.96,1948
27,AntonÃ­n Å ponar,Czechoslovakia,,TCH,9,11.19,1948
27,Edy Reinalter,Switzerland,,SUI,10,12.01,1948
31,Eberhard Kneisl,Austria,,AUT,11,12.36,1948
21,Jack Reddish,United States,,USA,12,13.24,1948
25,Engelbert Haider,Austria,,AUT,13,13.26,1948
27,LuboÅ¡ Brchel,Czechoslovakia,,TCH,14,14.85,1948
23,Adolf Odermatt,Switzerland,,SUI,15,15.64,1948
23,Fernand Grosjean,Switzerland,,SUI,16,16.61,1948
19,Bjarne Arentz,Norway,,NOR,17,17.17,1948
18,Georges Panisset,France,,FRA,18,18.38,1948
20,Ãke Nilsson,Sweden,,SWE,19,19.43,1948
25,Marius Eriksen,Norway,,NOR,20,19.68,1948
21,Harvey Clifford,Canada,,CAN,21,20.34,1948
26,Sverre Johannessen,Norway,,NOR,22,21,1948
20,Hector Sutherland,Canada,,CAN,23,21.72,1948
23,Claude Penz,France,,FRA,24,22.98,1948
25,Steve Knowlton,United States,,USA,25,23.75,1948
30,Barney McLean,United States,,USA,26,25.15,1948
22,JÃ³zef Marusarz,Poland,,POL,27,25.96,1948
22,Pentti Alonen,Finland,,FIN,28,26.38,1948
26,"Bob Blatt, Jr.",United States,,USA,29,27.83,1948
24,PÃ©ter Szikla,Hungary,,HUN,30,29.14,1948
25,Jan GÄsienica Ciaptak,Poland,,POL,31,31.12,1948
20,Stein Eriksen,Norway,,NOR,32,32.5,1948
24,Daniel Å lachta,Czechoslovakia,,TCH,33,34.41,1948
26,Slavko Lukanc,Yugoslavia,,YUG,34,35.45,1948
24,TamÃ¡s SzÃ©kely,Hungary,,HUN,35,37.79,1948
27,Bill Irwin,Canada,,CAN,36,39.25,1948
21,MatevÅ¾ Lukanc,Yugoslavia,,YUG,37,42.81,1948
22,HernÃ¡n Oelckers,Chile,,CHI,38,42.83,1948
27,"Philippe, Count d'Ursel",Belgium,,BEL,39,45.14,1948
21,Dumitru FrÄÈilÄ,Romania,,ROU,40,45.88,1948
22,Ion Coliban,Romania,,ROU,41,46.12,1948
24,Michel Feron,Belgium,,BEL,42,46.52,1948
26,Dumitru SulicÄ,Romania,,ROU,42,46.52,1948
27,David Madzhar,Bulgaria,,BUL,44,46.67,1948
30,Donald Garrow,Great Britain,,GBR,45,46.98,1948
35,KÃ¡roly KÅvÃ¡ri,Hungary,,HUN,46,48.35,1948
17,Franz Beck,Liechtenstein,,LIE,47,48.37,1948
24,MagnÃºs BrynjÃ³lfsson,Iceland,,ISL,48,52.76,1948
30,Bert Irwin,Canada,,CAN,49,53.51,1948
21,Leopold SchÃ¤dler,Liechtenstein,,LIE,50,54.48,1948
25,JoÅ¾e Bertoncelj,Yugoslavia,,YUG,51,55.14,1948
24,Jaime ErrÃ¡zuriz,Chile,,CHI,52,60.91,1948
26,Vasile Ionescu,Romania,,ROU,53,61.48,1948
25,JosÃ© Arias,Spain,,ESP,54,65.4,1948
23,Dimitar Drazhev,Bulgaria,,BUL,55,65.77,1948
17,Otto Jung,Argentina,,ARG,56,66.05,1948
25,Arturo Hammersley,Chile,,CHI,57,69.32,1948
16,Theodor Sele,Liechtenstein,,LIE,58,72.78,1948
25,Thomas de Morawitz,Spain,,ESP,59,73.06,1948
21,Gino de PellegrÃ­n,Argentina,,ARG,60,73.29,1948
23,Harry Taylor,Great Britain,,GBR,61,75.99,1948
21,Max Gassner,Liechtenstein,,LIE,62,76.56,1948
19,Luis de Ridder,Argentina,,ARG,63,80.11,1948
17,Pablo Rosenkjer,Argentina,,ARG,64,84.62,1948
21,ÃÃ³rir JÃ³nsson,Iceland,,ISL,65,89.4,1948
19,Lajos MÃ¡tÃ©,Hungary,,HUN,66,89.62,1948
27,GuÃ°mundur GuÃ°mundsson,Iceland,,ISL,67,105.11,1948
21,Stig Sollander,Sweden,,SWE,,,1948
25,Olle Dalman,Sweden,,SWE,,,1948
24,Jerzy Schindler,Poland,,POL,,,1948
32,James Palmer-Tomkinson,Great Britain,,GBR,,,1948
22,Gonzalo DomÃ­nguez,Chile,,CHI,,,1948
22,Dursun Bozkurt,Turkey,,TUR,,,1948
18,Osman YÃ¼ce,Turkey,,TUR,,,1948
21,JosÃ© VilÃ,Spain,,ESP,,,1948
27,Fotis Mavriplis,Greece,,GRE,,,1948
20,Fernando ArmiÃ±Ã¡n,Spain,,ESP,,,1948
,Munir Itani,Lebanon,,LIB,,,1948
20,Aimo Vartiainen,Finland,,FIN,,,1948
25,Hubert Strolz,Austria,Gold,AUT,1,36.55,1988
22,Bernhard Gstrein,Austria,Silver,AUT,2,43.45,1988
20,Paul Accola,Switzerland,Bronze,SUI,3,48.24,1988
22,Luc Alphand,France,,FRA,4,57.73,1988
20,Peter Jurko,Czechoslovakia,,TCH,5,58.56,1988
21,Jean-Luc CrÃ©tier,France,,FRA,6,62.98,1988
24,Markus Wasmeier,West Germany,,FRG,7,65.44,1988
18,AdriÃ¡n BÃ­reÅ¡,Czechoslovakia,,TCH,8,68.5,1988
21,Finn Christian Jagge,Norway,,NOR,9,95.21,1988
23,Niklas Henning,Sweden,,SWE,10,96.25,1988
23,Armin Bittner,West Germany,,FRG,11,99.65,1988
21,Christophe PlÃ©,France,,FRA,12,103.12,1988
22,Thomas Stangassinger,Austria,,AUT,13,107.87,1988
