,Age,Athlete,Country,Medal,NOC,Rank,Time
0,27,Franz PfnÃ¼r,Germany,Gold,GER,1,99.25
1,25,Gustav Lantschner,Germany,Silver,GER,2,96.26
2,23,Ãmile Allais,France,Bronze,FRA,3,94.69
3,24,Birger Ruud,Norway,,NOR,4,93.38
4,22,Roman WÃ¶rndle,Germany,,GER,5,91.16
5,17,Rudi Cranz,Germany,,GER,6,91.03
6,22,Cinto Sertorelli,Italy,,ITA,7,90.39
7,34,Alf Konningen,Norway,,NOR,8,90.06
8,25,Per Fossum,Norway,,NOR,9,88.12
9,21,"Dick Durrance, Jr.",United States,,USA,10,87.74
10,20,Maurice Lafforgue,France,,FRA,11,85.83
11,21,Peter Lunn,Great Britain,,GBR,12,83.82
12,25,George Page,United States,,USA,13,82.85
13,20,James Palmer-Tomkinson,Great Britain,,GBR,14,82.52
14,22,Ciril PraÄek,Yugoslavia,,YUG,15,81.54
15,20,Walter Hollmann,Czechoslovakia,,TCH,16,81.01
16,21,Adriano Guarnieri,Italy,,ITA,17,80.94
17,18,Vittorio Chierroni,Italy,,ITA,18,80.80
18,21,LÃ¡szlÃ³ Szalay,Hungary,,HUN,19,79.68
19,27,BronisÅaw Czech,Poland,,POL,20,79.41
20,21,Johann Knahl,Czechoslovakia,,TCH,21,78.41
21,24,Roland Allard,France,,FRA,22,77.86
22,26,"Robert Livermore, Jr.",United States,,USA,23,77.18
23,23,Horst Scheeser,Romania,,ROU,24,76.55
24,21,Franci Äop,Yugoslavia,,YUG,25,75.88
25,19,Walter Pick,Czechoslovakia,,TCH,26,75.30
26,23,KÃ¡roly KÅvÃ¡ri,Hungary,,HUN,27,75.05
27,22,Karol ZajÄc,Poland,,POL,28,74.87
28,35,Christopher Hudson,Great Britain,,GBR,29,73.92
29,23,Imre CsÃ­k,Hungary,,HUN,30,72.24
30,21,Bertil Persson,Sweden,,SWE,31,70.95
31,20,Fedor Weinschenk,Poland,,POL,32,65.67
32,21,Emil Å½nidar,Yugoslavia,,YUG,33,61.84
33,26,Eduard HromÃ¡dka,Czechoslovakia,,TCH,,
34,25,Karl Johan Baadsvik,Canada,,CAN,,
35,27,Borislav Yordanov,Bulgaria,,BUL,,
36,21,Willi Zacharias,Romania,,ROU,,
37,24,Link Washburn,United States,,USA,,
38,27,William Ball,Canada,,CAN,,
39,25,Isamu Sekiguchi,Japan,,JPN,,
40,18,Raymond de Braconnier,Belgium,,BEL,,
41,20,Dimitrios Negrepontis,Greece,,GRE,,
42,34,Werner De Spoelberch,Belgium,,BEL,,
43,18,Rudolf Kloeckner,Romania,,ROU,,
44,20,Tsutomu Sekido,Japan,,JPN,,
45,25,Bud Clark,Canada,,CAN,,
46,23,Iosif Covaci,Romania,,ROU,,
47,22,Hiroshi Tadano,Japan,,JPN,,
48,17,Hubert Negele,Liechtenstein,,LIE,,
49,23,Jacques Peten,Belgium,,BEL,,
50,24,Asen Tsankov,Bulgaria,,BUL,,
51,18,Franz SchÃ¤dler,Liechtenstein,,LIE,,
52,32,Herberts BÄrtulsons,Latvia,,LAT,,
53,23,Askolds Hermanovskis,Latvia,,LAT,,
54,25,NazÄ±m Aslangil,Turkey,,TUR,,
55,22,Ãlker Pamir,Turkey,,TUR,,
56,28,Sigmund Ruud,Norway,,NOR,,
57,26,Levente Balatoni,Hungary,,HUN,,
58,23,Mehmut Åevket Karman,Turkey,,TUR,,
59,17,ReÅat ErceÅ,Turkey,,TUR,,
60,19,Boyan Dimitrov,Bulgaria,,BUL,,
61,37,Raoul Weckbecker,Luxembourg,,LUX,,
62,21,Rolando Zanni,Italy,,ITA,,
63,21,Charles Bracht,Belgium,,BEL,,
64,21,Hubert Hajm,Yugoslavia,,YUG,,
65,26,James Riddell,Great Britain,,GBR,,
66,22,Henri Oreiller,France,Gold,FRA,1,3.27
67,27,Karl Molitor,Switzerland,Silver,SUI,2,6.44
68,26,James Couttet,France,Bronze,FRA,3,6.95
69,23,Edi Mall,Austria,,AUT,4,8.54
70,26,Silvio AlverÃ,Italy,,ITA,5,8.71
71,28,Hans Hansson,Sweden,,SWE,6,9.31
72,30,Vittorio Chierroni,Italy,,ITA,7,9.69
73,28,Hans Nogler,Austria,,AUT,8,9.96
74,27,AntonÃ­n Å ponar,Czechoslovakia,,TCH,9,11.19
75,27,Edy Reinalter,Switzerland,,SUI,10,12.01
76,31,Eberhard Kneisl,Austria,,AUT,11,12.36
77,21,Jack Reddish,United States,,USA,12,13.24
78,25,Engelbert Haider,Austria,,AUT,13,13.26
79,27,LuboÅ¡ Brchel,Czechoslovakia,,TCH,14,14.85
80,23,Adolf Odermatt,Switzerland,,SUI,15,15.64
81,23,Fernand Grosjean,Switzerland,,SUI,16,16.61
82,19,Bjarne Arentz,Norway,,NOR,17,17.17
83,18,Georges Panisset,France,,FRA,18,18.38
84,20,Ãke Nilsson,Sweden,,SWE,19,19.43
85,25,Marius Eriksen,Norway,,NOR,20,19.68
86,21,Harvey Clifford,Canada,,CAN,21,20.34
87,26,Sverre Johannessen,Norway,,NOR,22,21.00
88,20,Hector Sutherland,Canada,,CAN,23,21.72
89,23,Claude Penz,France,,FRA,24,22.98
90,25,Steve Knowlton,United States,,USA,25,23.75
91,30,Barney McLean,United States,,USA,26,25.15
92,22,JÃ³zef Marusarz,Poland,,POL,27,25.96
93,22,Pentti Alonen,Finland,,FIN,28,26.38
94,26,"Bob Blatt, Jr.",United States,,USA,29,27.83
95,24,PÃ©ter Szikla,Hungary,,HUN,30,29.14
96,25,Jan GÄsienica Ciaptak,Poland,,POL,31,31.12
97,20,Stein Eriksen,Norway,,NOR,32,32.50
98,24,Daniel Å lachta,Czechoslovakia,,TCH,33,34.41
99,26,Slavko Lukanc,Yugoslavia,,YUG,34,35.45
100,24,TamÃ¡s SzÃ©kely,Hungary,,HUN,35,37.79
101,27,Bill Irwin,Canada,,CAN,36,39.25
102,21,MatevÅ¾ Lukanc,Yugoslavia,,YUG,37,42.81
103,22,HernÃ¡n Oelckers,Chile,,CHI,38,42.83
104,27,"Philippe, Count d'Ursel",Belgium,,BEL,39,45.14
105,21,Dumitru FrÄÈilÄ,Romania,,ROU,40,45.88
106,22,Ion Coliban,Romania,,ROU,41,46.12
107,24,Michel Feron,Belgium,,BEL,42,46.52
108,26,Dumitru SulicÄ,Romania,,ROU,42,46.52
109,27,David Madzhar,Bulgaria,,BUL,44,46.67
110,30,Donald Garrow,Great Britain,,GBR,45,46.98
111,35,KÃ¡roly KÅvÃ¡ri,Hungary,,HUN,46,48.35
112,17,Franz Beck,Liechtenstein,,LIE,47,48.37
113,24,MagnÃºs BrynjÃ³lfsson,Iceland,,ISL,48,52.76
114,30,Bert Irwin,Canada,,CAN,49,53.51
115,21,Leopold SchÃ¤dler,Liechtenstein,,LIE,50,54.48
116,25,JoÅ¾e Bertoncelj,Yugoslavia,,YUG,51,55.14
117,24,Jaime ErrÃ¡zuriz,Chile,,CHI,52,60.91
118,26,Vasile Ionescu,Romania,,ROU,53,61.48
119,25,JosÃ© Arias,Spain,,ESP,54,65.40
120,23,Dimitar Drazhev,Bulgaria,,BUL,55,65.77
121,17,Otto Jung,Argentina,,ARG,56,66.05
122,25,Arturo Hammersley,Chile,,CHI,57,69.32
123,16,Theodor Sele,Liechtenstein,,LIE,58,72.78
124,25,Thomas de Morawitz,Spain,,ESP,59,73.06
125,21,Gino de PellegrÃ­n,Argentina,,ARG,60,73.29
126,23,Harry Taylor,Great Britain,,GBR,61,75.99
127,21,Max Gassner,Liechtenstein,,LIE,62,76.56
128,19,Luis de Ridder,Argentina,,ARG,63,80.11
129,17,Pablo Rosenkjer,Argentina,,ARG,64,84.62
