,Age,Athlete,Country,Medal,NOC,Rank,Time,Year
0,22,Henri Oreiller,France,Gold,FRA,1,2:55.0,1948
1,26,Franz Gabl,Austria,Silver,AUT,2,2:59.1,1948
2,27,Karl Molitor,Switzerland,Bronze,SUI,3T,3:00.3,1948
3,23,Ralph Olinger,Switzerland,Bronze,SUI,3T,3:00.3,1948
4,22,Egon SchÃ¶pf,Austria,,AUT,5,3:01.2,1948
5,26,Silvio AlverÃ,Italy,,ITA,6T,3:02.4,1948
6,25,Carlo Gartner,Italy,,ITA,6T,3:02.4,1948
7,23,Fernand Grosjean,Switzerland,,SUI,8,3:03.1,1948
8,28,Hans Nogler,Austria,,AUT,9,3:03.2,1948
9,28,Hans Hansson,Sweden,,SWE,10,3:05.0,1948
10,34,Sverre Lassen-Urdahl,Norway,,NOR,11T,3:06.4,1948
11,23,Adolf Odermatt,Switzerland,,SUI,11T,3:06.4,1948
12,26,James Couttet,France,,FRA,13,3:07.3,1948
13,25,Engelbert Haider,Austria,,AUT,14,3:08.2,1948
14,31,Eberhard Kneisl,Austria,,AUT,15,3:08.3,1948
15,19,Bjarne Arentz,Norway,,NOR,16,3:09.0,1948
16,27,AntonÃ­n Å ponar,Czechoslovakia,,TCH,17,3:09.1,1948
17,22,Romedi Spada,Switzerland,,SUI,18,3:09.2,1948
18,23,Edi Mall,Austria,,AUT,19,3:09.3,1948
19,25,Marius Eriksen,Norway,,NOR,20,3:09.4,1948
20,30,Vittorio Chierroni,Italy,,ITA,21,3:10.0,1948
21,27,Edy Reinalter,Switzerland,,SUI,22,3:11.0,1948
22,22,Guy de Huertas,France,,FRA,23T,3:12.0,1948
23,18,Georges Panisset,France,,FRA,23T,3:12.0,1948
24,26,Sverre Johannessen,Norway,,NOR,25,3:12.1,1948
25,21,Jack Reddish,United States,,USA,26,3:12.3,1948
26,27,LuboÅ¡ Brchel,Czechoslovakia,,TCH,27,3:12.4,1948
27,21,Harvey Clifford,Canada,,CAN,28T,3:14.1,1948
28,20,Hector Sutherland,Canada,,CAN,28T,3:14.1,1948
29,26,Sixten Isberg,Sweden,,SWE,30,3:15.0,1948
30,20,Stein Eriksen,Norway,,NOR,31,3:15.1,1948
31,28,Eugenio Bonicco,Italy,,ITA,32,3:15.4,1948
32,27,Jean Pazzi,France,,FRA,33,3:16.1,1948
33,23,Claude Penz,France,,FRA,34,3:19.2,1948
34,22,JÃ³zef Marusarz,Poland,,POL,35,3:20.2,1948
35,27,Tine Mulej,Yugoslavia,,YUG,36,3:21.1,1948
36,25,Jan GÄsienica Ciaptak,Poland,,POL,37,3:21.3,1948
37,20,Ãke Nilsson,Sweden,,SWE,38,3:22.2,1948
38,22,Pentti Alonen,Finland,,FIN,39,3:22.3,1948
39,21,Stig Sollander,Sweden,,SWE,40,3:23.1,1948
40,25,Olle Dalman,Sweden,,SWE,41,3:23.2,1948
41,22,Dick Movitz,United States,,USA,42,3:25.2,1948
42,25,Steve Knowlton,United States,,USA,43,3:26.2,1948
43,26,"Bob Blatt, Jr.",United States,,USA,44,3:27.4,1948
44,23,Dev Jennings,United States,,USA,45,3:28.2,1948
45,24,Daniel Å lachta,Czechoslovakia,,TCH,46,3:29.4,1948
46,30,Barney McLean,United States,,USA,47,3:30.1,1948
47,24,PÃ©ter Szikla,Hungary,,HUN,48,3:30.4,1948
48,24,SÃ¡ndor MazÃ¡ny,Hungary,,HUN,49,3:31.4,1948
49,24,Michel Feron,Belgium,,BEL,50,3:34.3,1948
50,21,Radu ScÃ®rneci,Romania,,ROU,51,3:35.0,1948
51,24,TamÃ¡s SzÃ©kely,Hungary,,HUN,52,3:36.0,1948
52,20,Aimo Vartiainen,Finland,,FIN,53,3:36.4,1948
53,26,Slavko Lukanc,Yugoslavia,,YUG,54,3:37.1,1948
