Age,Athlete,Country,Medal,NOC,Rank,Time,Year
24,Hedy Schlunegger,Switzerland,Gold,SUI,1,2:28.3,1948
20,Trude Jochum-Beiser,Austria,Silver,AUT,2,2:29.1,1948
22,Resi Hammerer,Austria,Bronze,AUT,3,2:30.2,1948
27,Celina Seghi,Italy,,ITA,4,2:31.1,1948
28,Lina Mittner,Switzerland,,SUI,5,2:31.2,1948
23,Suzanne ThiolliÃ¨re,France,,FRA,6,2:31.4,1948
28,Laila Schou Nilsen,Norway,,NOR,7,2:32.4,1948
24,FranÃ§oise Gignoux,France,,FRA,7,2:32.4,1948
21,Rosmarie Bleuer,Switzerland,,SUI,9,2:33.3,1948
21,Lucienne Schmidt-Couttet,France,,FRA,10,2:35.2,1948
27,Antoinette Meyer,Switzerland,,SUI,11,2:35.4,1948
19,Brynhild Grasmoen,United States,,USA,12,2:36.0,1948
28,Gretchen Fraser,United States,,USA,13,2:37.1,1948
20,IrÃ¨ne Molitor,Switzerland,,SUI,14,2:37.2,1948
28,Alexandra NekvapilovÃ¡,Czechoslovakia,,TCH,14,2:37.2,1948
22,Annelore ZÃ¼ckert,Austria,,AUT,16,2:38.4,1948
25,Anneliese Schuh-Proxauf,Austria,,AUT,17,2:39.0,1948
26,May Nilsson,Sweden,,SWE,18,2:39.1,1948
23,Erika Mahringer,Austria,,AUT,19,2:39.3,1948
20,Ruth-Marie Stewart,United States,,USA,20,2:42.0,1948
19,Fernande Bayetto,France,,FRA,21,2:43.1,1948
23,Becky Cremer,United States,,USA,22,2:44.2,1948
23,Borghild Niskin,Norway,,NOR,23,2:44.4,1948
24,Olivia Ausoni,Switzerland,,SUI,24,2:45.1,1948
21,BoÅ¾ena MoserovÃ¡,Czechoslovakia,,TCH,25,2:46.1,1948
23,Sophie Nogler,Austria,,AUT,26,2:47.0,1948
31,Isobel Roe,Great Britain,,GBR,27,2:47.3,1948
25,Paula Kann,United States,,USA,28,2:49.0,1948
21,Micheline DesmaziÃ¨res,France,,FRA,29,2:50.2,1948
22,Rosemary Sparrow,Great Britain,,GBR,30,2:52.3,1948
27,Georgette Miller-ThiolliÃ¨re,France,,FRA,31,2:52.4,1948
24,Renata Carraretto,Italy,,ITA,32,2:59.1,1948
19,Sheena Mackintosh,Great Britain,,GBR,33,3:00.0,1948
21,Xanthe Ryder,Great Britain,,GBR,34,3:01.4,1948
15,Andrea Mead-Lawrence,United States,,USA,35,3:03.1,1948
39,AnikÃ³ IglÃ³i,Hungary,,HUN,36,3:07.1,1948
26,Rhona Wurtele,Canada,,CAN,37,3:26.1,1948
24,Trude Jochum-Beiser,Austria,Gold,AUT,1,1:47.1,1952
27,Mirl Buchner,Germany,Silver,GER,2,1:48.0,1952
20,Giuliana Chenal-Minuzzo,Italy,Bronze,ITA,3,1:49.0,1952
27,Erika Mahringer,Austria,,AUT,4,1:49.5,1952
23,Dagmar Rom,Austria,,AUT,5,1:49.8,1952
21,Madeleine Chamot-Berthod,Switzerland,,SUI,6,1:50.7,1952
19,Margit Hvammen,Norway,,NOR,7,1:50.9,1952
21,Joanne Hewson,Canada,,CAN,8,1:51.3,1952
18,Evi Lanig,Germany,,GER,9,1:52.9,1952
22,Ida SchÃ¶pfer,Switzerland,,SUI,10,1:53.0,1952
19,Hannelore Glaser-Franke,Germany,,GER,10,1:53.0,1952
31,Idly Walpoth,Switzerland,,SUI,12,1:53.8,1952
24,Barbara Grocholska,Poland,,POL,13,1:54.1,1952
21,Rosemarie Schutz,Canada,,CAN,14,1:54.6,1952
31,Celina Seghi,Italy,,ITA,15,1:54.9,1952
21,Silvia Glatthard,Switzerland,,SUI,15,1:54.9,1952
19,Andrea Mead-Lawrence,United States,,USA,17,1:55.3,1952
26,Sarah Thomasson,Sweden,,SWE,18,1:55.5,1952
27,Betty Weir,United States,,USA,19,1:55.7,1952
30,Rhoda Wurtele-Eaves,Canada,,CAN,20,1:56.4,1952
22,Dagny JÃ¸rgensen,Norway,,NOR,21,1:56.5,1952
25,Marysette Agnel,France,,FRA,22,1:56.8,1952
21,Katy Rodolph,United States,,USA,23,1:57.4,1952
26,Trude Klecker,Austria,,AUT,24,1:57.9,1952
22,Margareta Jacobsson,Sweden,,SWE,25,1:58.2,1952
23,Sheena Mackintosh,Great Britain,,GBR,26,1:58.6,1952
17,Lucile Wheeler,Canada,,CAN,27,1:59.5,1952
22,Ana MarÃ­a Dellai,Argentina,,ARG,28,2:00.3,1952
25,Ingrid Englund,Sweden,,SWE,29,2:01.3,1952
22,AndrÃ©e Bermond,France,,FRA,30,2:03.1,1952
21,Karen-Sofie Styrmoe,Norway,,NOR,31,2:15.5,1952
21,IldikÃ³ SzendrÅdi-KÅvÃ¡ri,Hungary,,HUN,32,2:18.5,1952
22,Fiona Campbell,Great Britain,,GBR,33,2:26.1,1952
22,Maria Kowalska,Poland,,POL,34,2:27.4,1952
20,Lia LeismÃ¼ller,Germany,,GER,35,2:37.6,1952
25,Jacqueline Martel,France,,FRA,,,1952
27,Borghild Niskin,Norway,,NOR,,,1952
24,Jannette Burr,United States,,USA,,[1:59.1],1952
19,Maria Grazia Marchelli,Italy,,ITA,,,1952
24,Hilary Laing,Great Britain,,GBR,,,1952
23,Teresa Kodelska,Poland,,POL,,,1952
22,Vora Mackintosh,Great Britain,,GBR,,,1952
24,Madeleine Chamot-Berthod,Switzerland,Gold,SUI,1,1:40.7,1956
25,Frieda DÃ¤nzer,Switzerland,Silver,SUI,2,1:45.4,1956
21,Lucile Wheeler,Canada,Bronze,CAN,3,1:45.9,1956
24,Giuliana Chenal-Minuzzo,Italy,,ITA,4,1:47.3,1956
25,Hilde Hofherr,Austria,,AUT,4,1:47.3,1956
20,Carla Marchelli,Italy,,ITA,6,1:47.7,1956
30,Thea Hochleitner,Austria,,AUT,7,1:47.9,1956
22,Josette NeviÃ¨re,France,,FRA,8,1:49.2,1956
31,Borghild Niskin,Norway,,NOR,9,1:49.5,1956
22,Gladys Werner,United States,,USA,10,1:49.6,1956
28,Anna Pellissier,Italy,,ITA,11,1:49.7,1956
29,Trude Klecker,Austria,,AUT,12,1:50.6,1956
25,Putzi Frandl,Austria,,AUT,13,1:51.0,1956
28,Aleksandra Artyomenko,Soviet Union,,URS,14,1:51.1,1956
20,Eivor Berglund,Sweden,,SWE,15,1:51.6,1956
20,Rosemarie Reichenbach,Switzerland,,SUI,15,1:51.6,1956
28,Barbara Grocholska,Poland,,POL,17,1:51.7,1956
29,Ingrid Englund,Sweden,,SWE,18,1:51.8,1956
26,Maria Kowalska,Poland,,POL,19,1:51.9,1956
30,Ossi Reichert,Germany,,GER,20,1:52.3,1956
29,Marysette Agnel,France,,FRA,21,1:52.4,1956
17,Anne Heggtveit,Canada,,CAN,22,1:53.2,1956
19,Carlyn Kruger,Canada,,CAN,22,1:53.2,1956
25,Madeleine Front,France,,FRA,24,1:53.6,1956
24,Hedi Beeler,Switzerland,,SUI,25,1:54.0,1956
25,Inger JÃ¸rgensen,Norway,,NOR,26,1:54.3,1956
16,Astrid Sandvik,Norway,,NOR,27,1:54.4,1956
24,Slava ZupanÄiÄ,Yugoslavia,,YUG,28,1:54.5,1956
23,Hannelore Glaser-Franke,Germany,,GER,29,1:54.7,1956
23,Andrea Mead-Lawrence,United States,,USA,30,1:55.2,1956
23,JakobÃ­na JakobsdÃ³ttir,Iceland,,ISL,31,1:57.2,1956
19,Sonja Sperl,Germany,,GER,32,1:57.8,1956
21,Ginette Seguin,Canada,,CAN,33,1:58.2,1956
17,Penny Pitou,United States,,USA,34,1:58.9,1956
19,Zandra Nowell,Great Britain,,GBR,35,1:59.0,1956
15,Vera Schenone,Italy,,ITA,36,1:59.2,1956
25,Yevgeniya Kabina-Sidorova,Soviet Union,,URS,37,1:59.8,1956
24,Dorothy Surgenor,United States,,USA,38,2:01.5,1956
21,Christine Davy,Australia,,AUS,39,2:01.6,1956
24,Magdalena Marotineanu,Romania,,ROU,40,2:04.0,1956
26,Renate Holmes,Great Britain,,GBR,41,2:05.0,1956
23,Vivi-Anne Wassdahl,Sweden,,SWE,42,2:08.0,1956
29,Jeanne Sandford,Great Britain,,GBR,43,2:15.1,1956
24,Elena Epuran,Romania,,ROU,44,2:27.7,1956
21,Edith Bonlieu,France,,FRA,,,1956
31,Mirl Buchner,Germany,,GER,,,1956
19,Maria GÄsienica Daniel-Szatkowska,Poland,,POL,,,1956
19,Heidi Biebl,Germany,Gold,GER,1,1:37.6,1960
21,Penny Pitou,United States,Silver,USA,2,1:38.6,1960
16,Traudl Hecher,Austria,Bronze,AUT,3,1:38.9,1960
24,Pia Riva,Italy,,ITA,4,1:39.9,1960
21,Jerta Schir,Italy,,ITA,5,1:40.5,1960
21,Anneliese Meggl,Germany,,GER,6,1:40.8,1960
23,Sonja Sperl,Germany,,GER,7,1:41.0,1960
22,Erika Netzer,Austria,,AUT,8,1:41.1,1960
28,Yvonne RÃ¼egg,Switzerland,,SUI,9,1:41.6,1960
24,Carla Marchelli,Italy,,ITA,9,1:41.6,1960
19,Barbi Henneberger,Germany,,GER,11,1:42.4,1960
21,Anne Heggtveit,Canada,,CAN,12,1:42.9,1960
20,Marit Haraldsen,Norway,,NOR,12,1:42.9,1960
26,ThÃ©rÃ¨se Leduc,France,,FRA,14,1:44.2,1960
