,Age,Athlete,Country,Medal,NOC,Rank,Time
0,23,Franck Piccard,France,Gold,FRA,1,1:39.66
1,21,Helmut Mayer,Austria,Silver,AUT,2,1:40.96
2,21,Lars-BÃ¶rje Eriksson,Sweden,Bronze,SWE,3,1:41.08
3,25,Hubert Strolz,Austria,,AUT,4,1:41.11
4,25,Pirmin Zurbriggen,Switzerland,,SUI,5T,1:41.96
5,23,GÃ¼nther Mader,Austria,,AUT,5T,1:41.96
6,22,Luc Alphand,France,,FRA,7,1:42.27
7,29,Leonhard Stock,Austria,,AUT,8,1:42.36
8,32,TomaÅ¾ ÄiÅ¾man,Yugoslavia,,YUG,9,1:42.47
9,25,Ivano Camozzi,Italy,,ITA,10,1:42.66
10,23,Heinz Holzer,Italy,,ITA,11,1:42.88
11,29,Andi Wenzel,Liechtenstein,,LIE,12,1:43.00
12,25,Jim Read,Canada,,CAN,13,1:43.01
13,26,Shinya Chiba,Japan,,JPN,14,1:43.03
14,25,Franz Heinzer,Switzerland,,SUI,15,1:43.32
15,21,Klemen Bergant,Yugoslavia,,YUG,16,1:43.41
16,23,GÃ¼nther Marxer,Liechtenstein,,LIE,17,1:44.16
17,26,Tiger Shaw,United States,,USA,18,1:44.26
18,26,Felix Belczyk,Canada,,CAN,19,1:44.31
19,23,Niklas Lindqvist,Sweden,,SWE,20T,1:44.88
20,26,Yves Tavernier,France,,FRA,20T,1:44.88
21,21,Rob Boyd,Canada,,CAN,22,1:45.04
22,18,AdriÃ¡n BÃ­reÅ¡,Czechoslovakia,,TCH,23,1:45.33
23,21,Matthias Hubrich,New Zealand,,NZL,24T,1:45.46
24,22,Jeff Olson,United States,,USA,24T,1:45.46
25,23,Carlo Gerosa,Italy,,ITA,26,1:45.82
26,20,Peter Jurko,Czechoslovakia,,TCH,27,1:46.03
27,21,Silvio Wille,Liechtenstein,,LIE,28,1:46.08
28,24,Nigel Smith,Great Britain,,GBR,29,1:47.15
29,21,Bill Hudson,United States,,USA,30,1:47.29
30,20,Richard Biggins,Australia,,AUS,31,1:47.38
31,21,Elias Majdalani,Lebanon,,LIB,32,1:47.58
32,19,Juan Pablo Santiagos,Chile,,CHI,33,1:48.74
33,23,Martin Bell,Great Britain,,GBR,34,1:48.82
34,22,Graham Bell,Great Britain,,GBR,35,1:48.98
35,20,Jorge Pujol,Spain,,ESP,36,1:49.33
36,16,Paulo Oppliger,Chile,,CHI,37,1:49.71
37,16,Nahum Orobitg,Andorra,,AND,38,1:53.22
38,23,Jorge Birkner,Argentina,,ARG,39,1:53.79
39,24,Park Jae-Hyuk,South Korea,,KOR,40,1:53.89
40,15,Hur Seung-Wook,South Korea,,KOR,41,1:55.13
41,29,Hubertus von FÃ¼rstenberg-von Hohenlohe,Mexico,,MEX,42,1:56.03
42,17,Resul Sare,Turkey,,TUR,43,1:57.65
43,20,Yakup Kadri Birinci,Turkey,,TUR,44,1:59.32
44,18,Nicola Ercolani,San Marino,,SMR,45,1:59.70
45,20,Ioannis Kapraras,Greece,,GRE,46,2:02.06
46,18,GÃ¶ksay Demirhan,Turkey,,TUR,47,2:02.22
47,17,Sokratis Aristodimou,Cyprus,,CYP,48,2:03.10
48,23,Alex Christian Benoit,Mexico,,MEX,49,2:05.80
49,19,Christian Bruderer,Guatemala,,GUA,50,2:05.99
50,19,Fabio Guardigli,San Marino,,SMR,51,2:06.59
51,17,Jason Edelmann,Puerto Rico,,PUR,52,2:09.93
52,27,Patrice Martell,Mexico,,MEX,53,2:10.69
53,29,Fabrice Notari,Monaco,,MON,54,2:11.73
54,19,Ong Ching-Ming,Chinese Taipei,,TPE,55,2:17.22
55,31,Walter Sandza,Puerto Rico,,PUR,56,2:25.95
56,28,Lin Chi-Liang,Chinese Taipei,,TPE,57,2:30.81
57,21,Carlos AndrÃ©s Bruderer,Guatemala,,GUA,AC,
58,25,Nam Won-Gi,South Korea,,KOR,AC,
59,24,DanÃ­el Hilmarsson,Iceland,,ISL,AC,
60,17,Javier Rivara,Argentina,,ARG,AC,
61,18,Federico van Ditmar,Argentina,,ARG,AC,
