Age,Athlete,Country,Medal,NOC,Rank,Time,Year
23,Sigrid Wolf,Austria,Gold,AUT,1,1:19.03,1988
21,Michela Figini,Switzerland,Silver,SUI,2,1:20.03,1988
21,Karen Percy,Canada,Bronze,CAN,3,1:20.29,1988
26,Regine MÃ¶senlechner,West Germany,,FRG,4,1:20.33,1988
21,Anita Wachter,Austria,,AUT,5,1:20.36,1988
24,Maria Walliser,Switzerland,,SUI,6,1:20.48,1988
21,Michaela Marzola,Italy,,ITA,7,1:20.91,1988
26,ZoÃ« Haas,Switzerland,,SUI,7,1:20.91,1988
21,Edie Thys,United States,,USA,9,1:20.93,1988
27,Christa Kinshofer-GÃ¼thlein,West Germany,,FRG,10,1:20.98,1988
22,Michaela Gerg-Leitner,West Germany,,FRG,10,1:20.98,1988
24,Carole Merle,France,,FRA,12,1:21.01,1988
27,Laurie Graham,Canada,,CAN,13,1:21.11,1988
23,Marina Kiehl,West Germany,,FRG,13,1:21.11,1988
24,Lisi Kirchler,Austria,,AUT,15,1:21.16,1988
24,Catherine Quittet,France,,FRA,16,1:21.48,1988
25,Brigitte Oertli,Switzerland,,SUI,17,1:21.56,1988
24,Debbie Armstrong,United States,,USA,18,1:21.87,1988
19,Lucie Laroche,Canada,,CAN,19,1:21.95,1988
19,Mateja Svet,Yugoslavia,,YUG,20,1:21.96,1988
24,Blanca FernÃ¡ndez Ochoa,Spain,,ESP,21,1:22.04,1988
26,Claudine Emonet,France,,FRA,22,1:22.05,1988
21,Kerrin Lee-Gartner,Canada,,CAN,23,1:22.11,1988
18,Emi Kawabata,Japan,,JPN,24,1:22.24,1988
22,Sylvia Eder,Austria,,AUT,25,1:22.39,1988
18,Hilary Lindh,United States,,USA,26,1:23.11,1988
19,Veronika Å arec,Yugoslavia,,YUG,27,1:23.17,1988
25,Kate Rattray,New Zealand,,NZL,28,1:23.48,1988
20,Ä½udmila MilanovÃ¡,Czechoslovakia,,TCH,29,1:23.92,1988
17,Sachiko Yamamoto,Japan,,JPN,30,1:24.32,1988
21,Wendy Lumby,Great Britain,,GBR,31,1:24.36,1988
19,Kristin Krone,United States,,USA,32,1:24.51,1988
19,Ainhoa Ibarra,Spain,,ESP,33,1:24.70,1988
17,Mihaela Fera,Romania,,ROU,34,1:25.55,1988
23,Clare Booth,Great Britain,,GBR,35,1:26.27,1988
16,Carolina Birkner,Argentina,,ARG,36,1:28.42,1988
18,Carolina Eiras,Argentina,,ARG,37,1:29.87,1988
18,Claudina Rossel,Andorra,,AND,38,1:30.78,1988
17,Mariela Vallecillo,Argentina,,ARG,39,1:33.49,1988
17,Sandra Grau,Andorra,,AND,40,1:33.65,1988
19,Astrid Steverlynck,Argentina,,ARG,41,1:36.51,1988
25,Fiamma Smith,Guatemala,,GUA,,,1988
18,Jacqueline Vogt,Liechtenstein,,LIE,,,1988
19,Cathy Chedal,France,,FRA,,,1988
14,Seba Johnson,United States Virgin Islands,,ISV,,,1988
16,Thomai Lefousi,Greece,,GRE,,,1988
21,Deborah Compagnoni,Italy,Gold,ITA,1,1:21.22,1992
28,Carole Merle,France,Silver,FRA,2,1:22.63,1992
19,Katja Seizinger,Germany,Bronze,GER,3,1:23.19,1992
22,Petra Kronberger,Austria,,AUT,4,1:23.20,1992
24,Ulrike Maier,Austria,,AUT,5,1:23.35,1992
25,Kerrin Lee-Gartner,Canada,,CAN,6,1:23.76,1992
26,Michaela Gerg-Leitner,Germany,,GER,7,1:23.77,1992
26,Eva Twardokens,United States,,USA,8,1:24.19,1992
24,Anita Wachter,Austria,,AUT,9,1:24.20,1992
30,ZoÃ« Haas,Switzerland,,SUI,10,1:24.31,1992
24,Heidi Zeller-BÃ¤hler,Switzerland,,SUI,11,1:24.51,1992
21,Pernilla Wiberg,Sweden,,SWE,12,1:24.58,1992
21,Bibiana Perez,Italy,,ITA,13,1:24.69,1992
30,Regine MÃ¶senlechner,Germany,,GER,14,1:24.85,1992
24,Barbara Sadleder,Austria,,AUT,15,1:24.91,1992
20,Barbara Merlin,Italy,,ITA,16,1:25.13,1992
22,Hilary Lindh,United States,,USA,17,1:25.37,1992
24,Miriam Vogt,Germany,,GER,18,1:25.40,1992
23,Florence Masnada,France,,FRA,19,1:25.42,1992
24,Michelle McKendry-Ruthven,Canada,,CAN,20,1:25.43,1992
26,Anne Berge,Norway,,NOR,21,1:25.65,1992
23,Cathy Chedal,France,,FRA,22,1:25.66,1992
18,Morena Gallizio,Italy,,ITA,23,1:26.19,1992
19,Varvara Zelenskaya,Unified Team,,EUN,24,1:26.39,1992
20,Svetlana Gladysheva,Unified Team,,EUN,25,1:26.51,1992
21,RÃ©gine Cavagnoud,France,,FRA,26,1:26.69,1992
23,Lucia MedzihradskÃ¡,Czechoslovakia,,TCH,27,1:26.76,1992
18,Tetiana Lebedeva,Unified Team,,EUN,28,1:26.92,1992
23,Ainhoa Ibarra,Spain,,ESP,29,1:26.96,1992
19,Birgit Heeb-Batliner,Liechtenstein,,LIE,30,1:27.22,1992
21,Emi Kawabata,Japan,,JPN,31,1:27.31,1992
24,NataÅ¡a Bokal,Slovenia,,SLO,32,1:27.42,1992
21,Sachiko Yamamoto,Japan,,JPN,33,1:27.54,1992
24,Ä½udmila MilanovÃ¡,Czechoslovakia,,TCH,34,1:27.61,1992
20,Emma Bosch,Spain,,ESP,35,1:28.45,1992
24,Valerie Scott,Great Britain,,GBR,36,1:29.74,1992
16,Vicky Grau,Andorra,,AND,37,1:30.07,1992
21,Mihaela Fera,Romania,,ROU,38,1:31.78,1992
22,Carolina Eiras,Argentina,,ARG,39,1:32.33,1992
23,Astrid Steverlynck,Argentina,,ARG,40,1:33.48,1992
18,Marina VidoviÄ,Yugoslavia,,YUG,41,1:34.35,1992
20,Thomai Lefousi,Greece,,GRE,42,1:37.61,1992
18,AnnamÃ¡ria BÃ³nis,Hungary,,HUN,43,1:37.68,1992
22,Vera GÃ¶nczi,Hungary,,HUN,44,1:37.90,1992
23,Liu Yali,China,,CHN,45,1:43.50,1992
17,Evelyn Schuler,Brazil,,BRA,46,1:48.74,1992
16,Li Xueqin,China,,CHN,47,1:48.86,1992
20,Nacera Boukamoum,Algeria,,ALG,48,1:56.07,1992
24,Diann Roffe-Steinrotter,United States,,USA,,,1992
23,Merete Fjeldavlie,Norway,,NOR,,,1992
24,Chantal Bournissen,Switzerland,,SUI,,,1992
24,Heidi Zurbriggen,Switzerland,,SUI,,,1992
20,Astrid LÃ¸demel,Norway,,NOR,,,1992
18,Å pela Pretnar,Slovenia,,SLO,,,1992
19,Barbara Brlec,Slovenia,,SLO,,,1992
22,Debbie Pratt,Great Britain,,GBR,,,1992
20,Julie Parisien,United States,,USA,,[1:24.45],1992
17,UrÅ¡ka Hrovat,Slovenia,,SLO,,[1:26.42],1992
25,Nawal Slaoui,Morocco,,MAR,,,1992
26,Diann Roffe-Steinrotter,United States,Gold,USA,1,1:22.15,1994
22,Svetlana Gladysheva,Russia,Silver,RUS,2,1:22.44,1994
18,Isolde Kostner,Italy,Bronze,ITA,3,1:22.45,1994
23,Pernilla Wiberg,Sweden,,SWE,4,1:22.67,1994
20,Morena Gallizio,Italy,,ITA,5,1:22.73,1994
27,Katrin Gutensohn,Germany,,GER,6,1:22.84,1994
18,Katja Koren,Slovenia,,SLO,7,1:22.96,1994
27,Kerrin Lee-Gartner,Canada,,CAN,8,1:22.98,1994
27,Anita Wachter,Austria,,AUT,9,1:23.01,1994
21,Shannon Nobis,United States,,USA,10,1:23.02,1994
23,RÃ©gine Cavagnoud,France,,FRA,11,1:23.13,1994
24,Kate Pace-Lindsay,Canada,,CAN,12,1:23.22,1994
24,Hilary Lindh,United States,,USA,13,1:23.38,1994
25,Florence Masnada,France,,FRA,14,1:23.43,1994
28,Sylvia Eder,Austria,,AUT,15,1:23.51,1994
26,Heidi Zeller-BÃ¤hler,Switzerland,,SUI,16,1:23.53,1994
23,Deborah Compagnoni,Italy,,ITA,17,1:23.54,1994
18,Hilde Gerg,Germany,,GER,18,1:23.63,1994
30,Carole Merle,France,,FRA,19,1:23.72,1994
17,MÃ©lanie Suchet,France,,FRA,20,1:23.74,1994
21,Varvara Zelenskaya,Russia,,RUS,21,1:23.80,1994
23,Marianne KjÃ¸rstad,Norway,,NOR,22,1:23.83,1994
27,Veronika Wallinger-Stallmaier,Austria,,AUT,22,1:23.83,1994
23,Emi Kawabata,Japan,,JPN,24,1:23.90,1994
26,Michelle McKendry-Ruthven,Canada,,CAN,25,1:24.13,1994
19,UrÅ¡ka Hrovat,Slovenia,,SLO,26,1:24.49,1994
20,Erika Hansson,Sweden,,SWE,27,1:24.50,1994
25,Ainhoa Ibarra,Spain,,ESP,27,1:24.50,1994
18,MarÃ­a JosÃ© Rienda,Spain,,ESP,29,1:24.65,1994
24,Steffi Schuster,Austria,,AUT,30,1:24.76,1994
28,Michaela Gerg-Leitner,Germany,,GER,31,1:25.19,1994
21,Jeanette Lunde,Norway,,NOR,32,1:25.32,1994
25,Lucia MedzihradskÃ¡,Slovakia,,SVK,33,1:25.57,1994
22,Nataliya Buga,Russia,,RUS,34,1:26.09,1994
20,Caroline Gedde-Dahl,Norway,,NOR,35,1:26.13,1994
18,Vicky Grau,Andorra,,AND,36,1:26.39,1994
23,Olga Vedyacheva,Kazakhstan,,KAZ,37,1:26.66,1994
18,Mira Golub,Russia,,RUS,38,1:27.23,1994
23,Mihaela Fera,Romania,,ROU,39,1:28.47,1994
28,Olha Lohinova,Ukraine,,UKR,40,1:30.00,1994
22,Szvetlana Keszthelyi,Hungary,,HUN,41,1:30.21,1994
19,Francisca Steverlynck,Argentina,,ARG,42,1:32.56,1994
16,Dominique Ezquerra,Argentina,,ARG,43,1:32.71,1994
18,Gabriela Quijano,Argentina,,ARG,44,1:33.45,1994
16,Carola Calello,Argentina,,ARG,45,1:35.87,1994
23,Karolina Fotiadou,Cyprus,,CYP,46,1:43.97,1994
26,Heidi Zurbriggen,Switzerland,,SUI,,,1994
21,Katja Seizinger,Germany,,GER,,,1994
23,Bibiana Perez,Italy,,ITA,,,1994
18,Alenka DovÅ¾an,Slovenia,,SLO,,,1994
26,Chantal Bournissen,Switzerland,,SUI,,,1994
22,Megan Gerety,United States,,USA,,,1994
20,Å pela Pretnar,Slovenia,,SLO,,,1994
21,Birgit Heeb-Batliner,Liechtenstein,,LIE,,,1994
23,Ãsta HalldÃ³rsdÃ³ttir,Iceland,,ISL,,,1994
26,Picabo Street,United States,Gold,USA,1,1:18.02,1998
24,Michaela Dorfmeister,Austria,Silver,AUT,2,1:18.03,1998
24,Alexandra Meissnitzer,Austria,Bronze,AUT,3,1:18.09,1998
24,Regina HÃ¤usl,Germany,,GER,4,1:18.27,1998
22,Renate GÃ¶tschl,Austria,,AUT,5,1:18.32,1998
25,Katja Seizinger,Germany,,GER,6,1:18.44,1998
24,Martina Ertl-Renz,Germany,,GER,7,1:18.46,1998
21,MÃ©lanie Suchet,France,,FRA,8,1:18.51,1998
28,Steffi Schuster,Austria,,AUT,9,1:18.53,1998
22,Hilde Gerg,Germany,,GER,10,1:18.59,1998
22,Isolde Kostner,Italy,,ITA,11,1:18.62,1998
25,Varvara Zelenskaya,Russia,,RUS,12,1:18.72,1998
26,Svetlana Gladysheva,Russia,,RUS,13,1:18.82,1998
24,Carole Montillet-Carles,France,,FRA,14,1:18.88,1998
27,Pernilla Wiberg,Sweden,,SWE,14,1:18.88,1998
27,RÃ©gine Cavagnoud,France,,FRA,16,1:18.91,1998
22,Kristine Kristiansen,Norway,,NOR,17,1:19.02,1998
29,Florence Masnada,France,,FRA,18,1:19.03,1998
23,Ingeborg Helen Marken,Norway,,NOR,19,1:19.16,1998
21,MÃ©lanie Turgeon,Canada,,CAN,20,1:19.20,1998
30,Heidi Zurbriggen,Switzerland,,SUI,21,1:19.22,1998
27,Bibiana Perez,Italy,,ITA,22,1:19.47,1998
26,Barbara Merlin,Italy,,ITA,23,1:19.64,1998
23,Mojca Suhadolc,Slovenia,,SLO,24,1:19.66,1998
23,Trude Gimle,Norway,,NOR,25,1:19.71,1998
16,Janica KosteliÄ,Croatia,,CRO,26,1:19.77,1998
28,Kate Pace-Lindsay,Canada,,CAN,27,1:19.89,1998
19,Karen Putzer,Italy,,ITA,28,1:20.16,1998
25,Katie Monahan,United States,,USA,29,1:20.25,1998
20,Å pela BraÄun,Slovenia,,SLO,30,1:20.29,1998
25,Corinne Rey-Bellet,Switzerland,,SUI,31,1:20.31,1998
18,Jonna Mendes,United States,,USA,32,1:20.35,1998
22,Anna Larionova,Russia,,RUS,33,1:20.61,1998
21,Catherine Borghi,Switzerland,,SUI,34,1:20.69,1998
16,Lucie HrstkovÃ¡,Czech Republic,,CZE,35,1:21.74,1998
19,Kumiko Kashiwagi,Japan,,JPN,36,1:21.89,1998
20,Olesya Aliyeva,Russia,,RUS,37,1:22.00,1998
20,Tamara SchÃ¤dler,Liechtenstein,,LIE,38,1:22.90,1998
21,Arijana Boras,Bosnia and Herzegovina,,BIH,39,1:24.48,1998
21,MÃ³nika KovÃ¡cs,Hungary,,HUN,40,1:24.77,1998
20,Carola Calello,Argentina,,ARG,41,1:25.08,1998
20,Kirsten Clark,United States,,USA,,,1998
19,Yuliya Krygina,Kazakhstan,,KAZ,,,1998
26,Daniela Ceccarelli,Italy,Gold,ITA,1,1:13.59,2002
20,Janica KosteliÄ,Croatia,Silver,CRO,2,1:13.64,2002
23,Karen Putzer,Italy,Bronze,ITA,3,1:13.86,2002
28,Alexandra Meissnitzer,Austria,,AUT,4,1:13.95,2002
26,Hilde Gerg,Germany,,GER,5,1:13.99,2002
28,Michaela Dorfmeister,Austria,,AUT,6,1:14.08,2002
28,Carole Montillet-Carles,France,,FRA,7,1:14.28,2002
26,Renate GÃ¶tschl,Austria,,AUT,8,1:14.44,2002
29,Corinne Rey-Bellet,Switzerland,,SUI,9,1:14.73,2002
25,MÃ©lanie Suchet,France,,FRA,10,1:14.83,2002
28,Martina Ertl-Renz,Germany,,GER,11,1:14.84,2002
31,Pernilla Wiberg,Sweden,,SWE,12,1:14.89,2002
26,Isolde Kostner,Italy,,ITA,13,1:14.99,2002
24,Kirsten Clark,United States,,USA,14,1:15.13,2002
20,Carolina Ruiz,Spain,,ESP,15,1:15.17,2002
22,Jonna Mendes,United States,,USA,16,1:15.25,2002
29,Katie Monahan,United States,,USA,17,1:15.59,2002
25,Catherine Borghi,Switzerland,,SUI,18,1:15.62,2002
21,GeneviÃ¨ve Simard,Canada,,CAN,18,1:15.62,2002
25,MÃ©lanie Turgeon,Canada,,CAN,20,1:15.76,2002
27,Mojca Suhadolc,Slovenia,,SLO,21,1:15.90,2002
23,Ingrid Jacquemod,France,,FRA,22,1:16.17,2002
26,Petra Haltmayr,Germany,,GER,23,1:16.25,2002
24,Å pela BraÄun,Slovenia,,SLO,24,1:16.35,2002
20,Lucie HrstkovÃ¡,Czech Republic,,CZE,25,1:16.56,2002
29,Varvara Zelenskaya,Russia,,RUS,26,1:16.62,2002
24,Janette Hargin,Sweden,,SWE,27,1:16.75,2002
19,Chemmy Alcott,Great Britain,,GBR,28,1:17.34,2002
22,Alexandra Munteanu,Romania,,ROU,29,1:17.84,2002
23,Jenny Owens,Australia,,AUS,29,1:17.84,2002
17,Macarena Simari Birkner,Argentina,,ARG,31,1:20.24,2002
22,Caroline Lalive,United States,,USA,,,2002
27,Tanja Schneider,Austria,,AUT,,,2002
24,Sylviane Berthod,Switzerland,,SUI,,,2002
28,Patrizia Bassis,Italy,,ITA,,,2002
28,Regina HÃ¤usl,Germany,,GER,,,2002
25,Anne-Marie LeFranÃ§ois,Canada,,CAN,,,2002
27,Ingeborg Helen Marken,Norway,,NOR,,,2002
22,Sara-Maude Boucher,Canada,,CAN,,,2002
20,Gabriela MartinovovÃ¡,Czech Republic,,CZE,,,2002
21,DagnÃ½ Linda KristjÃ¡nsdÃ³ttir,Iceland,,ISL,,,2002
25,Alice Jones,Australia,,AUS,,,2002
19,Anita IrarrazÃ¡bal,Chile,,CHI,,,2002
32,Michaela Dorfmeister,Austria,Gold,AUT,1,1:32.47,2006
24,Janica KosteliÄ,Croatia,Silver,CRO,2,1:32.74,2006
32,Alexandra Meissnitzer,Austria,Bronze,AUT,3,1:33.06,2006
23,Kelly Vanderbeek,Canada,,CAN,4,1:33.09,2006
32,Carole Montillet-Carles,France,,FRA,5,1:33.31,2006
24,Martina Schild,Switzerland,,SUI,6,1:33.33,2006
21,Lindsey Kildow-Vonn,United States,,USA,7,1:33.42,2006
26,Lucia Recchia,Italy,,ITA,8,1:33.48,2006
25,Emily Brydon,Canada,,CAN,9,1:33.50,2006
30,Petra Haltmayr,Germany,,GER,9,1:33.50,2006
21,Julia Mancuso,United States,,USA,11,1:33.72,2006
24,Anja PÃ¤rson,Sweden,,SWE,12,1:33.88,2006
20,Andrea Fischbacher,Austria,,AUT,13,1:33.97,2006
28,Kirsten Clark,United States,,USA,14,1:33.98,2006
28,Sylviane Berthod,Switzerland,,SUI,15,1:34.00,2006
32,Martina Ertl-Renz,Germany,,GER,16,1:34.03,2006
25,FrÃ¤nzi Aufdenblatten,Switzerland,,SUI,17,1:34.10,2006
20,UrÅ¡ka RabiÄ,Slovenia,,SLO,18,1:34.12,2006
23,Chemmy Alcott,Great Britain,,GBR,19,1:34.20,2006
25,GeneviÃ¨ve Simard,Canada,,CAN,20,1:34.38,2006
24,Nike Bent,Sweden,,SWE,21,1:34.41,2006
28,Janette Hargin,Sweden,,SWE,22,1:34.48,2006
25,DagnÃ½ Linda KristjÃ¡nsdÃ³ttir,Iceland,,ISL,23,1:34.56,2006
