,Age,Athlete,Country,Medal,NOC,Rank,Time_end,Year,Type,Gender,test,Time_start,test_time
4878,18.0,Vittorio Chierroni,Italy,,ITA,18.0,80.8,1936,Combine,Male,False,0:00.0,False
4862,25.0,Gustav Lantschner,Germany,Silver,GER,2.0,96.26,1936,Combine,Male,False,0:00.0,False
4863,23.0,Ãmile Allais,France,Bronze,FRA,3.0,94.69,1936,Combine,Male,False,0:00.0,False
4864,24.0,Birger Ruud,Norway,,NOR,4.0,93.38,1936,Combine,Male,False,0:00.0,False
4865,22.0,Roman WÃ¶rndle,Germany,,GER,5.0,91.16,1936,Combine,Male,False,0:00.0,False
4866,17.0,Rudi Cranz,Germany,,GER,6.0,91.03,1936,Combine,Male,False,0:00.0,False
4867,22.0,Cinto Sertorelli,Italy,,ITA,7.0,90.39,1936,Combine,Male,False,0:00.0,False
4868,34.0,Alf Konningen,Norway,,NOR,8.0,90.06,1936,Combine,Male,False,0:00.0,False
4869,25.0,Per Fossum,Norway,,NOR,9.0,88.12,1936,Combine,Male,False,0:00.0,False
4870,21.0,"Dick Durrance, Jr.",United States,,USA,10.0,87.74,1936,Combine,Male,False,0:00.0,False
4871,20.0,Maurice Lafforgue,France,,FRA,11.0,85.83,1936,Combine,Male,False,0:00.0,False
4872,21.0,Peter Lunn,Great Britain,,GBR,12.0,83.82,1936,Combine,Male,False,0:00.0,False
4873,25.0,George Page,United States,,USA,13.0,82.85,1936,Combine,Male,False,0:00.0,False
4874,20.0,James Palmer-Tomkinson,Great Britain,,GBR,14.0,82.52,1936,Combine,Male,False,0:00.0,False
4875,22.0,Ciril PraÄek,Yugoslavia,,YUG,15.0,81.54,1936,Combine,Male,False,0:00.0,False
4876,20.0,Walter Hollmann,Czechoslovakia,,TCH,16.0,81.01,1936,Combine,Male,False,0:00.0,False
4877,21.0,Adriano Guarnieri,Italy,,ITA,17.0,80.94,1936,Combine,Male,False,0:00.0,False
