,Age,Athlete,Country,Medal,NOC,Rank,Time,Year,Type,Gender,test
3394,17.0,Federica Selva,San Marino,,SMR,,,2014,Giant Slalom,Women,False
3309,19.0,Park Je-Yun,South Korea,,KOR,,,2014,Slalom,Male,False
3317,26.0,Roberts Rode,Latvia,,LAT,,,2014,Slalom,Male,False
3316,20.0,Artur Hanse,Portugal,,POR,,,2014,Slalom,Male,False
3315,24.0,Marko RudiÄ,Bosnia and Herzegovina,,BIH,,,2014,Slalom,Male,False
3314,21.0,Marko VukiÄeviÄ,Serbia,,SRB,,,2014,Slalom,Male,False
3313,22.0,Aleksi Benianidze,Georgia,,GEO,,,2014,Slalom,Male,False
3312,23.0,Jorge Birkner,Argentina,,ARG,,,2014,Slalom,Male,False
3311,31.0,Martin VrÃ¡blÃ­k,Czech Republic,,CZE,,,2014,Slalom,Male,False
3310,26.0,Emre ÅimÅek,Turkey,,TUR,,,2014,Slalom,Male,False
3308,25.0,Maciej BydliÅski,Poland,,POL,,,2014,Slalom,Male,False
1058,28.0,Elena Fanchini,Italy,,ITA,,,2014,Combine,Women,False
3307,22.0,Klemen Kosi,Slovenia,,SLO,,,2014,Slalom,Male,False
3306,22.0,Patrick Brachner,Azerbaijan,,AZE,,,2014,Slalom,Male,False
3305,24.0,Pol Carreras,Spain,,ESP,,,2014,Slalom,Male,False
3304,21.0,Ross Peraudo,Australia,,AUS,,,2014,Slalom,Male,False
3303,20.0,Matej Falat,Slovakia,,SVK,,,2014,Slalom,Male,False
3318,22.0,Yury Danilochkin,Belarus,,BLR,,,2014,Slalom,Male,False
3320,17.0,Rokas Zaveckas,Lithuania,,LTU,,,2014,Slalom,Male,False
4759,23.0,Matthias Mayer,Austria,,AUT,6.0,2:46.34,2014,Giant Slalom,Male,False
3319,24.0,Zhang Yuxin,China,,CHN,,,2014,Slalom,Male,False
4760,35.0,Benjamin Raich,Austria,,AUT,7.0,2:46.35,2014,Giant Slalom,Male,False
4761,29.0,Felix Neureuther,Germany,,GER,8.0,2:46.59,2014,Giant Slalom,Male,False
4762,32.0,Thomas Fanara,France,,FRA,9.0,2:46.73,2014,Giant Slalom,Male,False
4854,28.0,Kjetil Jansrud,Norway,,NOR,,,2014,Giant Slalom,Male,False
4855,25.0,Stepan Zuyev,Russia,,RUS,,,2014,Giant Slalom,Male,False
5383,28.0,Kjetil Jansrud,Norway,,NOR,4.0,2:46.26,2014,Combined,Male,False
5389,27.0,Natko ZrnÄiÄ-Dim,Croatia,,CRO,10.0,2:47.06,2014,Combined,Male,False
