,Age,Athlete,Country,Medal,NOC,Rank,Time_end,Year,Type,Gender,test,Time_start,test_time
0,22.0,Henri Oreiller,France,Gold,FRA,1,2:55.0,1948,Downhill,Male,False,0:00.0,True
79,25.0,JoÅ¾e Bertoncelj,Yugoslavia,,YUG,80,4:00.2,1948,Downhill,Male,False,0:00.0,True
78,21.0,Leopold SchÃ¤dler,Liechtenstein,,LIE,79,4:00.0,1948,Downhill,Male,False,0:00.0,True
1,26.0,Franz Gabl,Austria,Silver,AUT,2,2:59.1,1948,Downhill,Male,False,0:00.0,True
2,27.0,Karl Molitor,Switzerland,Bronze,SUI,3,3:00.3,1948,Downhill,Male,False,0:00.0,True
3,23.0,Ralph Olinger,Switzerland,Bronze,SUI,3,3:00.3,1948,Downhill,Male,False,0:00.0,True
4,22.0,Egon SchÃ¶pf,Austria,,AUT,5,3:01.2,1948,Downhill,Male,False,0:00.0,True
5,26.0,Silvio AlverÃ,Italy,,ITA,6,3:02.4,1948,Downhill,Male,False,0:00.0,True
6,25.0,Carlo Gartner,Italy,,ITA,6,3:02.4,1948,Downhill,Male,False,0:00.0,True
7,23.0,Fernand Grosjean,Switzerland,,SUI,8,3:03.1,1948,Downhill,Male,False,0:00.0,True
8,28.0,Hans Nogler,Austria,,AUT,9,3:03.2,1948,Downhill,Male,False,0:00.0,True
9,28.0,Hans Hansson,Sweden,,SWE,10,3:05.0,1948,Downhill,Male,False,0:00.0,True
80,18.0,Stuart Parkinson,Great Britain,,GBR,81,4:03.0,1948,Downhill,Male,False,0:00.0,True
10,34.0,Sverre Lassen-Urdahl,Norway,,NOR,11,3:06.4,1948,Downhill,Male,False,0:00.0,True
12,26.0,James Couttet,France,,FRA,13,3:07.3,1948,Downhill,Male,False,0:00.0,True
13,25.0,Engelbert Haider,Austria,,AUT,14,3:08.2,1948,Downhill,Male,False,0:00.0,True
14,31.0,Eberhard Kneisl,Austria,,AUT,15,3:08.3,1948,Downhill,Male,False,0:00.0,True
15,19.0,Bjarne Arentz,Norway,,NOR,16,3:09.0,1948,Downhill,Male,False,0:00.0,True
16,27.0,AntonÃ­n Å ponar,Czechoslovakia,,TCH,17,3:09.1,1948,Downhill,Male,False,0:00.0,True
17,22.0,Romedi Spada,Switzerland,,SUI,18,3:09.2,1948,Downhill,Male,False,0:00.0,True
18,23.0,Edi Mall,Austria,,AUT,19,3:09.3,1948,Downhill,Male,False,0:00.0,True
19,25.0,Marius Eriksen,Norway,,NOR,20,3:09.4,1948,Downhill,Male,False,0:00.0,True
20,30.0,Vittorio Chierroni,Italy,,ITA,21,3:10.0,1948,Downhill,Male,False,0:00.0,True
21,27.0,Edy Reinalter,Switzerland,,SUI,22,3:11.0,1948,Downhill,Male,False,0:00.0,True
22,22.0,Guy de Huertas,France,,FRA,23,3:12.0,1948,Downhill,Male,False,0:00.0,True
11,23.0,Adolf Odermatt,Switzerland,,SUI,11,3:06.4,1948,Downhill,Male,False,0:00.0,True
23,18.0,Georges Panisset,France,,FRA,23,3:12.0,1948,Downhill,Male,False,0:00.0,True
81,23.0,Dimitar Drazhev,Bulgaria,,BUL,82,4:07.1,1948,Downhill,Male,False,0:00.0,True
83,19.0,Lajos MÃ¡tÃ©,Hungary,,HUN,84,4:09.0,1948,Downhill,Male,False,0:00.0,True
101,20.0,Fernando ArmiÃ±Ã¡n,Spain,,ESP,102,5:41.2,1948,Downhill,Male,False,0:00.0,True
100,27.0,Fotis Mavriplis,Greece,,GRE,101,5:39.1,1948,Downhill,Male,False,0:00.0,True
99,21.0,JosÃ© VilÃ,Spain,,ESP,100,5:13.0,1948,Downhill,Male,False,0:00.0,True
98,35.0,"Konstantin, Prince von Padua",Liechtenstein,,LIE,99,5:04.1,1948,Downhill,Male,False,0:00.0,True
82,22.0,Gonzalo DomÃ­nguez,Chile,,CHI,83,4:08.3,1948,Downhill,Male,False,0:00.0,True
97,27.0,GuÃ°mundur GuÃ°mundsson,Iceland,,ISL,98,4:57.0,1948,Downhill,Male,False,0:00.0,True
95,21.0,ÃÃ³rir JÃ³nsson,Iceland,,ISL,96,4:47.0,1948,Downhill,Male,False,0:00.0,True
94,27.0,Julio Cernuda,Argentina,,ARG,95,4:46.4,1948,Downhill,Male,False,0:00.0,True
93,22.0,Dursun Bozkurt,Turkey,,TUR,94,4:37.3,1948,Downhill,Male,False,0:00.0,True
91,24.0,Ian Appleyard,Great Britain,,GBR,91,4:25.2,1948,Downhill,Male,False,0:00.0,True
90,21.0,Gino de PellegrÃ­n,Argentina,,ARG,91,4:25.2,1948,Downhill,Male,False,0:00.0,True
89,16.0,Theodor Sele,Liechtenstein,,LIE,90,4:24.1,1948,Downhill,Male,False,0:00.0,True
88,25.0,Thomas de Morawitz,Spain,,ESP,89,4:24.0,1948,Downhill,Male,False,0:00.0,True
87,23.0,Harry Taylor,Great Britain,,GBR,88,4:17.4,1948,Downhill,Male,False,0:00.0,True
86,27.0,RaÅit Tolun,Turkey,,TUR,87,4:12.1,1948,Downhill,Male,False,0:00.0,True
85,25.0,JosÃ© Arias,Spain,,ESP,86,4:11.4,1948,Downhill,Male,False,0:00.0,True
84,17.0,Otto Jung,Argentina,,ARG,85,4:09.3,1948,Downhill,Male,False,0:00.0,True
96,18.0,Osman YÃ¼ce,Turkey,,TUR,97,4:49.2,1948,Downhill,Male,False,0:00.0,True
24,26.0,Sverre Johannessen,Norway,,NOR,25,3:12.1,1948,Downhill,Male,False,0:00.0,True
26,27.0,LuboÅ¡ Brchel,Czechoslovakia,,TCH,27,3:12.4,1948,Downhill,Male,False,0:00.0,True
55,30.0,Bert Irwin,Canada,,CAN,56,3:39.1,1948,Downhill,Male,False,0:00.0,True
56,21.0,Dumitru FrÄÈilÄ,Romania,,ROU,57,3:39.3,1948,Downhill,Male,False,0:00.0,True
57,26.0,Dumitru SulicÄ,Romania,,ROU,58,3:39.4,1948,Downhill,Male,False,0:00.0,True
58,22.0,HernÃ¡n Oelckers,Chile,,CHI,59,3:40.2,1948,Downhill,Male,False,0:00.0,True
59,30.0,Donald Garrow,Great Britain,,GBR,60,3:41.3,1948,Downhill,Male,False,0:00.0,True
60,27.0,Bill Irwin,Canada,,CAN,60,3:41.3,1948,Downhill,Male,False,0:00.0,True
61,27.0,David Madzhar,Bulgaria,,BUL,62,3:45.3,1948,Downhill,Male,False,0:00.0,True
62,24.0,Justo del Carril,Argentina,,ARG,63,3:46.2,1948,Downhill,Male,False,0:00.0,True
63,24.0,MagnÃºs BrynjÃ³lfsson,Iceland,,ISL,64,3:48.2,1948,Downhill,Male,False,0:00.0,True
64,35.0,KÃ¡roly KÅvÃ¡ri,Hungary,,HUN,65,3:49.1,1948,Downhill,Male,False,0:00.0,True
65,22.0,Ion Coliban,Romania,,ROU,66,3:49.2,1948,Downhill,Male,False,0:00.0,True
54,17.0,Franz Beck,Liechtenstein,,LIE,55,3:38.3,1948,Downhill,Male,False,0:00.0,True
66,24.0,Jerzy Schindler,Poland,,POL,67,3:49.4,1948,Downhill,Male,False,0:00.0,True
68,21.0,MatevÅ¾ Lukanc,Yugoslavia,,YUG,69,3:50.3,1948,Downhill,Male,False,0:00.0,True
69,27.0,"Philippe, Count d'Ursel",Belgium,,BEL,70,3:51.0,1948,Downhill,Male,False,0:00.0,True
70,18.0,"Mihai BÃ®rÄ, Sr.",Romania,,ROU,71,3:52.3,1948,Downhill,Male,False,0:00.0,True
71,34.0,Ciril PraÄek,Yugoslavia,,YUG,71,3:52.3,1948,Downhill,Male,False,0:00.0,True
72,21.0,Max Gassner,Liechtenstein,,LIE,73,3:53.0,1948,Downhill,Male,False,0:00.0,True
73,26.0,Vasile Ionescu,Romania,,ROU,74,3:54.1,1948,Downhill,Male,False,0:00.0,True
74,25.0,Arturo Hammersley,Chile,,CHI,74,3:54.1,1948,Downhill,Male,False,0:00.0,True
75,32.0,James Palmer-Tomkinson,Great Britain,,GBR,74,3:54.1,1948,Downhill,Male,False,0:00.0,True
76,28.0,GyÃ¶rgy Libik,Hungary,,HUN,77,3:55.3,1948,Downhill,Male,False,0:00.0,True
77,24.0,Jaime ErrÃ¡zuriz,Chile,,CHI,78,3:56.4,1948,Downhill,Male,False,0:00.0,True
67,19.0,Luis de Ridder,Argentina,,ARG,68,3:50.2,1948,Downhill,Male,False,0:00.0,True
25,21.0,Jack Reddish,United States,,USA,26,3:12.3,1948,Downhill,Male,False,0:00.0,True
53,26.0,Slavko Lukanc,Yugoslavia,,YUG,54,3:37.1,1948,Downhill,Male,False,0:00.0,True
51,24.0,TamÃ¡s SzÃ©kely,Hungary,,HUN,52,3:36.0,1948,Downhill,Male,False,0:00.0,True
27,21.0,Harvey Clifford,Canada,,CAN,28,3:14.1,1948,Downhill,Male,False,0:00.0,True
28,20.0,Hector Sutherland,Canada,,CAN,28,3:14.1,1948,Downhill,Male,False,0:00.0,True
29,26.0,Sixten Isberg,Sweden,,SWE,30,3:15.0,1948,Downhill,Male,False,0:00.0,True
30,20.0,Stein Eriksen,Norway,,NOR,31,3:15.1,1948,Downhill,Male,False,0:00.0,True
31,28.0,Eugenio Bonicco,Italy,,ITA,32,3:15.4,1948,Downhill,Male,False,0:00.0,True
32,27.0,Jean Pazzi,France,,FRA,33,3:16.1,1948,Downhill,Male,False,0:00.0,True
33,23.0,Claude Penz,France,,FRA,34,3:19.2,1948,Downhill,Male,False,0:00.0,True
34,22.0,JÃ³zef Marusarz,Poland,,POL,35,3:20.2,1948,Downhill,Male,False,0:00.0,True
35,27.0,Tine Mulej,Yugoslavia,,YUG,36,3:21.1,1948,Downhill,Male,False,0:00.0,True
36,25.0,Jan GÄsienica Ciaptak,Poland,,POL,37,3:21.3,1948,Downhill,Male,False,0:00.0,True
37,20.0,Ãke Nilsson,Sweden,,SWE,38,3:22.2,1948,Downhill,Male,False,0:00.0,True
52,20.0,Aimo Vartiainen,Finland,,FIN,53,3:36.4,1948,Downhill,Male,False,0:00.0,True
38,22.0,Pentti Alonen,Finland,,FIN,39,3:22.3,1948,Downhill,Male,False,0:00.0,True
40,25.0,Olle Dalman,Sweden,,SWE,41,3:23.2,1948,Downhill,Male,False,0:00.0,True
41,22.0,Dick Movitz,United States,,USA,42,3:25.2,1948,Downhill,Male,False,0:00.0,True
42,25.0,Steve Knowlton,United States,,USA,43,3:26.2,1948,Downhill,Male,False,0:00.0,True
43,26.0,"Bob Blatt, Jr.",United States,,USA,44,3:27.4,1948,Downhill,Male,False,0:00.0,True
44,23.0,Dev Jennings,United States,,USA,45,3:28.2,1948,Downhill,Male,False,0:00.0,True
45,24.0,Daniel Å lachta,Czechoslovakia,,TCH,46,3:29.4,1948,Downhill,Male,False,0:00.0,True
46,30.0,Barney McLean,United States,,USA,47,3:30.1,1948,Downhill,Male,False,0:00.0,True
47,24.0,PÃ©ter Szikla,Hungary,,HUN,48,3:30.4,1948,Downhill,Male,False,0:00.0,True
48,24.0,SÃ¡ndor MazÃ¡ny,Hungary,,HUN,49,3:31.4,1948,Downhill,Male,False,0:00.0,True
49,24.0,Michel Feron,Belgium,,BEL,50,3:34.3,1948,Downhill,Male,False,0:00.0,True
50,21.0,Radu ScÃ®rneci,Romania,,ROU,51,3:35.0,1948,Downhill,Male,False,0:00.0,True
39,21.0,Stig Sollander,Sweden,,SWE,40,3:23.1,1948,Downhill,Male,False,0:00.0,True
92,17.0,Pablo Rosenkjer,Argentina,,ARG,93,4:36.2,1948,Downhill,Male,False,0:00.0,True
0,24.0,Hedy Schlunegger,Switzerland,Gold,SUI,1.0,2:28.3,1948,Downhill,Women,False,0:00.0,True
1,20.0,Trude Jochum-Beiser,Austria,Silver,AUT,2.0,2:29.1,1948,Downhill,Women,False,0:00.0,True
2,22.0,Resi Hammerer,Austria,Bronze,AUT,3.0,2:30.2,1948,Downhill,Women,False,0:00.0,True
3,27.0,Celina Seghi,Italy,,ITA,4.0,2:31.1,1948,Downhill,Women,False,0:00.0,True
4,28.0,Lina Mittner,Switzerland,,SUI,5.0,2:31.2,1948,Downhill,Women,False,0:00.0,True
5,23.0,Suzanne ThiolliÃ¨re,France,,FRA,6.0,2:31.4,1948,Downhill,Women,False,0:00.0,True
6,28.0,Laila Schou Nilsen,Norway,,NOR,7.0,2:32.4,1948,Downhill,Women,False,0:00.0,True
7,24.0,FranÃ§oise Gignoux,France,,FRA,7.0,2:32.4,1948,Downhill,Women,False,0:00.0,True
8,21.0,Rosmarie Bleuer,Switzerland,,SUI,9.0,2:33.3,1948,Downhill,Women,False,0:00.0,True
9,21.0,Lucienne Schmidt-Couttet,France,,FRA,10.0,2:35.2,1948,Downhill,Women,False,0:00.0,True
10,27.0,Antoinette Meyer,Switzerland,,SUI,11.0,2:35.4,1948,Downhill,Women,False,0:00.0,True
11,19.0,Brynhild Grasmoen,United States,,USA,12.0,2:36.0,1948,Downhill,Women,False,0:00.0,True
12,28.0,Gretchen Fraser,United States,,USA,13.0,2:37.1,1948,Downhill,Women,False,0:00.0,True
13,20.0,IrÃ¨ne Molitor,Switzerland,,SUI,14.0,2:37.2,1948,Downhill,Women,False,0:00.0,True
14,28.0,Alexandra NekvapilovÃ¡,Czechoslovakia,,TCH,14.0,2:37.2,1948,Downhill,Women,False,0:00.0,True
15,22.0,Annelore ZÃ¼ckert,Austria,,AUT,16.0,2:38.4,1948,Downhill,Women,False,0:00.0,True
16,25.0,Anneliese Schuh-Proxauf,Austria,,AUT,17.0,2:39.0,1948,Downhill,Women,False,0:00.0,True
17,26.0,May Nilsson,Sweden,,SWE,18.0,2:39.1,1948,Downhill,Women,False,0:00.0,True
19,20.0,Ruth-Marie Stewart,United States,,USA,20.0,2:42.0,1948,Downhill,Women,False,0:00.0,True
18,23.0,Erika Mahringer,Austria,,AUT,19.0,2:39.3,1948,Downhill,Women,False,0:00.0,True
20,19.0,Fernande Bayetto,France,,FRA,21.0,2:43.1,1948,Downhill,Women,False,0:00.0,True
21,23.0,Becky Cremer,United States,,USA,22.0,2:44.2,1948,Downhill,Women,False,0:00.0,True
22,23.0,Borghild Niskin,Norway,,NOR,23.0,2:44.4,1948,Downhill,Women,False,0:00.0,True
23,24.0,Olivia Ausoni,Switzerland,,SUI,24.0,2:45.1,1948,Downhill,Women,False,0:00.0,True
25,23.0,Sophie Nogler,Austria,,AUT,26.0,2:47.0,1948,Downhill,Women,False,0:00.0,True
26,31.0,Isobel Roe,Great Britain,,GBR,27.0,2:47.3,1948,Downhill,Women,False,0:00.0,True
27,25.0,Paula Kann,United States,,USA,28.0,2:49.0,1948,Downhill,Women,False,0:00.0,True
24,21.0,BoÅ¾ena MoserovÃ¡,Czechoslovakia,,TCH,25.0,2:46.1,1948,Downhill,Women,False,0:00.0,True
29,22.0,Rosemary Sparrow,Great Britain,,GBR,30.0,2:52.3,1948,Downhill,Women,False,0:00.0,True
28,21.0,Micheline DesmaziÃ¨res,France,,FRA,29.0,2:50.2,1948,Downhill,Women,False,0:00.0,True
36,26.0,Rhona Wurtele,Canada,,CAN,37.0,3:26.1,1948,Downhill,Women,False,0:00.0,True
35,39.0,AnikÃ³ IglÃ³i,Hungary,,HUN,36.0,3:07.1,1948,Downhill,Women,False,0:00.0,True
33,21.0,Xanthe Ryder,Great Britain,,GBR,34.0,3:01.4,1948,Downhill,Women,False,0:00.0,True
32,19.0,Sheena Mackintosh,Great Britain,,GBR,33.0,3:00.0,1948,Downhill,Women,False,0:00.0,True
