,Age,Athlete,Country,Medal,NOC,Rank,Time_end,Year,Type,Gender,test,Time_start,test_time,minutes,delete,seconds,miliseconds,time_miliseconds
0,22.0,Henri Oreiller,France,Gold,FRA,1,2:55.0,1948,Downhill,Male,False,0:00.0,True,120000,55.0,55000,0,175000
79,25.0,JoÅ¾e Bertoncelj,Yugoslavia,,YUG,80,4:00.2,1948,Downhill,Male,False,0:00.0,True,240000,00.2,0,2,240002
78,21.0,Leopold SchÃ¤dler,Liechtenstein,,LIE,79,4:00.0,1948,Downhill,Male,False,0:00.0,True,240000,00.0,0,0,240000
1,26.0,Franz Gabl,Austria,Silver,AUT,2,2:59.1,1948,Downhill,Male,False,0:00.0,True,120000,59.1,59000,1,179001
2,27.0,Karl Molitor,Switzerland,Bronze,SUI,3,3:00.3,1948,Downhill,Male,False,0:00.0,True,180000,00.3,0,3,180003
3,23.0,Ralph Olinger,Switzerland,Bronze,SUI,3,3:00.3,1948,Downhill,Male,False,0:00.0,True,180000,00.3,0,3,180003
4,22.0,Egon SchÃ¶pf,Austria,,AUT,5,3:01.2,1948,Downhill,Male,False,0:00.0,True,180000,01.2,1000,2,181002
5,26.0,Silvio AlverÃ,Italy,,ITA,6,3:02.4,1948,Downhill,Male,False,0:00.0,True,180000,02.4,2000,4,182004
6,25.0,Carlo Gartner,Italy,,ITA,6,3:02.4,1948,Downhill,Male,False,0:00.0,True,180000,02.4,2000,4,182004
7,23.0,Fernand Grosjean,Switzerland,,SUI,8,3:03.1,1948,Downhill,Male,False,0:00.0,True,180000,03.1,3000,1,183001
8,28.0,Hans Nogler,Austria,,AUT,9,3:03.2,1948,Downhill,Male,False,0:00.0,True,180000,03.2,3000,2,183002
9,28.0,Hans Hansson,Sweden,,SWE,10,3:05.0,1948,Downhill,Male,False,0:00.0,True,180000,05.0,5000,0,185000
80,18.0,Stuart Parkinson,Great Britain,,GBR,81,4:03.0,1948,Downhill,Male,False,0:00.0,True,240000,03.0,3000,0,243000
10,34.0,Sverre Lassen-Urdahl,Norway,,NOR,11,3:06.4,1948,Downhill,Male,False,0:00.0,True,180000,06.4,6000,4,186004
12,26.0,James Couttet,France,,FRA,13,3:07.3,1948,Downhill,Male,False,0:00.0,True,180000,07.3,7000,3,187003
13,25.0,Engelbert Haider,Austria,,AUT,14,3:08.2,1948,Downhill,Male,False,0:00.0,True,180000,08.2,8000,2,188002
14,31.0,Eberhard Kneisl,Austria,,AUT,15,3:08.3,1948,Downhill,Male,False,0:00.0,True,180000,08.3,8000,3,188003
