,Exporter,Importer,Latitude_exp,Longitude_exp,Latitude_imp,Longitude_imp,Millions,Millions_Total
661,United States,Cote d'Ivoire,37.09024,-95.712891,7.539989,-5.54708,0.0,43021.0
677,United States,Finland,37.09024,-95.712891,61.92411,25.748151,319.0,43021.0
684,United States,Guatemala,37.09024,-95.712891,15.783471,-90.230759,0.0,43021.0
683,United States,Greece,37.09024,-95.712891,39.074208,21.824312,190.0,43021.0
682,United States,Ghana,37.09024,-95.712891,7.9465270000000015,-1.0231940000000002,6.0,43021.0
681,United States,Germany,37.09024,-95.712891,51.165691,10.451526,123.0,43021.0
680,United States,Georgia,37.09024,-95.712891,42.315407,43.356892,17.0,43021.0
679,United States,Gabon,37.09024,-95.712891,-0.803689,11.609444,0.0,43021.0
678,United States,France,37.09024,-95.712891,46.227638,2.213749,160.0,43021.0
676,United States,Fiji,37.09024,-95.712891,-16.578193,179.414413,0.0,43021.0
667,United States,Denmark,37.09024,-95.712891,56.26392,9.501785,236.0,43021.0
675,United States,Ethiopia,37.09024,-95.712891,9.145,40.489673,10.0,43021.0
674,United States,Estonia,37.09024,-95.712891,58.595272,25.013607,4.0,43021.0
673,United States,Equatorial Guinea,37.09024,-95.712891,1.6508009999999995,10.267895,15.0,43021.0
672,United States,El Salvador,37.09024,-95.712891,13.794185,-88.89653,2.0,43021.0
671,United States,Egypt,37.09024,-95.712891,26.820553000000004,30.802498,1684.0,43021.0
670,United States,Ecuador,37.09024,-95.712891,-1.831239,-78.183406,0.0,43021.0
669,United States,Dominican Republic,37.09024,-95.712891,18.735693,-70.162651,1.0,43021.0
686,United States,Guyana,37.09024,-95.712891,4.860416000000002,-58.93018000000001,0.0,43021.0
687,United States,Haiti,37.09024,-95.712891,18.971187,-72.28521500000002,0.0,43021.0
688,United States,Honduras,37.09024,-95.712891,15.199998999999998,-86.241905,3.0,43021.0
689,United States,Hungary,37.09024,-95.712891,47.162494,19.503304,2.0,43021.0
704,United States,Latvia,37.09024,-95.712891,56.879635,24.603189,31.0,43021.0
703,United States,Laos,37.09024,-95.712891,19.85627,102.495496,0.0,43021.0
702,United States,Kuwait,37.09024,-95.712891,29.31166,47.481766,1231.0,43021.0
701,United States,Kenya,37.09024,-95.712891,-0.023559,37.906193,21.0,43021.0
700,United States,Kazakhstan,37.09024,-95.712891,48.019573,66.923684,9.0,43021.0
699,United States,Jordan,37.09024,-95.712891,30.585164,36.238414,256.0,43021.0
698,United States,Japan,37.09024,-95.712891,36.204824,138.252924,1390.0,43021.0
697,United States,Jamaica,37.09024,-95.712891,18.109581,-77.297508,0.0,43021.0
696,United States,Italy,37.09024,-95.712891,41.87194,12.56738,1033.0,43021.0
695,United States,Israel,37.09024,-95.712891,31.046051,34.851612,1068.0,43021.0
694,United States,Ireland,37.09024,-95.712891,53.41291,-8.243889999999999,0.0,43021.0
693,United States,Iraq,37.09024,-95.712891,33.223191,43.679291,2564.0,43021.0
692,United States,Iran,37.09024,-95.712891,32.427908,53.68804599999999,0.0,43021.0
691,United States,Indonesia,37.09024,-95.712891,-0.789275,113.921327,446.0,43021.0
690,United States,India,37.09024,-95.712891,20.593684,78.96288,2580.0,43021.0
668,United States,Djibouti,37.09024,-95.712891,11.825138,42.590275,6.0,43021.0
666,United States,DR Congo,37.09024,-95.712891,-4.0383330000000015,21.758664000000003,0.0,43021.0
