,index,movie,Country,Latitude,Longitude,Name
0,United States,82,US,37.09024,-95.712891,United States
1,United Kingdom,18,GB,55.378051,-3.435973,United Kingdom
2,Canada,5,CA,56.130366,-106.34677099999999,Canada
3,France,5,FR,46.227638,2.213749,France
4,Cuba,5,CU,21.521757,-77.78116700000001,Cuba
5,Germany,5,DE,51.165690999999995,10.451526,Germany
6,India,5,IN,20.593684,78.96288,India
7,Italy,4,IT,41.87194,12.56738,Italy
8,Israel,4,IL,31.046051000000002,34.851612,Israel
9,Australia,4,AU,-25.274398,133.775136,Australia
10,Colombia,4,CO,4.570868,-74.297333,Colombia
11,United Arab Emirates,3,AE,23.424076,53.847818000000004,United Arab Emirates
12,Lebanon,3,LB,33.854721000000005,35.862285,Lebanon
13,South Korea,2,KR,35.907757000000004,127.766922,South Korea
14,Chile,2,CL,-35.675146999999996,-71.542969,Chile
15,Mexico,2,MX,23.634501,-102.552784,Mexico
16,Argentina,2,AR,-38.416097,-63.616671999999994,Argentina
17,Singapore,2,SG,1.352083,103.819836,Singapore
18,Austria,2,AT,47.516231,14.550072,Austria
19,Turkey,2,TR,38.963745,35.243322,Turkey
20,China,1,CN,35.86166,104.195397,China
21,South Africa,1,ZA,-30.559482,22.937506,South Africa
22,Bangladesh,1,BD,23.684994,90.35633100000001,Bangladesh
23,Brazil,1,BR,-14.235004,-51.92528,Brazil
24,Namibia,1,,-22.957639999999998,18.49041,Namibia
25,Kazakhstan,1,KZ,48.019573,66.923684,Kazakhstan
26,Switzerland,1,CH,46.818188,8.227511999999999,Switzerland
27,Hong Kong,1,HK,22.396428,114.10949699999999,Hong Kong
28,Indonesia,1,ID,-0.789275,113.921327,Indonesia
29,Philippines,1,PH,12.879721,121.77401699999999,Philippines
30,Egypt,1,EG,26.820553000000004,30.802497999999996,Egypt
31,Senegal,1,SN,14.497401000000002,-14.452361999999999,Senegal
32,Qatar,1,QA,25.354826,51.183884,Qatar
33,Taiwan,1,TW,23.69781,120.96051499999999,Taiwan
34,Japan,1,JP,36.204824,138.252924,Japan
35,Belgium,1,BE,50.503887,4.469936,Belgium
