,index,G
0,0,294
1,1,163
2,2,142
3,3,114
4,4,105
5,5,84
6,8,79
7,7,71
8,6,65
9,9,50
10,10,46
11,11,39
12,14,37
13,12,33
14,13,33
15,15,28
16,16,27
17,21,26
18,18,26
19,20,16
20,19,16
21,22,15
22,23,14
23,25,14
24,17,13
25,24,13
26,29,13
27,26,12
28,31,9
29,37,8
30,34,8
31,39,7
32,30,6
33,35,6
34,40,6
35,45,6
36,27,5
37,41,5
38,42,5
39,48,5
40,54,5
41,28,4
42,32,4
43,33,4
44,64,4
45,36,4
46,47,3
47,55,3
48,60,3
49,38,3
50,65,3
51,62,2
52,67,2
53,71,2
54,84,2
55,61,2
56,46,2
57,58,2
58,56,2
59,49,2
60,124,2
61,43,2
62,44,2
63,105,1
64,80,1
65,106,1
66,115,1
67,121,1
68,102,1
69,88,1
70,87,1
71,86,1
72,81,1
73,63,1
74,79,1
75,77,1
76,76,1
77,75,1
78,73,1
79,69,1
80,68,1
81,59,1
82,53,1
83,52,1
84,50,1
85,152,1
