,Award Year,Theme,Funding Org:Name,Recipient Org:Name,Amount Awarded
606,2003,Sports,Sport England,Groundwork Wakefield,1667.0
607,2003,Sports,Sport England,Sandwell Metropolitan Borough Council,24572.0
608,2003,Sports,Sport England,South Yorkshire Sports Partner,63686.0
609,2003,Sports,Sport England,West Yorkshire Sport,67000.0
4495,2004,Sports,Sport England,Birmingham City Council,242452.0
4496,2004,Sports,Sport England,Cornwall Sports Partnership,317257.0
4497,2004,Sports,Sport England,Crigglestone All Blacks ARLFC,10000.0
4498,2004,Sports,Sport England,Draycott and Long Eaton Table Tennis Club,471589.0
4499,2004,Sports,Sport England,Greater Warwickshire Sport,145440.0
4500,2004,Sports,Sport England,Norfolk County Council,529490.0
4501,2004,Sports,Sport England,SKK Judo Club,821877.0
4502,2004,Sports,Sport England,Suffolk Coastal District Council,511085.0
4503,2004,Sports,Sport England,Thatto Heath ARLFC,604750.0
4504,2004,Sports,Sport England,Wiltshire and Swindon Sports Partnership,387167.0
4505,2004,Sports,The Big Lottery Fund,135th Glasgow Boys Brigade Company,4750.0
4506,2004,Sports,The Big Lottery Fund,145th Glasgow Boys Brigade,3385.0
4507,2004,Sports,The Big Lottery Fund,17th Rochdale 1st Wardle Scout Group,3178.0
4508,2004,Sports,The Big Lottery Fund,1st Yetholm Rainbows and Brownies,1201.0
4509,2004,Sports,The Big Lottery Fund,25th Coatbridge Brownies,2939.0
4510,2004,Sports,The Big Lottery Fund,2nd Colne Boys' Brigade,3913.0
4511,2004,Sports,The Big Lottery Fund,393 Club,4864.0
4512,2004,Sports,The Big Lottery Fund,398 Squadron (Staines & Egham) Air Training Corps,4950.0
4513,2004,Sports,The Big Lottery Fund,3rd Bolsover Brownies,4770.0
4514,2004,Sports,The Big Lottery Fund,473 Squadron - Hartlepool Air Training Corps,3564.0
4515,2004,Sports,The Big Lottery Fund,861 (Wideopen) Squadron Air Training Corps,5000.0
4516,2004,Sports,The Big Lottery Fund,8th Hereford Cub Scout Pack,4800.0
4517,2004,Sports,The Big Lottery Fund,ASRA,5000.0
4518,2004,Sports,The Big Lottery Fund,Abbey Primary School,2700.0
4519,2004,Sports,The Big Lottery Fund,Aberdeen City Council,251502.0
4520,2004,Sports,The Big Lottery Fund,Aberdeen Disability Consortium,5000.0
4521,2004,Sports,The Big Lottery Fund,Aberdeenshire Council Education Department,1247435.0
4522,2004,Sports,The Big Lottery Fund,Abingdon Fencing Club,4550.0
4523,2004,Sports,The Big Lottery Fund,Academies Enterprise Trust,747458.0
4524,2004,Sports,The Big Lottery Fund,Acklington Community Team,3052.0
