,Province,2012,2013,2014,2015,2016,x_1,x_2,difference
4,Que.,3656,3649,3688,3707,3697,1,2,41
9,B.C.,7278,7020,6615,6277,5538,1,2,-1740
10,Canada,6858,6748,6697,6546,6246,1,2,-612
1,P.E.I.,6908,6880,7026,7081,7015,1,2,107
2,N.S.,7740,7884,7898,7529,7068,1,2,-672
7,Sask.,7059,7038,7184,7052,7082,1,2,23
5,Ont.,8070,7840,7758,7533,7093,1,2,-977
3,N.B.,6927,7156,7370,7406,7357,1,2,430
6,Man.,7752,7690,7728,7447,7400,1,2,-352
8,Alta.,8252,8240,8262,8184,8006,1,2,-246
0,N.L.,7003,7354,7804,8114,8159,1,2,1156
