,Country,Year,value
0,Norway,2010,36.6
1,France,2010,16.1
2,Sweden,2010,28.9
3,Italy,2010,5.5
4,Finland,2010,26.4
5,Denmark,2010,16.9
6,Belgium,2010,15.2
7,Netherlands,2010,17.2
8,UK,2010,10.1
9,Germany,2010,11.8
10,Canada,2010,12.5
11,Australia,2010,10.8
12,South Africa,2010,18.1
13,Austria,2010,11.4
14,Israel,2010,18.5
15,Ireland,2010,8.6
16,US,2010,12.7
17,Spain,2010,10.5
18,Switzerland,2010,8.6
19,Malaysia,2010,8.0
20,Thailand,2010,11.2
21,Hong Kong SAR,2010,8.9
22,India,2010,5.5
23,Philippines,2010,10.5
24,Singapore,2010,7.9
25,China,2010,8.8
26,Turkey,2010,8.2
27,Chile,2010,2.3
28,Brazil,2010,5.6
29,Russia,2010,6.8
30,Indonesia,2010,5.9
31,Mexico,2010,7.6
32,Taiwan,2010,2.8
33,South Korea,2010,0.7
34,Japan,2010,0.9
35,Global average,2010,9.6
36,Norway,2011,38.7
37,France,2011,21.6
38,Sweden,2011,27.8
39,Italy,2011,4.6
40,Finland,2011,24.5
41,Denmark,2011,18.2
42,Belgium,2011,15.8
43,Netherlands,2011,19.2
44,UK,2011,11.9
45,Germany,2011,14.0
46,Canada,2011,13.5
47,Australia,2011,13.7
48,South Africa,2011,17.8
49,Austria,2011,14.0
50,Israel,2011,11.5
51,Ireland,2011,7.4
52,US,2011,12.8
53,Spain,2011,11.1
54,Switzerland,2011,8.9
55,Malaysia,2011,8.6
56,Thailand,2011,11.6
57,Hong Kong SAR,2011,9.3
58,India,2011,5.8
59,Philippines,2011,9.8
60,Singapore,2011,8.0
61,China,2011,9.0
62,Turkey,2011,9.2
63,Chile,2011,3.0
64,Brazil,2011,6.1
65,Russia,2011,7.1
66,Indonesia,2011,5.6
67,Mexico,2011,7.7
68,Taiwan,2011,2.8
69,South Korea,2011,0.9
70,Japan,2011,1.1
71,Global average,2011,10.3
72,Norway,2012,37.2
73,France,2012,25.1
74,Sweden,2012,27.3
75,Italy,2012,9.2
76,Finland,2012,27.0
77,Denmark,2012,20.6
78,Belgium,2012,18.9
79,Netherlands,2012,22.3
80,UK,2012,15.5
81,Germany,2012,18.5
82,Canada,2012,14.9
83,Australia,2012,15.5
84,South Africa,2012,18.8
85,Austria,2012,14.4
86,Israel,2012,15.4
87,Ireland,2012,7.3
88,US,2012,13.3
89,Spain,2012,12.9
90,Switzerland,2012,9.3
91,Malaysia,2012,10.0
92,Thailand,2012,11.7
93,Hong Kong SAR,2012,9.7
94,India,2012,6.2
95,Philippines,2012,10.1
96,Singapore,2012,8.6
97,China,2012,9.6
98,Turkey,2012,8.5
99,Chile,2012,3.7
100,Brazil,2012,5.7
101,Russia,2012,7.7
102,Indonesia,2012,6.1
103,Mexico,2012,6.5
104,Taiwan,2012,2.8
105,South Korea,2012,0.7
106,Japan,2012,1.2
107,Global average,2012,11.3
108,Norway,2013,39.7
109,France,2013,29.6
110,Sweden,2013,30.3
111,Italy,2013,17.5
112,Finland,2013,29.5
113,Denmark,2013,25.0
114,Belgium,2013,23.2
115,Netherlands,2013,24.5
116,UK,2013,17.9
117,Germany,2013,23.0
118,Canada,2013,15.9
119,Australia,2013,17.5
120,South Africa,2013,20.0
121,Austria,2013,17.6
122,Israel,2013,18.2
123,Ireland,2013,12.3
124,US,2013,13.7
125,Spain,2013,13.7
126,Switzerland,2013,11.3
127,Malaysia,2013,10.9
128,Thailand,2013,10.0
129,Hong Kong SAR,2013,10.8
130,India,2013,6.7
131,Philippines,2013,11.9
132,Singapore,2013,7.9
133,China,2013,10.7
134,Turkey,2013,6.6
135,Chile,2013,4.7
136,Brazil,2013,6.5
137,Russia,2013,8.1
138,Indonesia,2013,5.0
139,Mexico,2013,5.3
140,Taiwan,2013,2.8
141,South Korea,2013,2.4
142,Japan,2013,1.6
143,Global average,2013,12.7
144,Norway,2014,41.2
145,France,2014,31.4
146,Sweden,2014,28.2
147,Italy,2014,21.7
148,Finland,2014,28.0
149,Denmark,2014,23.5
150,Belgium,2014,24.5
151,Netherlands,2014,26.4
152,UK,2014,21.0
153,Germany,2014,21.1
154,Canada,2014,18.7
155,Australia,2014,19.9
156,South Africa,2014,19.2
157,Austria,2014,17.0
158,Israel,2014,15.6
159,Ireland,2014,11.9
160,US,2014,15.5
161,Spain,2014,14.1
162,Switzerland,2014,12.9
163,Malaysia,2014,14.3
164,Thailand,2014,10.7
165,Hong Kong SAR,2014,10.6
166,India,2014,10.2
167,Philippines,2014,10.8
168,Singapore,2014,8.4
169,China,2014,9.1
170,Turkey,2014,5.9
171,Chile,2014,5.3
172,Brazil,2014,5.9
173,Russia,2014,6.6
174,Indonesia,2014,7.1
175,Mexico,2014,5.0
176,Taiwan,2014,7.5
177,South Korea,2014,1.6
178,Japan,2014,3.5
179,Global average,2014,13.7
180,Norway,2015,46.7
181,France,2015,34.0
182,Sweden,2015,33.6
183,Italy,2015,30.8
184,Finland,2015,29.2
185,Denmark,2015,28.5
186,Belgium,2015,27.9
187,Netherlands,2015,26.2
188,UK,2015,22.8
189,Germany,2015,21.1
190,Canada,2015,20.5
191,Australia,2015,20.1
192,South Africa,2015,19.9
193,Austria,2015,19.5
194,Israel,2015,17.6
195,Ireland,2015,17.0
196,US,2015,16.6
197,Spain,2015,16.1
198,Switzerland,2015,14.6
199,Malaysia,2015,13.9
200,Thailand,2015,12.7
201,Hong Kong SAR,2015,11.4
202,India,2015,11.2
203,Philippines,2015,10.9
204,Singapore,2015,9.9
205,China,2015,9.2
206,Turkey,2015,8.6
207,Chile,2015,8.5
208,Brazil,2015,7.1
209,Russia,2015,6.5
210,Indonesia,2015,6.2
211,Mexico,2015,5.7
212,Taiwan,2015,4.5
213,South Korea,2015,4.1
214,Japan,2015,3.5
215,Global average,2015,14.7
