"","delete","Primary_Site","Percentage_Change_1950_2014","Percentage_Change_1950_2014_1","Survival_rate_1950_1954","Survival_rate_2007_2013","difference_year","X_1","X_2"
"1",23,"Hodgkin (lymphoma)",-83.6,-3.3,30,88.9,58.9,1,2
"2",17,"Prostate",-38.5,-0.6,43,99.6,56.6,1,2
"3",26,"Leukemia",-4.4,-0.3,10,64.8,54.8,1,2
"4",25,"Myeloma",209.7,1,6,50.6,44.6,1,2
"5",12,"Skin",163.1,1.2,49,93.6,44.6,1,2
"6",24,"Non-Hodgkin (lymphoma)",70.6,0.7,33,74.2,41.2,1,2
"7",20,"Kidney & Pelvis",27.8,0.4,34,74.8,40.8,1,2
"8",18,"Testis",-70.2,-2.7,57,96.9,39.9,1,2
"9",13,"Breast (females)",-38.5,-0.7,60,92.2,32.2,1,2
"10",3,"Colon & Rectum",-57.7,-1.3,37,67.1,30.1,1,2
"11",5,"Rectum",-71.2,-2.2,40,68.5,28.5,1,2
"12",19,"Bladder",-29.8,-0.6,53,78.6,25.6,1,2
"13",4,"Colon",-51.7,-1.1,41,66.5,25.5,1,2
"14",0,"Oral & Throat",-50.3,-1.3,46,69.2,23.2,1,2
"15",22,"Thyroid",-41.3,-0.9,80,98.4,18.4,1,2
"16",1,"Esophagus",24.7,0.7,4,22.3,18.3,1,2
"17",2,"Stomach",-88.5,-3.3,12,29.9,17.9,1,2
"18",6,"Liver",61.6,0.9,1,17.7,16.7,1,2
"19",16,"Ovary",-17,-0.4,30,46.2,16.2,1,2
"20",9,"Lung",183.5,1.1,6,19.6,13.6,1,2
"21",15,"Uterus",-64.5,-1.5,72,85.3,13.3,1,2
"22",8,"Larynx",-42.2,-0.8,52,64.5,12.5,1,2
"23",21,"Brain",55.9,0.4,21,33.4,12.4,1,2
"24",14,"Cervix Uteri",-81.9,-3.1,59,70.8,11.8,1,2
"25",7,"Pancreas",27.4,0.1,1,8.9,7.9,1,2
