Month,U.S. Crude Oil (Thousand Barrels per Day)  thousand barrels per day,U.S. Natural Gas Gross Withdrawals (Million Cubic Feet per Day)  million cubic feet per day
Apr-07,5183,66498
May-07,5204,66666
Jun-07,5071,67329
Jul-07,5037,66235
Aug-07,4984,66975
Sep-07,4902,68008
Oct-07,5054,68458
Nov-07,5035,69953
Dec-07,5109,70200
Jan-08,5113,69517
Feb-08,5147,70476
Mar-08,5192,71100
Apr-08,5156,70420
May-08,5144,69462
Jun-08,5138,70626
Jul-08,5178,71137
Aug-08,5006,70760
Sep-08,3979,63984
Oct-08,4738,69464
Nov-08,5086,71662
Dec-08,5112,71840
Jan-09,5142,72643
Feb-09,5243,74077
Mar-09,5216,72983
Apr-09,5285,71595
May-09,5382,70659
Jun-09,5273,71351
Jul-09,5399,70001
Aug-09,5372,70729
Sep-09,5561,69641
Oct-09,5517,70876
Nov-09,5386,71472
Dec-09,5451,70849
Jan-10,5390,71296
Feb-10,5545,73136
Mar-10,5502,73437
Apr-10,5381,73009
May-10,5388,72145
Jun-10,5377,71292
Jul-10,5297,71250
Aug-10,5439,72098
Sep-10,5608,74605
Oct-10,5619,76031
Nov-10,5566,75890
Dec-10,5599,77433
Jan-11,5488,74171
Feb-11,5393,75155
Mar-11,5605,77770
Apr-11,5548,78324
May-11,5609,77770
Jun-11,5575,77098
Jul-11,5427,75493
Aug-11,5641,76466
Sep-11,5569,78606
Oct-11,5862,80722
Nov-11,5975,82532
Dec-11,6037,82056
Jan-12,6144,82947
Feb-12,6240,81381
Mar-12,6253,81428
Apr-12,6246,80583
May-12,6304,80345
Jun-12,6265,79226
Jul-12,6420,79518
Aug-12,6363,76579
Sep-12,6556,80346
Oct-12,6936,82488
Nov-12,7024,82379
Dec-12,7079,81412
Jan-13,7070,81033
Feb-13,7128,81068
Mar-13,7197,80774
Apr-13,7378,81544
May-13,7299,80280
Jun-13,7264,79513
Jul-13,7467,81046
Aug-13,7521,80487
Sep-13,7745,80480
Oct-13,7710,81070
Nov-13,7885,81839
Dec-13,7928,81483
Jan-14,8033,83226
Feb-14,8127,84178
Mar-14,8262,84642
Apr-14,8605,86129
May-14,8604,84944
Jun-14,8718,85334
Jul-14,8815,84811
Aug-14,8876,85321
Sep-14,9047,87517
Oct-14,9233,88249
Nov-14,9307,88731
Dec-14,9496,89357
Jan-15,9379,89396
Feb-15,9517,89849
Mar-15,9566,91086
Apr-15,9627,91676
May-15,9472,90040
Jun-15,9320,88962
Jul-15,9418,88969
Aug-15,9384,88451
Sep-15,9423,90890
Oct-15,9358,90366
Nov-15,9304,91040
Dec-15,9225,90787
Jan-16,9194,90938
Feb-16,9147,92010
Mar-16,9174,91077
Apr-16,8947,89401
May-16,8882,89630
Jun-16,8711,87833
Jul-16,8691,87414
Aug-16,8759,88453
Sep-16,8567,87997
Oct-16,8785,87664
Nov-16,8863,89452
Dec-16,8780,88651
Jan-17,8858,88130
Feb-17,9075,89574
Mar-17,9107,89395
Apr-17,9083,89280
