,Year,Country_Residence,Origin,Type,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
26,2016,United Arab Emirates,Syria,Refugees (incl. refugee-like situations),119,23.424076,53.847818000000004,34.802075,38.996815000000005
65,2016,Argentina,Syria,Refugees (incl. refugee-like situations),357,-38.416097,-63.616671999999994,34.802075,38.996815000000005
77,2016,Armenia,Syria,Refugees (incl. refugee-like situations),14626,40.069099,45.038189,34.802075,38.996815000000005
149,2016,Australia,Syria,Refugees (incl. refugee-like situations),378,-25.274398,133.775136,34.802075,38.996815000000005
225,2016,Austria,Syria,Refugees (incl. refugee-like situations),30958,47.516231,14.550072,34.802075,38.996815000000005
243,2016,Azerbaijan,Syria,Refugees (incl. refugee-like situations),15,40.143105,47.576927000000005,34.802075,38.996815000000005
323,2016,Belgium,Syria,Refugees (incl. refugee-like situations),9080,50.503887,4.469936,34.802075,38.996815000000005
366,2016,Bulgaria,Syria,Refugees (incl. refugee-like situations),15027,42.733883,25.48583,34.802075,38.996815000000005
377,2016,Bosnia and Herzegovina,Syria,Refugees (incl. refugee-like situations),15,43.915886,17.679076000000002,34.802075,38.996815000000005
385,2016,Belarus,Syria,Refugees (incl. refugee-like situations),77,53.709807,27.953389,34.802075,38.996815000000005
395,2016,Bolivia,Syria,Refugees (incl. refugee-like situations),13,-16.290154,-63.588653,34.802075,38.996815000000005
447,2016,Brazil,Syria,Refugees (incl. refugee-like situations),2591,-14.235004,-51.92528,34.802075,38.996815000000005
609,2016,Canada,Syria,Refugees (incl. refugee-like situations),2757,56.130366,-106.34677099999999,34.802075,38.996815000000005
706,2016,Switzerland,Syria,Refugees (incl. refugee-like situations),11159,46.818188,8.227511999999999,34.802075,38.996815000000005
731,2016,Chile,Syria,Refugees (incl. refugee-like situations),18,-35.675146999999996,-71.542969,34.802075,38.996815000000005
736,2016,China,Syria,Refugees (incl. refugee-like situations),20,35.86166,104.195397,34.802075,38.996815000000005
759,2016,Cameroon,Syria,Refugees (incl. refugee-like situations),23,7.369722,12.354722,34.802075,38.996815000000005
772,2016,Congo [DRC],Syria,Refugees (incl. refugee-like situations),11,-4.038333000000001,21.758664000000003,34.802075,38.996815000000005
793,2016,Colombia,Syria,Refugees (incl. refugee-like situations),8,4.570868,-74.297333,34.802075,38.996815000000005
807,2016,Costa Rica,Syria,Refugees (incl. refugee-like situations),8,9.748917,-83.753428,34.802075,38.996815000000005
816,2016,Cuba,Syria,Refugees (incl. refugee-like situations),39,21.521757,-77.78116700000001,34.802075,38.996815000000005
848,2016,Cyprus,Syria,Refugees (incl. refugee-like situations),4263,35.126413,33.429859,34.802075,38.996815000000005
885,2016,Czech Republic,Syria,Refugees (incl. refugee-like situations),365,49.817492,15.472961999999999,34.802075,38.996815000000005
1000,2016,Germany,Syria,Refugees (incl. refugee-like situations),375122,51.165690999999995,10.451526,34.802075,38.996815000000005
1026,2016,Djibouti,Syria,Refugees (incl. refugee-like situations),13,11.825138,42.590275,34.802075,38.996815000000005
1062,2016,Denmark,Syria,Refugees (incl. refugee-like situations),18215,56.26392,9.501785,34.802075,38.996815000000005
1103,2016,Egypt,Syria,Refugees (incl. refugee-like situations),116013,26.820553000000004,30.802497999999996,34.802075,38.996815000000005
1160,2016,Spain,Syria,Refugees (incl. refugee-like situations),8205,40.463667,-3.7492199999999998,34.802075,38.996815000000005
1175,2016,Estonia,Syria,Refugees (incl. refugee-like situations),76,58.595271999999994,25.013607,34.802075,38.996815000000005
1187,2016,Ethiopia,Syria,Refugees (incl. refugee-like situations),9,9.145,40.489672999999996,34.802075,38.996815000000005
1234,2016,Finland,Syria,Refugees (incl. refugee-like situations),1677,61.92411,25.748151,34.802075,38.996815000000005
1345,2016,France,Syria,Refugees (incl. refugee-like situations),8991,46.227638,2.213749,34.802075,38.996815000000005
1464,2016,United Kingdom,Syria,Refugees (incl. refugee-like situations),8269,55.378051,-3.435973,34.802075,38.996815000000005
1492,2016,Georgia,Syria,Refugees (incl. refugee-like situations),425,42.315407,43.356891999999995,34.802075,38.996815000000005
1512,2016,Ghana,Syria,Refugees (incl. refugee-like situations),8,7.946527000000001,-1.0231940000000002,34.802075,38.996815000000005
1589,2016,Greece,Syria,Refugees (incl. refugee-like situations),14420,39.074208,21.824312,34.802075,38.996815000000005
1623,2016,Croatia,Syria,Refugees (incl. refugee-like situations),60,45.1,15.2,34.802075,38.996815000000005
1658,2016,Hungary,Syria,Refugees (incl. refugee-like situations),584,47.162494,19.503304,34.802075,38.996815000000005
1680,2016,Indonesia,Syria,Refugees (incl. refugee-like situations),30,-0.789275,113.921327,34.802075,38.996815000000005
1695,2016,India,Syria,Refugees (incl. refugee-like situations),65,20.593684,78.96288,34.802075,38.996815000000005
1750,2016,Ireland,Syria,Refugees (incl. refugee-like situations),243,53.41291,-8.243889999999999,34.802075,38.996815000000005
1773,2016,Iraq,Syria,Refugees (incl. refugee-like situations),230836,33.223191,43.679291,34.802075,38.996815000000005
1782,2016,Iceland,Syria,Refugees (incl. refugee-like situations),37,64.96305100000001,-19.020835,34.802075,38.996815000000005
1873,2016,Italy,Syria,Refugees (incl. refugee-like situations),2613,41.87194,12.56738,34.802075,38.996815000000005
1902,2016,Jordan,Syria,Refugees (incl. refugee-like situations),648836,30.585164000000002,36.238414,34.802075,38.996815000000005
1920,2016,Japan,Syria,Refugees (incl. refugee-like situations),61,36.204824,138.252924,34.802075,38.996815000000005
1925,2016,Kazakhstan,Syria,Refugees (incl. refugee-like situations),19,48.019573,66.923684,34.802075,38.996815000000005
1943,2016,Kyrgyzstan,Syria,Refugees (incl. refugee-like situations),66,41.20438,74.766098,34.802075,38.996815000000005
1974,2016,South Korea,Syria,Refugees (incl. refugee-like situations),876,35.907757000000004,127.766922,34.802075,38.996815000000005
1984,2016,Kuwait,Syria,Refugees (incl. refugee-like situations),50,29.311659999999996,47.481766,34.802075,38.996815000000005
1998,2016,Lebanon,Syria,Refugees (incl. refugee-like situations),1005503,33.854721000000005,35.862285,34.802075,38.996815000000005
2007,2016,Liberia,Syria,Refugees (incl. refugee-like situations),6,6.4280550000000005,-9.429499,34.802075,38.996815000000005
2017,2016,Libya,Syria,Refugees (incl. refugee-like situations),142,26.3351,17.228331,34.802075,38.996815000000005
2025,2016,Liechtenstein,Syria,Refugees (incl. refugee-like situations),23,47.166000000000004,9.555373,34.802075,38.996815000000005
2033,2016,Sri Lanka,Syria,Refugees (incl. refugee-like situations),8,7.873054,80.77179699999999,34.802075,38.996815000000005
2047,2016,Lithuania,Syria,Refugees (incl. refugee-like situations),23,55.169438,23.881275,34.802075,38.996815000000005
2080,2016,Luxembourg,Syria,Refugees (incl. refugee-like situations),686,49.815273,6.129583,34.802075,38.996815000000005
2097,2016,Latvia,Syria,Refugees (incl. refugee-like situations),143,56.879635,24.603189,34.802075,38.996815000000005
2112,2016,Morocco,Syria,Refugees (incl. refugee-like situations),3242,31.791702,-7.09262,34.802075,38.996815000000005
2120,2016,Moldova,Syria,Refugees (incl. refugee-like situations),218,47.411631,28.369884999999996,34.802075,38.996815000000005
2151,2016,Mexico,Syria,Refugees (incl. refugee-like situations),23,23.634501,-102.552784,34.802075,38.996815000000005
2156,2016,Macedonia [FYROM],Syria,Refugees (incl. refugee-like situations),13,41.608635,21.745275,34.802075,38.996815000000005
2165,2016,Mali,Syria,Refugees (incl. refugee-like situations),11,17.570692,-3.9961660000000006,34.802075,38.996815000000005
2192,2016,Malta,Syria,Refugees (incl. refugee-like situations),1668,35.937496,14.375416,34.802075,38.996815000000005
2200,2016,Montenegro,Syria,Refugees (incl. refugee-like situations),10,42.708678000000006,19.37439,34.802075,38.996815000000005
2220,2016,Mauritania,Syria,Refugees (incl. refugee-like situations),417,21.00789,-10.940835,34.802075,38.996815000000005
2246,2016,Malaysia,Syria,Refugees (incl. refugee-like situations),458,4.210483999999999,101.97576600000001,34.802075,38.996815000000005
2268,2016,Niger,Syria,Refugees (incl. refugee-like situations),7,17.607789,8.081666,34.802075,38.996815000000005
2284,2016,Nigeria,Syria,Refugees (incl. refugee-like situations),88,9.081999,8.675277000000001,34.802075,38.996815000000005
2359,2016,Netherlands,Syria,Refugees (incl. refugee-like situations),28394,52.132633,5.291266,34.802075,38.996815000000005
2430,2016,Norway,Syria,Refugees (incl. refugee-like situations),11537,60.472024,8.468946,34.802075,38.996815000000005
2488,2016,New Zealand,Syria,Refugees (incl. refugee-like situations),61,-40.900557,174.88597099999998,34.802075,38.996815000000005
2494,2016,Oman,Syria,Refugees (incl. refugee-like situations),7,21.512583,55.923255000000005,34.802075,38.996815000000005
2503,2016,Pakistan,Syria,Refugees (incl. refugee-like situations),13,30.375321000000003,69.345116,34.802075,38.996815000000005
2534,2016,Peru,Syria,Refugees (incl. refugee-like situations),32,-9.189967,-75.015152,34.802075,38.996815000000005
2552,2016,Philippines,Syria,Refugees (incl. refugee-like situations),51,12.879721,121.77401699999999,34.802075,38.996815000000005
2588,2016,Poland,Syria,Refugees (incl. refugee-like situations),483,51.919438,19.145135999999997,34.802075,38.996815000000005
2623,2016,Portugal,Syria,Refugees (incl. refugee-like situations),82,39.399871999999995,-8.224454,34.802075,38.996815000000005
2631,2016,Paraguay,Syria,Refugees (incl. refugee-like situations),51,-23.442503,-58.44383199999999,34.802075,38.996815000000005
2636,2016,Qatar,Syria,Refugees (incl. refugee-like situations),32,25.354826,51.183884,34.802075,38.996815000000005
2659,2016,Romania,Syria,Refugees (incl. refugee-like situations),1775,45.943160999999996,24.96676,34.802075,38.996815000000005
2678,2016,Russia,Syria,Refugees (incl. refugee-like situations),1319,61.52401,105.31875600000001,34.802075,38.996815000000005
2697,2016,Saudi Arabia,Syria,Refugees (incl. refugee-like situations),19,23.885942,45.079162,34.802075,38.996815000000005
2712,2016,Sudan,Syria,Refugees (incl. refugee-like situations),6997,12.862807,30.217636,34.802075,38.996815000000005
