,CANADIAN PRIVATE TECH COMPANIES,Date,Score
0,Wealthsimple,August 2018,31
1,Ritual,August 2018,21
2,ElementAI,August 2018,25
3,Thalmic Labs,August 2018,22
4,Wattpad,August 2018,22
5,Hootsuite,August 2018,8
6,Lightspeed,August 2018,9
7,Breather,August 2018,12
8,Coinsquare,August 2018,2
9,Article,August 2018,2
10,Kik,August 2018,-5
11,Wealthsimple,September 2018,23
12,Ritual,September 2018,22
13,ElementAI,September 2018,25
14,Thalmic Labs,September 2018,15
15,Wattpad,September 2018,13
16,Hootsuite,September 2018,3
17,Lightspeed,September 2018,8
18,Breather,September 2018,2
19,Coinsquare,September 2018,-3
20,Article,September 2018,4
21,Kik,September 2018,-7
22,Wealthsimple,October 2018,38
23,Ritual,October 2018,19
24,ElementAI,October 2018,25
25,Thalmic Labs,October 2018,21
26,Wattpad,October 2018,15
27,Hootsuite,October 2018,1
28,Lightspeed,October 2018,14
29,Breather,October 2018,13
30,Coinsquare,October 2018,5
31,Article,October 2018,1
32,Kik,October 2018,-1
